"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"1",-1.5304,-3.5933,-1.3881,2.3584,-1.0172,-3.1705,-1.934,0.9149,-4.9471,-6.6959,-0.1592,7.8256,-4.7149,-3.1837,-2.4588,1.0691,-3.1428,0.8271,-2.2512,2.5879,0.5312,-1.0747,1.0997,-0.9816,-2.4122,-1.5233,-2.9934,-7.3263,3.8378,-4.2075,-3.2926,1.826,-2.344,-5.1996,-1.6585,10.8525,0.0510000000000002,-6.3382,0.3154,-1.9497,-1.3457,1.4883,4.1854,-1.0771,1.3582,6.4163,2.1015,7.8198,-0.3315,-1.7605,-6.9668,4.2149,-1.511,-2.0853,1.1336,-2.834,5.4354,-0.7286,0.6331,-5.0943,-0.2099,-3.4357,-3.1043,-3.3896,9.2084,1.2774,-7.0035,1.1541,-2.3179,-3.0405,6.2603,-0.0759999999999996,-0.5941,-4.9752,-1.0426,2.4069,-0.5776,-2.8497,1.6918,-4.9241,0.4572,8.8811,-1.9403,-2.2417,3.3598,-1.5365,7.5722,-0.00710000000000011,0.122400000000000,-0.4389,-1.1144,-2.8943,5.3683,-1.076,3.2908,-1.6037,-0.3147,-4.3194,1.6974,-2.4457,10.4077,-0.0068,4.1589,2.5258,0.8138,-0.4145,2.7583,-3.925,5.1672,-5.3429,-6.4931,-2.3706,-1.5931
"2",-1.5304,-3.5933,-1.3881,2.3584,-1.0172,-3.1705,-1.934,0.9149,-4.9471,-6.6959,-0.1592,7.8256,-4.7149,-3.1837,-2.4588,1.0691,-3.1428,0.8271,-2.2512,2.5879,0.5312,-1.0747,1.0997,-0.9816,-2.4122,-1.5233,-2.9934,-7.3263,3.8378,-4.2075,-3.2926,1.826,-2.344,-5.1996,-1.6585,10.8525,0.0510000000000002,-6.3382,0.3154,-1.9497,-1.3457,1.4883,4.1854,-1.0771,1.3582,6.4163,2.1015,7.8198,-0.3315,-1.7605,-6.9668,4.2149,-1.511,-2.0853,1.1336,-2.834,5.4354,-0.7286,0.6331,-5.0943,-0.2099,-3.4357,-3.1043,-3.3896,9.2084,1.2774,-7.0035,1.1541,-2.3179,-3.0405,6.2603,-0.0759999999999996,-0.5941,-4.9752,-1.0426,2.4069,-0.5776,-2.8497,1.6918,-4.9241,0.4572,8.8811,-1.9403,-2.2417,3.3598,-1.5365,7.5722,-0.00710000000000011,0.122400000000000,-0.4389,-1.1144,-2.8943,5.3683,-1.076,3.2908,-1.6037,-0.3147,-4.3194,1.6974,-2.4457,10.4077,-0.0068,4.1589,2.5258,0.8138,-0.4145,2.7583,-3.925,5.1672,-5.3429,-6.4931,-2.3706,-1.5931
"3",-1.5291,-3.5945,-1.3903,2.3583,-1.0159,-3.1723,-1.9355,0.9152,-4.9458,-6.6931,-0.1603,7.8236,-4.7146,-3.1859,-2.4567,1.0686,-3.142,0.8265,-2.252,2.5897,0.5318,-1.076,1.0992,-0.9791,-2.4143,-1.5232,-2.9927,-7.325,3.8368,-4.2036,-3.2964,1.8268,-2.3458,-5.1982,-1.6583,10.8496,0.0510999999999999,-6.3386,0.315,-1.9506,-1.3485,1.4873,4.1863,-1.0764,1.3586,6.4162,2.1022,7.8168,-0.3316,-1.7579,-6.9672,4.2111,-1.5097,-2.0868,1.1321,-2.8358,5.4362,-0.7289,0.631,-5.0966,-0.2067,-3.4343,-3.1056,-3.3908,9.2065,1.2748,-7.0035,1.154,-2.3207,-3.0401,6.2564,-0.0788000000000002,-0.5938,-4.973,-1.04070000000000,2.4075,-0.5795,-2.8514,1.6923,-4.9284,0.4557,8.8799,-1.9383,-2.2401,3.357,-1.5365,7.5682,-0.00829999999999997,0.1237,-0.4395,-1.1134,-2.8948,5.3653,-1.0778,3.2897,-1.6036,-0.3158,-4.321,1.6955,-2.4484,10.4062,-0.00670000000000001,4.1574,2.5234,0.8161,-0.4145,2.7571,-3.9207,5.1646,-5.3395,-6.4937,-2.3667,-1.5933
"4",-1.5208,-3.6021,-1.4061,2.3557,-1.009,-3.1854,-1.9451,0.9178,-4.9377,-6.6717,-0.1683,7.8106,-4.7121,-3.2003,-2.4406,1.0667,-3.1364,0.8216,-2.2565,2.6011,0.5378,-1.0881,1.0931,-0.9621,-2.4302,-1.5221,-2.9863,-7.3151,3.8309,-4.1752,-3.3245,1.8326,-2.3577,-5.1865,-1.6532,10.8277,0.0494000000000003,-6.3432,0.3136,-1.9579,-1.3694,1.4823,4.1935,-1.0711,1.3593,6.4155,2.108,7.7938,-0.3301,-1.7396,-6.9691,4.1821,-1.4999,-2.0973,1.121,-2.8507,5.4392,-0.7326,0.6174,-5.112,-0.1831,-3.4234,-3.1137,-3.4003,9.1936,1.2552,-7.0007,1.1513,-2.3413,-3.0379,6.2258,-0.0977999999999994,-0.5928,-4.9562,-1.0293,2.4115,-0.5946,-2.861,1.6963,-4.9604,0.4439,8.8694,-1.9242,-2.2306,3.3342,-1.538,7.5394,-0.0175000000000001,0.133500000000000,-0.4438,-1.1078,-2.8982,5.3429,-1.0902,3.2783,-1.6015,-0.3217,-4.3319,1.6822,-2.4665,10.3963,-0.0071,4.1449,2.5059,0.8306,-0.4147,2.7483,-3.8887,5.145,-5.3136,-6.4983,-2.3391,-1.5936
"5",-1.4943,-3.6253,-1.4564,2.3466,-0.9891,-3.227,-1.9778,0.9313,-4.9061,-6.5884,-0.1981,7.7642,-4.702,-3.249,-2.3829,1.0682,-3.1176,0.8006,-2.271,2.6367,0.5619,-1.1345,1.0647,-0.9024,-2.4906,-1.5181,-2.9578,-7.2771,3.8141,-4.0721,-3.4242,1.8493,-2.3928,-5.1389,-1.6271,10.752,0.0355999999999996,-6.3587,0.3126,-1.9825,-1.4389,1.4653,4.221,-1.05,1.3591,6.4113,2.1338,7.7073,-0.3184,-1.672,-6.9653,4.081,-1.467,-2.1348,1.0851,-2.9111,5.4405,-0.754,0.572,-5.1594,-0.104700000000000,-3.385,-3.1473,-3.4367,9.1505,1.1817,-6.9788,1.1396,-2.4229,-3.0301,6.109,-0.163000000000000,-0.5926,-4.8906,-0.9924,2.4265,-0.6449,-2.8878,1.7111,-5.072,0.4008,8.8306,-1.8762,-2.2081,3.2428,-1.5475,7.4357,-0.0512999999999999,0.1708,-0.4617,-1.0929,-2.9089,5.263,-1.1308,3.2261,-1.5906,-0.3385,-4.3632,1.6362,-2.5305,10.3659,-0.0076,4.0911,2.4445,0.875,-0.4177,2.7178,-3.7708,5.0757,-5.2184,-6.5148,-2.2484,-1.5953
"6",-1.4451,-3.6701,-1.5601,2.3213,-0.9561,-3.3099,-2.0452,0.9746,-4.8274,-6.3731,-0.2678,7.6485,-4.6704,-3.3521,-2.2488,1.0995,-3.0812,0.7415,-2.3021,2.7049,0.6273,-1.2471,0.9802,-0.7641,-2.6436,-1.5061,-2.8767,-7.1786,3.788,-3.8221,-3.6571,1.8819,-2.4537,-5.0094,-1.5454,10.5852,-0.0133000000000001,-6.3903,0.32,-2.0387,-1.592,1.4311,4.2853,-0.9909,1.3513,6.3959,2.2103,7.4928,-0.2734,-1.507,-6.925,3.8521,-1.3964,-2.2244,1.0183,-3.0693,5.4221,-0.8289,0.4721,-5.2491,0.0580000000000003,-3.297,-3.236,-3.5305,9.0531,1.0035,-6.8903,1.1087,-2.6365,-3.0134,5.8152,-0.3067,-0.5996,-4.7199,-0.9141,2.4636,-0.7543,-2.9293,1.7516,-5.3278,0.2969,8.7335,-1.7679,-2.1864,3.0017,-1.5824,7.1862,-0.1344,0.261,-0.5106,-1.072,-2.9341,5.0747,-1.2191,3.0732,-1.5517,-0.3626,-4.4165,1.534,-2.676,10.3042,-0.00960000000000005,3.9433,2.305,0.9592,-0.4312,2.6513,-3.4863,4.9197,-4.9922,-6.5473,-2.0549,-1.6023
"7",-1.3878,-3.734,-1.7225,2.2632,-0.9221,-3.4311,-2.1426,1.0735,-4.675,-5.9556,-0.3825,7.4185,-4.5959,-3.5123,-2.0164,1.2117,-3.0337,0.622,-2.3529,2.7964,0.755,-1.4467,0.8014,-0.5244,-2.939,-1.4793,-2.7127,-6.978,3.7689,-3.3612,-4.0705,1.9338,-2.5207,-4.7405,-1.3678,10.3196,-0.1227,-6.4234,0.3514,-2.1352,-1.8484,1.3832,4.3943,-0.865,1.3283,6.3503,2.3816,7.0904,-0.1601,-1.201,-6.7863,3.4645,-1.288,-2.3904,0.943,-3.3724,5.3533,-1.0144,0.3014,-5.3641,0.2915,-3.1436,-3.4082,-3.7173,8.8736,0.6884,-6.6551,1.052,-3.0617,-2.9897,5.2602,-0.5422,-0.6199,-4.3783,-0.791,2.5345,-0.9338,-2.9585,1.8408,-5.7683,0.108900000000000,8.5453,-1.5773,-2.2089,2.5234,-1.6697,6.7196,-0.2889,0.4215,-0.6076,-1.0566,-2.9881,4.7354,-1.3727,2.7465,-1.4512,-0.3729,-4.4751,1.364,-2.9207,10.2096,-0.018,3.6488,2.074,1.0717,-0.4679,2.551,-2.9578,4.6601,-4.5917,-6.5892,-1.7432,-1.6246
"8",-1.3577,-3.8158,-1.9417,2.1516,-0.9047,-3.5752,-2.2444,1.2437,-4.4291,-5.2969,-0.5131,7.0215,-4.458,-3.7151,-1.6848,1.4534,-2.9939,0.4405,-2.4254,2.8805,0.9471,-1.7298,0.5161,-0.187400000000000,-3.4093,-1.4325,-2.4609,-6.6371,3.7806,-2.6625,-4.6714,2.0103,-2.5532,-4.2819,-1.0757,9.9837,-0.2918,-6.4085,0.4187,-2.269,-2.2039,1.3334,4.5389,-0.6473,1.2799,6.2358,2.688,6.4613,0.0586,-0.7411,-6.4815,2.9321,-1.1577,-2.6471,0.911,-3.8341,5.2086,-1.3681,0.0547,-5.4648,0.5254,-2.9138,-3.6701,-4.027,8.5718,0.2489,-6.181,0.9689,-3.7469,-2.9608,4.405,-0.8508,-0.6569,-3.8108,-0.6397,2.65,-1.1721,-2.9267,2.0064,-6.3784,-0.167700000000000,8.2253,-1.2871,-2.3272,1.7565,-1.8289,5.9827,-0.5164,0.6509,-0.756,-1.0548,-3.0932,4.2238,-1.602,2.2018,-1.2573,-0.3304,-4.5172,1.1316,-3.2524,10.084,-0.0425,3.1789,1.7728,1.1832,-0.5386,2.4519,-2.1324,4.3103,-4.024,-6.6238,-1.3222,-1.6759
"9",-1.3889,-3.9275,-2.2197,1.9667,-0.9129,-3.7266,-2.3062,1.4744,-4.0783,-4.4128,-0.5947,6.4054,-4.251,-3.941,-1.2725,1.8345,-2.9782,0.2286,-2.519,2.9138,1.177,-2.0743,0.1624,0.212100000000000,-4.0441,-1.3679,-2.1492,-6.1344,3.8441,-1.747,-5.4193,2.1124,-2.5094,-3.6124,-0.6886,9.6109,-0.4773,-6.2671,0.509,-2.4236,-2.6224,1.293,4.6931,-0.3305,1.1834,5.9894,3.1377,5.5911,0.4011,-0.1591,-5.9739,2.3038,-1.0195,-2.9765,0.9754,-4.4219,4.983,-1.9133,-0.259,-5.5138,0.6598,-2.5863,-3.9907,-4.4761,8.0883,-0.254100000000000,-5.3969,0.8566,-4.6814,-2.9211,3.265,-1.1864,-0.7098,-2.9876,-0.498199999999999,2.8167,-1.4358,-2.7829,2.266,-7.072,-0.5176,7.7159,-0.8865,-2.5678,0.7148,-2.0464,4.9509,-0.79,0.9351,-0.9306,-1.0579,-3.2674,3.5431,-1.9025,1.4558,-0.9756,-0.1992,-4.5329,0.853,-3.6371,9.9232,-0.0964,2.5409,1.4475,1.2641,-0.6441,2.4283,-0.9826,3.8991,-3.3566,-6.6336,-0.8077,-1.77
"10",-1.485,-4.0958,-2.5666,1.6984,-0.9322,-3.8694,-2.2666,1.737,-3.6247,-3.3696,-0.5468,5.5311,-3.9827,-4.1754,-0.81,2.3136,-2.9943,0.0453999999999999,-2.6298,2.8497,1.3909,-2.4446,-0.1853,0.6181,-4.771,-1.2945,-1.8218,-5.4703,3.9707,-0.6752,-6.2287,2.2282,-2.3662,-2.7512,-0.254,9.2018,-0.6064,-5.9222,0.5709,-2.5765,-3.0316,1.2644,4.8117,0.0685,1.0011,5.5335,3.6892,4.4829,0.857,0.4781,-5.2792,1.6463,-0.8622,-3.3183,1.1546,-5.0627,4.6937,-2.6128,-0.6121,-5.4949,0.6165,-2.1317,-4.311,-5.0592,7.3591,-0.7292,-4.2819,0.6978,-5.7904,-2.8499,1.8942,-1.493,-0.7704,-1.9159,-0.4153,3.0271,-1.6714,-2.4929,2.6108,-7.7046,-0.9085,6.9511,-0.3762,-2.9108,-0.5261,-2.2612,3.6378,-1.0599,1.2616,-1.0722,-1.04070000000000,-3.4987,2.7231,-2.2466,0.5892,-0.6694,0.0262000000000002,-4.5217,0.549200000000001,-4.036,9.7061,-0.1936,1.7651,1.1395,1.3092,-0.7694,2.5789,0.4995,3.4514,-2.6926,-6.6078,-0.22020,-1.9197
