"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"1",0.6733,5.6964,2.141,0.945,3.5927,2.5615,4.7862,0.145000000000000,1.8094,-0.5635,1.6166,-0.4012,0.999,3.1752,1.3191,-4.2843,-2.1263,3.6618,8.6286,2.739,5.6399,-1.6971,1.801,1.5711,-2.7126,-0.101900000000001,-0.0781,2.1266,-0.0458,-4.3544,0.2352,2.5633,-5.4132,-7.6093,1.2781,-2.7378,-5.409,0.6834,-1.1833,-0.1979,-0.0750000000000002,-2.7349,-0.4998,5.6106,2.0798,-2.1005,-0.693900000000001,1.5062,1.7259,-1.1939,0.5772,-0.4811,1.1278,-3.2855,2.9769,-5.2518,0.4896,9.559,2.6342,0.0435000000000001,2.2525,2.1036,-1.3816,4.4441,-0.2298,2.7023,-2.6477,2.3565,-0.7083,4.9177,-1.0467,-8.0781,-2.753,-4.249,9.3578,-0.6546,-0.6456,-0.246000000000000,1.7119,5.0163,2.2196,-3.0888,-0.9228,4.8789,0.5615,-6.1316,0.7003,1.1611,2.8149,-2.2971,2.0128,-1.7548,-0.6001,-0.787299999999998,0.833499999999999,4.0926,-2.178,2.3668,1.816,-2.0248,0.7462,1.054,-2.2962,3.949,5.2338,-5.9729,-0.8557,-0.8724,-4.3847,-1.7205,-1.9947,-2.1834,-4.1276
"2",0.6733,5.6964,2.141,0.945,3.5927,2.5615,4.7862,0.145000000000000,1.8094,-0.5635,1.6166,-0.4012,0.999,3.1752,1.3191,-4.2843,-2.1263,3.6618,8.6286,2.739,5.6399,-1.6971,1.801,1.5711,-2.7126,-0.101900000000001,-0.0781,2.1266,-0.0458,-4.3544,0.2352,2.5633,-5.4132,-7.6093,1.2781,-2.7378,-5.409,0.6834,-1.1833,-0.1979,-0.0750000000000002,-2.7349,-0.4998,5.6106,2.0798,-2.1005,-0.693900000000001,1.5062,1.7259,-1.1939,0.5772,-0.4811,1.1278,-3.2855,2.9769,-5.2518,0.4896,9.559,2.6342,0.0435000000000001,2.2525,2.1036,-1.3816,4.4441,-0.2298,2.7023,-2.6477,2.3565,-0.7083,4.9177,-1.0467,-8.0781,-2.753,-4.249,9.3578,-0.6546,-0.6456,-0.246000000000000,1.7119,5.0163,2.2196,-3.0888,-0.9228,4.8789,0.5615,-6.1316,0.7003,1.1611,2.8149,-2.2971,2.0128,-1.7548,-0.6001,-0.787299999999998,0.833499999999999,4.0926,-2.178,2.3668,1.816,-2.0248,0.7462,1.054,-2.2962,3.949,5.2338,-5.9729,-0.8557,-0.8724,-4.3847,-1.7205,-1.9947,-2.1834,-4.1276
"3",0.6695,5.6906,2.141,0.9488,3.5923,2.5618,4.7814,0.1461,1.808,-0.5636,1.6183,-0.4008,0.9962,3.1728,1.3177,-4.283,-2.1275,3.658,8.6303,2.7401,5.6405,-1.6981,1.8009,1.5708,-2.711,-0.104200000000001,-0.0801999999999996,2.1264,-0.0461,-4.3541,0.2371,2.5646,-5.4158,-7.6059,1.2756,-2.7372,-5.4083,0.6834,-1.183,-0.1975,-0.0761000000000003,-2.7351,-0.499400000000001,5.6104,2.0781,-2.0997,-0.694800000000001,1.5049,1.7266,-1.196,0.5774,-0.4802,1.1273,-3.2824,2.9774,-5.2511,0.4918,9.5623,2.6357,0.0437000000000001,2.2525,2.1038,-1.3819,4.4426,-0.229,2.7018,-2.6477,2.3561,-0.7083,4.9187,-1.0461,-8.0779,-2.7523,-4.2488,9.3565,-0.653,-0.6458,-0.247,1.711,5.0136,2.2207,-3.0889,-0.921,4.8793,0.5612,-6.1319,0.7014,1.1603,2.8149,-2.2959,2.0134,-1.7546,-0.6014,-0.7869,0.831999999999999,4.0909,-2.1775,2.3685,1.8144,-2.0251,0.7452,1.0545,-2.2957,3.9504,5.2327,-5.9726,-0.8558,-0.87460,-4.3832,-1.7204,-1.995,-2.185,-4.1272
"4",0.6414,5.6485,2.1417,0.9798,3.5853,2.5621,4.7485,0.1525,1.7962,-0.5627,1.6305,-0.3987,0.9762,3.1564,1.3061,-4.2743,-2.1358,3.6302,8.6428,2.7474,5.6446,-1.7051,1.7999,1.569,-2.6966,-0.124400000000000,-0.0964,2.1257,-0.0485,-4.3513,0.25,2.5743,-5.4348,-7.58,1.2578,-2.7343,-5.4022,0.6843,-1.1809,-0.1951,-0.0831999999999997,-2.7374,-0.4958,5.6084,2.0665,-2.0934,-0.701,1.4953,1.7318,-1.2114,0.580299999999999,-0.4734,1.1248,-3.2585,2.9796,-5.2458,0.5086,9.5861,2.646,0.0466,2.253,2.1049,-1.3831,4.4307,-0.2245,2.699,-2.6465,2.3526,-0.7089,4.9267,-1.0409,-8.0772,-2.7495,-4.2455,9.3462,-0.6412,-0.6463,-0.254700000000000,1.7045,4.9954,2.2264,-3.0882,-0.9055,4.8815,0.5593,-6.1339,0.709700,1.1563,2.8149,-2.2858,2.0171,-1.7527,-0.611000000000001,-0.7827,0.8216,4.0792,-2.1755,2.3792,1.8023,-2.0271,0.7375,1.0579,-2.291,3.9595,5.2249,-5.9715,-0.8557,-0.8908,-4.3717,-1.7196,-1.9967,-2.1949,-4.124
"5",0.5444,5.4977,2.1514,1.0969,3.5476,2.5531,4.6393,0.1709,1.7502,-0.5563,1.6744,-0.394099999999999,0.908,3.0976,1.2673,-4.2416,-2.1696,3.5328,8.6842,2.7724,5.655,-1.7272,1.7935,1.5659,-2.6377,-0.207700000000001,-0.159500000000000,2.1278,-0.0638,-4.3334,0.2915,2.6082,-5.4995,-7.4852,1.1976,-2.731,-5.3742,0.6913,-1.1754,-0.1874,-0.107800000000000,-2.7479,-0.4834,5.6002,2.0231,-2.0723,-0.7241,1.4576,1.7543,-1.2657,0.5917,-0.4495,1.1146,-3.1683,2.9818,-5.2232,0.5725,9.6717,2.6836,0.0587,2.2523,2.1147,-1.3854,4.3873,-0.2081,2.6908,-2.639,2.3379,-0.7109,4.956,-1.0266,-8.0733,-2.7397,-4.2309,9.3072,-0.5968,-0.6462,-0.283199999999999,1.6798,4.9291,2.2462,-3.0805,-0.8458,4.8896,0.5532,-6.1399,0.7398,1.1458,2.8139,-2.2507,2.0298,-1.745,-0.6471,-0.7642,0.786999999999999,4.0378,-2.1684,2.4165,1.7609,-2.0334,0.711400,1.0699,-2.2745,3.9902,5.1968,-5.9668,-0.8527,-0.9502,-4.3279,-1.7142,-2.0044,-2.2297,-4.1073
"6",0.3219,5.1367,2.1978,1.3831,3.4249,2.5086,4.4085,0.2006,1.6311,-0.5363,1.7825,-0.3941,0.7587,2.962,1.186,-4.1609,-2.2608,3.3077,8.771,2.8259,5.6671,-1.7698,1.7779,1.5724,-2.4813,-0.431200000000000,-0.3121,2.1465,-0.1221,-4.2711,0.3799,2.6878,-5.6415,-7.254,1.0713,-2.7417,-5.2958,0.7185,-1.166,-0.173300000000000,-0.1605,-2.7771,-0.4545,5.5775,1.9163,-2.0254,-0.7808,1.3598,1.8189,-1.3893,0.6191,-0.3931,1.0865,-2.9425,2.9712,-5.1609,0.7326,9.8751,2.7714,0.092,2.241,2.1501,-1.3862,4.2823,-0.1688,2.6752,-2.6091,2.2976,-0.7185,5.029,-1.002,-8.0599,-2.7183,-4.1896,9.2093,-0.4866,-0.6385,-0.353400000000001,1.6145,4.765,2.2909,-3.0473,-0.6931,4.9062,0.5416,-6.1456,0.8105,1.1332,2.8063,-2.1714,2.0562,-1.7251,-0.7367,-0.708399999999999,0.7142,3.9437,-2.1523,2.5008,1.6681,-2.0439,0.656,1.0995,-2.2358,4.0574,5.1307,-5.9537,-0.837,-1.0965,-4.2181,-1.6951,-2.0241,-2.3134,-4.0539
"7",-0.0713,4.469,2.3296,1.8958,3.1415,2.3936,4.0532,0.2257,1.4013,-0.4981,1.9916,-0.417500000000000,0.5167,2.7301,1.0691,-4.0143,-2.4458,2.9088,8.9015,2.913,5.6645,-1.8275,1.7603,1.6164,-2.1672,-0.869300000000001,-0.572,2.2091,-0.2774,-4.1199,0.5246,2.828,-5.8725,-6.8188,0.8882,-2.7895,-5.1397,0.7823,-1.1543,-0.155400000000000,-0.245,-2.8309,-0.4078,5.5326,1.7123,-1.9465,-0.8874,1.1654,1.9553,-1.5921,0.661,-0.2852,1.0263,-2.5121,2.9178,-5.0356,1.0339,10.2434,2.9257,0.1603,2.198,2.2357,-1.3807,4.0886,-0.0962000000000005,2.6532,-2.5283,2.2149,-0.7413,5.1702,-0.9744,-8.0247,-2.6856,-4.1036,9.0209,-0.276500000000000,-0.61,-0.487699999999998,1.4744,4.4452,2.3656,-2.9608,-0.4006,4.9265,0.5281,-6.1303,0.9315,1.1394,2.7769,-2.0333,2.0921,-1.6895,-0.9071,-0.5836,0.6014,3.7809,-2.1223,2.6408,1.5088,-2.0524,0.5688,1.1535,-2.1676,4.1687,5.0102,-5.9219,-0.7901,-1.3726,-4.014,-1.6469,-2.0592,-2.4727,-3.9308
"8",-0.6584,3.436,2.5798,2.6134,2.6212,2.1907,3.6285,0.2174,1.0433,-0.4461,2.3255,-0.4861,0.1926,2.4109,0.9463,-3.8048,-2.7562,2.3228,9.0463,3.0274,5.6214,-1.8802,1.765,1.7335,-1.646,-1.5516,-0.9054,2.341,-0.5859,-3.8315,0.7226,3.0252,-6.1774,-6.1382,0.7022,-2.8895,-4.898,0.8922,-1.1377,-0.138500000000000,-0.351200000000000,-2.8981,-0.3521,5.4659,1.3878,-1.835,-1.0543,0.8456,2.1864,-1.8431,0.6973,-0.103600000000000,0.9164,-1.8342,2.7823,-4.8369,1.4887,10.7917,3.1403,0.2745,2.0927,2.3905,-1.3655,3.7886,0.0187999999999997,2.6216,-2.3604,2.0794,-0.7942,5.3932,-0.9567,-7.9461,-2.6482,-3.9592,8.7148,0.0527999999999995,-0.5434,-0.7013,1.2172,3.9207,2.4637,-2.7948,0.0551999999999997,4.9337,0.5193,-6.0565,1.0938,1.1959,2.698,-1.8335,2.1212,-1.6412,-1.179,-0.358600000000001,0.464499999999999,3.5419,-2.0723,2.8252,1.2832,-2.0465,0.4559,1.2296,-2.0656,4.3205,4.8246,-5.8516,-0.6908,-1.7987,-3.7063,-1.5521,-2.1019,-2.7368,-3.7073
"9",-1.4342,2.034,2.9148,3.4253,1.8185,1.9218,3.2243,0.1428,0.569,-0.3788,2.7686,-0.6028,-0.2019,2.0335,0.8555,-3.5689,-3.2098,1.5767,9.1522,3.1489,5.503,-1.8959,1.8197,1.9462,-0.8834,-2.4377,-1.2342,2.5393,-1.0688,-3.3672,0.9544,3.2495,-6.521,-5.2207,0.581199999999999,-3.0322,-4.581,1.041,-1.1095,-0.126400000000000,-0.4592,-2.9493,-0.301600000000000,5.3895,0.9301,-1.6937,-1.2846,0.3932,2.5152,-2.077,0.6935,0.172100000000000,0.744,-0.9074,2.5285,-4.5739,2.0589,11.4936,3.3755,0.4403,1.8943,2.6169,-1.3408,3.3759,0.1821,2.5663,-2.0747,1.8974,-0.8939,5.6889,-0.9648,-7.795,-2.6192,-3.748,8.2705,0.4936,-0.4257,-0.9934,0.8049,3.1684,2.5594,-2.5338,0.6638,4.9042,0.516,-5.8817,1.2759,1.3322,2.5344,-1.5778,2.1201,-1.5896,-1.5624,-0.0152999999999999,0.335900000000001,3.218,-1.994,3.0242,1.0076,-2.012,0.319599999999999,1.3098,-1.9233,4.4966,4.5697,-5.7116,-0.5234,-2.3536,-3.3099,-1.3969,-2.1302,-3.1346,-3.3687
"10",-2.3538,0.325,3.2156,4.1671,0.7489,1.6411,2.9228,-0.031,0.01,-0.2761,3.2442,-0.7345,-0.6729,1.63,0.8235,-3.3773,-3.8006,0.7336,9.1542,3.2406,5.2591,-1.8448,1.9323,2.2448,0.1391,-3.4276,-1.4664,2.7608,-1.6908,-2.7108,1.1918,3.4485,-6.8609,-4.1391,0.563600000000001,-3.1792,-4.2005,1.207,-1.0648,-0.114600000000000,-0.538799999999999,-2.9481,-0.267400000000000,5.3226,0.3424,-1.5302,-1.5705,-0.173299999999999,2.9229,-2.2161,0.6185,0.55,0.5096,0.2265,2.1345,-4.2692,2.6548,12.288,3.5579,0.6568,1.5813,2.8975,-1.3097,2.8512,0.3981,2.4612,-1.6619,1.6888,-1.0573,6.0194,-1.0106,-7.5385,-2.6119,-3.4593,7.6767,1.0037,-0.2552,-1.3419,0.2243,2.2055,2.6112,-2.1808,1.3878,4.8108,0.5036,-5.572,1.4581,1.5686,2.2529,-1.2821,2.066,-1.5473,-2.0537,0.4445,0.2602,2.7952,-1.8792,3.1949,0.7144,-1.9352,0.145800000000000,1.3562,-1.7298,4.6661,4.2449,-5.4623,-0.2844,-2.968,-2.8624,-1.1789,-2.1144,-3.6868,-2.9247
