"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226"
"1",-4.1827,0.7157,2.2037,-5.6912,-4.0651,-1.8823,-2.0249,-4.8594,-3.4603,1.6206,0.0907999999999998,4.0181,-1.905,6.2572,-4.0635,1.4052,-3.2805,-4.8774,1.5349,-3.7093,0.1259,6.2247,-0.5667,0.8534,0.0194000000000001,-2.8207,-0.1997,-1.3775,-5.3902,-2.1311,3.8951,-1.2155,0.950899999999999,-4.3961,-6.7056,10.8544,-0.673,-2.4919,6.6087,1.0876,6.2517,-6.5599,-4.6195,4.524,-1.8879,2.827,-1.2484,4.5671,-1.5595,-7.6722,-3.3438,1.5332,6.5427,1.8903,-0.4458,-5.4822,-7.4011,-3.1036,1.526,3.2465,7.4924,5.4845,-0.6482,1.4698,-5.5534,-4.8929,-4.2271,1.9463,-2.293,0.0484999999999998,-0.808,-0.709,-3.2071,-2.0307,-7.9872,5.4686,-2.8386,-2.5789,8.1417,6.8437,0.3628,-0.782200000000001,0.0306999999999999,0.239600000000000,1.6399,-3.9117,7.4278,-3.7754,-2.3936,1.8648,-7.2627,3.0518,-0.0756000000000001,1.9189,-0.0943,-1.3287,3.7904,2.6305,5.605,-4.3768,1.1694,-0.8708,2.355,3.5086,-3.7761,1.0129,0.388,2.5596,5.7382,4.9154,-3.1148,-1.1289,6.6928,-2.0866,-2.6665,6.0032,10.1527,5.0497,2.0226,-2.4918,-9.7873,5.56,2.1047,1.3365,-5.9223,-3.6464,-2.5152,-1.9208,2.0025,1.0189,1.5003,2.6074,-3.4114,-3.9423,-4.1229,-4.9791,3.5331,-4.3159,0.172400000000000,-3.5428,-1.9697,-1.7725,2.1399,-3.1371,0.5751,-5.6095,2.8524,0.5047,-0.5229,1.7905,5.4866,9.6338,1.9735,-3.187,4.7021,0.4166,-3.5591,-6.8137,-2.5918,-0.5919,4.2798,7.3978,-2.1075,4.892,3.8562,2.2817,6.3049,5.2159,3.5188,-0.5214,-0.7463,4.0222,5.3376,-6.1584,3.1853,-2.8552,-6.6328,4.0745,-4.8553,3.923,5.4733,0.6641,6.5822,6.8494,-0.11190,-1.8945,-1.1843,-4.5141,8.7448,11.2214,0.871,-3.9536,-3.5571,3.2126,-10.0387,-1.3176,0.2897,-4.5741,-2.0395,-1.5252,-0.6249,1.0639,2.3427,0.3586,2.6003,0.0955999999999992,1.1541,-2.6101,-2.1946,5.759,5.046,-5.3437,-0.0122,-0.7101,-1.3914,1.5855,-1.337,0.8078,2.3434,2.5425,2.4637,-0.8958,-2.4062,2.5479,1.5255,0.301
"2",-4.1827,0.7157,2.2037,-5.6912,-4.0651,-1.8823,-2.0249,-4.8594,-3.4603,1.6206,0.0907999999999998,4.0181,-1.905,6.2572,-4.0635,1.4052,-3.2805,-4.8774,1.5349,-3.7093,0.1259,6.2247,-0.5667,0.8534,0.0194000000000001,-2.8207,-0.1997,-1.3775,-5.3902,-2.1311,3.8951,-1.2155,0.950899999999999,-4.3961,-6.7056,10.8544,-0.673,-2.4919,6.6087,1.0876,6.2517,-6.5599,-4.6195,4.524,-1.8879,2.827,-1.2484,4.5671,-1.5595,-7.6722,-3.3438,1.5332,6.5427,1.8903,-0.4458,-5.4822,-7.4011,-3.1036,1.526,3.2465,7.4924,5.4845,-0.6482,1.4698,-5.5534,-4.8929,-4.2271,1.9463,-2.293,0.0484999999999998,-0.808,-0.709,-3.2071,-2.0307,-7.9872,5.4686,-2.8386,-2.5789,8.1417,6.8437,0.3628,-0.782200000000001,0.0306999999999999,0.239600000000000,1.6399,-3.9117,7.4278,-3.7754,-2.3936,1.8648,-7.2627,3.0518,-0.0756000000000001,1.9189,-0.0943,-1.3287,3.7904,2.6305,5.605,-4.3768,1.1694,-0.8708,2.355,3.5086,-3.7761,1.0129,0.388,2.5596,5.7382,4.9154,-3.1148,-1.1289,6.6928,-2.0866,-2.6665,6.0032,10.1527,5.0497,2.0226,-2.4918,-9.7873,5.56,2.1047,1.3365,-5.9223,-3.6464,-2.5152,-1.9208,2.0025,1.0189,1.5003,2.6074,-3.4114,-3.9423,-4.1229,-4.9791,3.5331,-4.3159,0.172400000000000,-3.5428,-1.9697,-1.7725,2.1399,-3.1371,0.5751,-5.6095,2.8524,0.5047,-0.5229,1.7905,5.4866,9.6338,1.9735,-3.187,4.7021,0.4166,-3.5591,-6.8137,-2.5918,-0.5919,4.2798,7.3978,-2.1075,4.892,3.8562,2.2817,6.3049,5.2159,3.5188,-0.5214,-0.7463,4.0222,5.3376,-6.1584,3.1853,-2.8552,-6.6328,4.0745,-4.8553,3.923,5.4733,0.6641,6.5822,6.8494,-0.11190,-1.8945,-1.1843,-4.5141,8.7448,11.2214,0.871,-3.9536,-3.5571,3.2126,-10.0387,-1.3176,0.2897,-4.5741,-2.0395,-1.5252,-0.6249,1.0639,2.3427,0.3586,2.6003,0.0955999999999992,1.1541,-2.6101,-2.1946,5.759,5.046,-5.3437,-0.0122,-0.7101,-1.3914,1.5855,-1.337,0.8078,2.3434,2.5425,2.4637,-0.8958,-2.4062,2.5479,1.5255,0.301
"3",-4.1809,0.7134,2.2039,-5.6917,-4.0625,-1.8817,-2.0254,-4.856,-3.4581,1.6203,0.0934999999999997,4.0141,-1.9062,6.255,-4.0644,1.4038,-3.2788,-4.8752,1.5364,-3.7106,0.129,6.2251,-0.5677,0.8542,0.0181,-2.8202,-0.201,-1.3793,-5.3874,-2.1298,3.8958,-1.2164,0.9503,-4.3962,-6.7055,10.8531,-0.6745,-2.492,6.6078,1.088,6.2534,-6.5595,-4.6176,4.5228,-1.8856,2.8293,-1.249,4.5643,-1.5595,-7.6703,-3.3439,1.5308,6.5412,1.8882,-0.4453,-5.4826,-7.403,-3.103,1.525,3.2447,7.4959,5.4845,-0.6457,1.4716,-5.5554,-4.889,-4.2254,1.9452,-2.2941,0.0510000000000002,-0.8109,-0.712,-3.2077,-2.0316,-7.9842,5.4703,-2.8364,-2.5803,8.1421,6.8452,0.361100000000000,-0.7837,0.0306000000000002,0.237900000000001,1.6411,-3.9111,7.4275,-3.7745,-2.3913,1.8642,-7.259,3.0521,-0.0768999999999997,1.9186,-0.0940000000000003,-1.3251,3.7876,2.6299,5.6048,-4.3771,1.17,-0.8697,2.3502,3.5087,-3.7748,1.0117,0.3883,2.5597,5.7412,4.9122,-3.1153,-1.1285,6.6937,-2.0848,-2.6637,6.003,10.1525,5.0481,2.0218,-2.493,-9.7842,5.5573,2.1018,1.335,-5.9237,-3.6456,-2.5129,-1.921,2.0022,1.0194,1.4996,2.6091,-3.4109,-3.9425,-4.123,-4.9774,3.5315,-4.318,0.171700000000000,-3.5426,-1.9678,-1.7733,2.1395,-3.1362,0.5766,-5.6067,2.8524,0.5056,-0.5225,1.791,5.4858,9.6327,1.9744,-3.185,4.6994,0.4177,-3.5601,-6.8126,-2.5907,-0.5916,4.2784,7.4007,-2.1079,4.8948,3.8549,2.2814,6.304,5.2145,3.5205,-0.5217,-0.744,4.0227,5.3399,-6.159,3.1828,-2.856,-6.6337,4.0762,-4.8571,3.9179,5.4687,0.6638,6.5815,6.8495,-0.1118,-1.8932,-1.183,-4.5155,8.7427,11.2208,0.8694,-3.9532,-3.5548,3.2122,-10.0405,-1.3185,0.289599999999999,-4.573,-2.0408,-1.5252,-0.6269,1.0643,2.3424,0.3585,2.5983,0.0919000000000008,1.1531,-2.6094,-2.1954,5.7597,5.0449,-5.3432,-0.0131000000000001,-0.711,-1.3923,1.5846,-1.3359,0.8081,2.3455,2.5429,2.4674,-0.8966,-2.4065,2.5473,1.5236,0.3017
"4",-4.1696,0.6945,2.2073,-5.6957,-4.0437,-1.8786,-2.0281,-4.8299,-3.4391,1.6179,0.1109,3.9865,-1.9154,6.2378,-4.0691,1.3949,-3.2655,-4.8612,1.5476,-3.7197,0.1521,6.2242,-0.5757,0.8607,0.0097999999999998,-2.8167,-0.2125,-1.3936,-5.3654,-2.1221,3.9015,-1.2216,0.9454,-4.398,-6.7043,10.8438,-0.6813,-2.492,6.6002,1.0905,6.2647,-6.5523,-4.604,4.5148,-1.8676,2.8429,-1.253,4.5431,-1.5583,-7.6585,-3.3449,1.5115,6.5303,1.8718,-0.4393,-5.4846,-7.4184,-3.0975,1.5177,3.2284,7.5194,5.4826,-0.6291,1.4854,-5.5675,-4.8614,-4.2129,1.937,-2.3047,0.0680999999999994,-0.8341,-0.7338,-3.2145,-2.0368,-7.9587,5.4805,-2.8173,-2.5915,8.1455,6.8556,0.347099999999999,-0.795399999999999,0.0286000000000000,0.227300000000000,1.6491,-3.9069,7.423,-3.7682,-2.3715,1.8597,-7.2277,3.0554,-0.0859000000000001,1.915,-0.0924999999999998,-1.3,3.7679,2.6249,5.6031,-4.3784,1.1757,-0.8616,2.3151,3.5083,-3.7666,1.0013,0.3904,2.5602,5.7631,4.8871,-3.1181,-1.1263,6.6962,-2.0694,-2.6425,6.0029,10.1509,5.0378,2.0155,-2.5005,-9.7603,5.5343,2.0795,1.3207,-5.9314,-3.6399,-2.4964,-1.9198,1.9975,1.0231,1.4972,2.6215,-3.4086,-3.9414,-4.1224,-4.9618,3.52,-4.3342,0.164899999999999,-3.539,-1.9524,-1.7776,2.1379,-3.1314,0.5869,-5.5866,2.8524,0.5123,-0.52,1.7941,5.4798,9.624,1.9811,-3.1685,4.6794,0.4254,-3.5683,-6.8031,-2.5829,-0.5877,4.2666,7.4195,-2.1105,4.9156,3.8456,2.2792,6.2969,5.2025,3.5314,-0.5241,-0.726,4.0255,5.3562,-6.1622,3.1652,-2.8637,-6.6397,4.0889,-4.8701,3.8797,5.434,0.6604,6.5758,6.8494,-0.1121,-1.8857,-1.175,-4.5266,8.7256,11.2172,0.8585,-3.9489,-3.5352,3.2093,-10.0526,-1.3263,0.288700000000000,-4.5658,-2.0518,-1.5287,-0.639900000000001,1.0677,2.3409,0.3575,2.5823,0.0653000000000006,1.1454,-2.602,-2.2016,5.7649,5.0372,-5.3386,-0.0179999999999998,-0.7165,-1.4004,1.5776,-1.3279,0.8116,2.3612,2.5494,2.4973,-0.9032,-2.4101,2.5404,1.5091,0.3082
"5",-4.1342,0.6174,2.2261,-5.7096,-3.9757,-1.8667,-2.0332,-4.7331,-3.3566,1.6135,0.165,3.8981,-1.9502,6.1689,-4.0836,1.3635,-3.2117,-4.818,1.5908,-3.7499,0.2303,6.1996,-0.6009,0.881,-0.0112999999999999,-2.8005,-0.2562,-1.4441,-5.2856,-2.0974,3.9198,-1.2316,0.926,-4.4039,-6.6972,10.8027,-0.6942,-2.4868,6.5742,1.097,6.3075,-6.5131,-4.5543,4.4875,-1.7988,2.8823,-1.265,4.4657,-1.5476,-7.6244,-3.3491,1.4392,6.4902,1.8169,-0.4163,-5.4881,-7.4712,-3.0708,1.4946,3.162,7.5882,5.4697,-0.5745,1.5377,-5.6021,-4.7614,-4.1657,1.9084,-2.3486,0.122,-0.9191,-0.8137,-3.2436,-2.0514,-7.8547,5.5128,-2.7366,-2.6288,8.155,6.8846,0.295199999999999,-0.835600000000001,0.0177000000000000,0.192300000000000,1.6738,-3.8936,7.3973,-3.7443,-2.2938,1.8423,-7.0996,3.068,-0.120500000000000,1.8959,-0.0884999999999998,-1.2115,3.6979,2.6023,5.5945,-4.3762,1.2017,-0.8333,2.1876,3.5066,-3.7437,0.9538,0.3967,2.5599,5.8415,4.7931,-3.126,-1.123,6.6928,-2.0075,-2.5659,6.0013,10.1468,5.0102,1.9859,-2.5203,-9.6698,5.4437,1.9999,1.2657,-5.9478,-3.6198,-2.4394,-1.9016,1.9729,1.0349,1.4962,2.666,-3.4037,-3.9311,-4.1122,-4.8977,3.483,-4.3904,0.137499999999999,-3.5213,-1.891,-1.7856,2.1336,-3.1166,0.6192,-5.5152,2.8517,0.5348,-0.5123,1.8068,5.4546,9.5925,2.0018,-3.1049,4.6101,0.4441,-3.5967,-6.763,-2.5544,-0.5631,4.2223,7.4789,-2.122,4.989,3.8141,2.2716,6.2683,5.1558,3.5653,-0.5329,-0.6535,4.0322,5.4129,-6.1659,3.1071,-2.9021,-6.6532,4.1331,-4.9138,3.7441,5.308,0.6456,6.551,6.8458,-0.1179,-1.865,-1.1484,-4.5608,8.654,11.2051,0.8215,-3.9276,-3.46,3.1918,-10.0947,-1.3555,0.289,-4.5427,-2.0906,-1.5456,-0.6883,1.0751,2.3343,0.3606,2.5224,-0.0310000000000006,1.1141,-2.5749,-2.2218,5.7824,5.0117,-5.3149,-0.0301,-0.7327,-1.4328,1.5537,-1.2992,0.8299,2.4176,2.582,2.6054,-0.9304,-2.4268,2.5102,1.4582,0.3321
"6",-4.065,0.412900000000000,2.2844,-5.7389,-3.8087,-1.8306,-2.0313,-4.4951,-3.1251,1.6146,0.2715,3.7189,-2.0322,5.9836,-4.1053,1.2924,-3.0679,-4.7343,1.7035,-3.813,0.3953,6.084,-0.6433,0.9202,-0.0443000000000002,-2.7533,-0.3655,-1.5631,-5.0958,-2.0521,3.9622,-1.2311,0.875,-4.4195,-6.6744,10.6831,-0.6935,-2.4581,6.5171,1.1125,6.4149,-6.3764,-4.4386,4.4244,-1.6223,2.951,-1.294,4.2838,-1.5054,-7.5648,-3.3571,1.2638,6.3929,1.6947,-0.3627,-5.4798,-7.5872,-2.9904,1.4468,2.9853,7.7154,5.4196,-0.4609,1.6653,-5.6626,-4.5213,-4.0423,1.8438,-2.4653,0.234100000000000,-1.1269,-1.0093,-3.3202,-2.0715,-7.5739,5.5741,-2.5125,-2.7163,8.1679,6.9276,0.165500000000000,-0.9225,-0.0219999999999998,0.116700000000000,1.7186,-3.8631,7.3145,-3.6871,-2.0946,1.8022,-6.7514,3.099,-0.211200000000000,1.8368,-0.0876999999999999,-1.0063,3.542,2.5314,5.5686,-4.3557,1.2718,-0.7686,1.8931,3.4957,-3.7033,0.8134,0.412,2.5558,6.0231,4.5628,-3.1348,-1.1294,6.648,-1.8445,-2.3786,5.9915,10.1442,4.9706,1.8917,-2.5441,-9.4362,5.2104,1.8166,1.1304,-5.9511,-3.5693,-2.3066,-1.8197,1.8936,1.056,1.5129,2.769,-3.3983,-3.8947,-4.0654,-4.7209,3.4044,-4.5184,0.0661000000000005,-3.4671,-1.7356,-1.7864,2.1249,-3.0826,0.6868,-5.349,2.8486,0.5827,-0.5015,1.8393,5.3859,9.5202,2.0397,-2.9425,4.4524,0.4642,-3.6659,-6.6533,-2.4878,-0.4796,4.1096,7.5959,-2.1514,5.1627,3.7459,2.2552,6.1938,5.0319,3.6326,-0.5536,-0.4649,4.0401,5.5408,-6.1479,2.9803,-3.0166,-6.6679,4.2278,-5.0018,3.429,5.0064,0.6009,6.4753,6.8258,-0.1472,-1.8352,-1.091,-4.6227,8.4498,11.1807,0.7375,-3.8614,-3.2704,3.1332,-10.187,-1.4289,0.297099999999999,-4.4955,-2.1818,-1.5986,-0.8047,1.0788,2.3141,0.3846,2.368,-0.2598,1.029,-2.5087,-2.2622,5.8196,4.9583,-5.2358,-0.0448000000000004,-0.7648,-1.5143,1.5033,-1.2282,0.8858,2.551,2.6847,2.8619,-1.0106,-2.4758,2.4197,1.3425,0.3919
"7",-3.9636,0.0132000000000003,2.4021,-5.7802,-3.4875,-1.7331,-2.0013,-4.05,-2.6444,1.6351,0.4168,3.4621,-2.1667,5.6022,-4.108,1.1734,-2.7774,-4.6119,1.9315,-3.9074,0.6304,5.7633,-0.6795,0.967,-0.0870000000000002,-2.6484,-0.5659,-1.7809,-4.7582,-2.0052,4.0442,-1.1863,0.7684,-4.4544,-6.629,10.4182,-0.6277,-2.3722,6.4245,1.1509,6.6196,-6.029,-4.2372,4.305,-1.272,3.0308,-1.346,3.9657,-1.3977,-7.4885,-3.3622,0.9497,6.2103,1.4851,-0.2777,-5.4223,-7.7771,-2.8149,1.365,2.6361,7.8853,5.2897,-0.2834,1.8994,-5.7414,-4.0792,-3.7948,1.7386,-2.6919,0.4235,-1.5076,-1.377,-3.4645,-2.0746,-7.0013,5.6463,-2.0451,-2.8797,8.1635,6.9454,-0.0861999999999998,-1.0587,-0.1272,-0.0141,1.7656,-3.7988,7.1291,-3.5837,-1.7169,1.7387,-6.04,3.1485,-0.3897,1.7119,-0.109100000000000,-0.6494,3.2916,2.3653,5.5129,-4.294,1.4019,-0.6573,1.3918,3.4567,-3.6444,0.508,0.4509,2.5431,6.3333,4.1423,-3.1261,-1.17,6.5014,-1.5208,-2.022,5.9591,10.1537,4.9453,1.6667,-2.5424,-8.9717,4.7706,1.5069,0.8881,-5.8807,-3.4712,-2.0627,-1.5948,1.7092,1.0771,1.57,2.9421,-3.3972,-3.8131,-3.9398,-4.3528,3.2685,-4.735,-0.0673999999999992,-3.3548,-1.4488,-1.757,2.107,-3.0084,0.7983,-5.0528,2.8425,0.6564,-0.499,1.8968,5.2416,9.3993,2.0806,-2.6251,4.1801,0.4536,-3.8004,-6.4259,-2.3755,-0.292,3.8885,7.7607,-2.2012,5.4744,3.6426,2.2267,6.0521,4.782,3.7267,-0.5877,-0.0997000000000003,4.0426,5.7514,-6.0527,2.7706,-3.2524,-6.6696,4.3655,-5.114,2.8711,4.4586,0.5036,6.2918,6.7633,-0.2333,-1.8177,-0.9975,-4.686,8.0024,11.1472,0.5867,-3.7084,-2.9141,2.9904,-10.3255,-1.5642,0.323499999999999,-4.4247,-2.3351,-1.7182,-1.0143,1.0541,2.2703,0.4597,2.0599,-0.6736,0.8481,-2.3848,-2.3175,5.8727,4.8762,-5.0435,-0.0544000000000002,-0.8153,-1.6603,1.4325,-1.0869,1.0073,2.7903,2.9144,3.3123,-1.1964,-2.5848,2.2169,1.1424,0.5085
"8",-3.8356,-0.6052,2.5728,-5.8136,-2.9694,-1.5119,-1.9261,-3.3615,-1.8418,1.6772,0.5464,3.1849,-2.3252,4.9574,-4.0371,1.0155,-2.3026,-4.4646,2.3084,-4.0147,0.8468,5.1224,-0.6758,0.9979,-0.151000000000000,-2.4579,-0.8509,-2.1164,-4.2788,-2.0085,4.1833,-1.0683,0.574999999999999,-4.515,-6.5677,9.9406,-0.4297,-2.195,6.3013,1.2423,6.9324,-5.3407,-3.9484,4.1083,-0.6961,3.0854,-1.4069,3.5044,-1.195,-7.3956,-3.3447,0.503,5.9246,1.1759,-0.1739,-5.2498,-8.0291,-2.5111,1.2245,2.0813,8.064,5.0461,-0.0577,2.2543,-5.8322,-3.4023,-3.3987,1.6109,-3.0422,0.7226,-2.0752,-1.9551,-3.6753,-2.0279,-6.0516,5.6799,-1.2558,-3.1355,8.0966,6.8786,-0.491099999999999,-1.2245,-0.3481,-0.210500000000000,1.7739,-3.6673,6.8059,-3.4279,-1.1453,1.6646,-4.8623,3.1948,-0.6717,1.5202,-0.1784,-0.1474,2.9797,2.0579,5.4124,-4.1667,1.5798,-0.5032,0.7058,3.3585,-3.5475,-0.0194000000000001,0.5411,2.5242,6.7516,3.5223,-3.0685,-1.2716,6.1982,-0.9953,-1.4563,5.8902,10.1863,4.9638,1.2437,-2.4763,-8.2043,4.1262,1.0983,0.5393,-5.6559,-3.3122,-1.6737,-1.1512,1.3659,1.0764,1.6769,3.1697,-3.401,-3.6706,-3.6955,-3.7281,3.0438,-5.0303,-0.2553,-3.1774,-1.0336,-1.6719,2.0648,-2.8567,0.9631,-4.6164,2.8379,0.748,-0.5243,1.97,4.991,9.241,2.0897,-2.1138,3.7917,0.3729,-4.0281,-6.043,-2.2319,0.0301000000000001,3.53,7.9337,-2.2516,5.9283,3.5316,2.1845,5.8447,4.3735,3.8243,-0.6305,0.469,4.0265,6.0272,-5.8018,2.48,-3.6187,-6.6425,4.4962,-5.1902,2.0552,3.639,0.3417,5.93,6.6203,-0.4153,-1.8498,-0.8724,-4.6889,7.193,11.1115,0.347400000000000,-3.4238,-2.3783,2.7125,-10.4631,-1.7607,0.3732,-4.335,-2.527,-1.9235,-1.3162,0.9668,2.2049,0.6158,1.5465,-1.291,0.5261,-2.1881,-2.3667,5.9219,4.7747,-4.6724,-0.0663,-0.8841,-1.8576,1.3685,-0.8413,1.2146,3.1453,3.3141,3.9413,-1.5454,-2.7829,1.8483,0.8579,0.6948
"9",-3.6832,-1.3928,2.7587,-5.8134,-2.2451,-1.1032,-1.8118,-2.4315,-0.7013,1.7112,0.5737,2.9589,-2.4503,4.0322,-3.8227,0.8409,-1.6468,-4.306,2.8336,-4.1056,0.9055,4.1083,-0.6196,0.9927,-0.2609,-2.164,-1.1643,-2.566,-3.7163,-2.1335,4.3802,-0.8831,0.262800000000000,-4.5789,-6.5088,9.2018,-0.0489999999999999,-1.9167,6.1491,1.4293,7.3241,-4.2211,-3.5814,3.8166,0.115500000000001,3.0787,-1.4302,2.9046,-0.8892,-7.2486,-3.267,-0.0269000000000013,5.5293,0.758,-0.052,-4.8752,-8.3208,-2.0633,0.9811,1.333,8.2185,4.6867,0.1982,2.7322,-5.9358,-2.5022,-2.8874,1.5011,-3.4983,1.1685,-2.8112,-2.7488,-3.9301,-1.9049,-4.7047,5.604,-0.1273,-3.4741,7.9132,6.6796,-1.0533,-1.3879,-0.7307,-0.4728,1.6858,-3.4324,6.3289,-3.22,-0.413499999999999,1.6035,-3.2058,3.1909,-1.0321,1.2949,-0.3021,0.4386,2.66,1.5903,5.2474,-3.9487,1.7625,-0.3198,-0.1035,3.1739,-3.3582,-0.7777,0.7133,2.516,7.205,2.7465,-2.9362,-1.4397,5.7213,-0.2583,-0.6856,5.7858,10.2293,5.0304,0.5908,-2.324,-7.1112,3.3636,0.6699,0.1025,-5.2277,-3.0995,-1.1149,-0.466099999999999,0.8195,1.0297,1.8129,3.4064,-3.4019,-3.455,-3.3159,-2.8251,2.6726,-5.3651,-0.458500000000001,-2.9434,-0.5423,-1.5137,1.9673,-2.5845,1.1934,-4.0661,2.8426,0.8546,-0.5976,2.0383,4.6156,9.0657,2.0248,-1.3972,3.3183,0.2026,-4.3783,-5.4924,-2.094,0.4865,3.0252,8.053,-2.2548,6.4694,3.4569,2.1317,5.5978,3.8156,3.89,-0.673,1.2191,3.9669,6.3277,-5.3265,2.1163,-4.074,-6.577,4.5482,-5.1572,1.0147,2.576,0.132,5.3321,6.3547,-0.7243,-1.9668,-0.7237,-4.5538,5.9355,11.0766,-0.00769999999999982,-2.9733,-1.7093,2.2526,-10.5109,-1.9964,0.434,-4.2252,-2.6999,-2.2016,-1.6741,0.7921,2.1436,0.8606,0.8054,-2.0919,0.0316000000000000,-1.9066,-2.3832,5.9358,4.6695,-4.0705,-0.114,-0.9656,-2.0662,1.34310000000000,-0.449999999999999,1.5139,3.5991,3.8943,4.6647,-2.0774,-3.0964,1.2705,0.509,0.9466
"10",-3.508,-2.2304,2.9134,-5.7615,-1.35,-0.4829,-1.6873,-1.3014,0.7285,1.6734,0.4199,2.8301,-2.4862,2.8884,-3.4096,0.6791,-0.861,-4.1408,3.4568,-4.1471,0.6688,2.765,-0.5387,0.9539,-0.4351,-1.7822,-1.4047,-3.0938,-3.166,-2.4417,4.5973,-0.6817,-0.191500000000001,-4.5657,-6.4628,8.193,0.5021,-1.5655,5.9529,1.7511,7.7286,-2.6707,-3.1565,3.4204,1.11610000000000,3.0037,-1.3621,2.173,-0.4985,-6.9733,-3.0689,-0.5716,5.0286,0.2239,0.122,-4.2045,-8.6238,-1.4737,0.6008,0.4311,8.3227,4.2439,0.4779,3.3233,-6.0487,-1.4333,-2.3602,1.4616,-4.0166,1.7595,-3.6872,-3.7189,-4.1929,-1.6999,-3.0153,5.3486,1.2823,-3.8447,7.5838,6.3391,-1.7449,-1.5147,-1.2982,-0.7796,1.4372,-3.091,5.7014,-2.9641,0.4177,1.5833,-1.1677,3.0749,-1.4024,1.0832,-0.4469,0.9924,2.3741,0.9826,4.9971,-3.6092,1.8998,-0.117700000000000,-0.9691,2.9012,-2.9983,-1.7216,0.9762,2.5519,7.5821,1.8925,-2.7214,-1.6372,5.0959,0.6668,0.229400000000000,5.6576,10.2265,5.1097,-0.2676,-2.0931,-5.7354,2.6164,0.3299,-0.3977,-4.6142,-2.8646,-0.39,0.409699999999999,0.0539000000000001,0.9221,1.926,3.5895,-3.3822,-3.1544,-2.8087,-1.6882,2.0832,-5.6783,-0.614,-2.6584,-0.0568000000000008,-1.2776,1.7793,-2.1686,1.4945,-3.4646,2.857,0.9933,-0.7349,2.085,4.1243,8.8838,1.8575,-0.4912,2.8207,-0.0379000000000000,-4.876,-4.7908,-2.0146,1.0585,2.3798,8.0425,-2.1408,6.9829,3.4552,2.0871,5.3422,3.1701,3.8818,-0.7094,2.0838,3.8262,6.5961,-4.6053,1.684,-4.5445,-6.475,4.4647,-4.9661,-0.1799,1.3436,-0.0704000000000002,4.4856,5.9317,-1.1678,-2.1795,-0.5595,-4.2297,4.2162,11.0295,-0.496099999999999,-2.3405,-0.9973,1.5792,-10.3616,-2.2311,0.4676,-4.0784,-2.7903,-2.4949,-2.0255,0.529,2.126,1.1691,-0.1423,-3.0235,-0.63,-1.5303,-2.3427,5.8807,4.5755,-3.2229,-0.240699999999999,-1.0437,-2.2364,1.3617,0.128400000000001,1.9023,4.0987,4.6284,5.3576,-2.7301,-3.5465,0.4626,0.134400000000000,1.2363
