"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114"
"1",-7.5904,2.0589,-3.0386,7.7982,5.7597,-4.0693,-4.5652,6.8767,-2.9113,3.0641,2.7492,1.798,-3.4987,-2.9524,-3.0738,0.1059,-0.551,-1.1766,0.515199999999999,1.6678,-7.1238,-0.222700000000000,5.2155,1.6764,-5.7352,2.3201,13.7488,-3.9096,-3.0385,-3.2085,-5.3865,-0.7206,1.5822,0.1589,2.0743,-2.1286,6.9186,2.1708,1.2586,-2.9239,-6.3741,2.3195,-3.6698,2.9188,-3.3748,0.0138000000000000,4.1911,-2.9911,-2.5396,4.7359,-3.0079,1.6992,1.5232,0.9854,2.5129,6.6083,-3.9524,10.8866,-1.6682,-4.7783,1.2726,-8.8415,2.0143,-1.0149,-3.5144,3.8888,0.689,-1.3469,-1.6901,4.4823,-2.9014,-3.4705,-0.262300000000000,-0.542200000000001,-2.5494,-2.9172,-2.3093,-2.0991,3.1525,-5.0806,0.52,9.0993,-9.2544,-0.5044,-2.1588,5.9327,-4.9534,2.3802,-1.0339,2.5355,-8.3685,-3.219,-1.211,8.3349,0.8644,4.9279,2.3725,3.2611,1.9308,-8.2392,13.6683,-1.2843,4.2792,-4.4889,4.5982,-1.475,-5.1392,-3.4882,-0.3041,4.6361,0.486,1.4925,-4.9303,-3.3511
"2",-7.5904,2.0589,-3.0386,7.7982,5.7597,-4.0693,-4.5652,6.8767,-2.9113,3.0641,2.7492,1.798,-3.4987,-2.9524,-3.0738,0.1059,-0.551,-1.1766,0.515199999999999,1.6678,-7.1238,-0.222700000000000,5.2155,1.6764,-5.7352,2.3201,13.7488,-3.9096,-3.0385,-3.2085,-5.3865,-0.7206,1.5822,0.1589,2.0743,-2.1286,6.9186,2.1708,1.2586,-2.9239,-6.3741,2.3195,-3.6698,2.9188,-3.3748,0.0138000000000000,4.1911,-2.9911,-2.5396,4.7359,-3.0079,1.6992,1.5232,0.9854,2.5129,6.6083,-3.9524,10.8866,-1.6682,-4.7783,1.2726,-8.8415,2.0143,-1.0149,-3.5144,3.8888,0.689,-1.3469,-1.6901,4.4823,-2.9014,-3.4705,-0.262300000000000,-0.542200000000001,-2.5494,-2.9172,-2.3093,-2.0991,3.1525,-5.0806,0.52,9.0993,-9.2544,-0.5044,-2.1588,5.9327,-4.9534,2.3802,-1.0339,2.5355,-8.3685,-3.219,-1.211,8.3349,0.8644,4.9279,2.3725,3.2611,1.9308,-8.2392,13.6683,-1.2843,4.2792,-4.4889,4.5982,-1.475,-5.1392,-3.4882,-0.3041,4.6361,0.486,1.4925,-4.9303,-3.3511
"3",-7.5895,2.0576,-3.0396,7.795,5.758,-4.0693,-4.5628,6.8749,-2.9081,3.0642,2.7476,1.7982,-3.4978,-2.9534,-3.0766,0.107,-0.5506,-1.1775,0.512,1.6674,-7.1197,-0.2225,5.2178,1.6756,-5.7354,2.3197,13.7464,-3.9081,-3.0371,-3.2097,-5.3837,-0.7219,1.5797,0.160299999999999,2.074,-2.1283,6.9158,2.1698,1.2576,-2.9242,-6.3752,2.3179,-3.6719,2.9173,-3.3739,0.0159000000000000,4.1899,-2.9924,-2.5386,4.7353,-3.0056,1.6984,1.5213,0.9862,2.5141,6.6054,-3.9508,10.886,-1.6657,-4.7768,1.2737,-8.8412,2.014,-1.0155,-3.5156,3.8903,0.6859,-1.3488,-1.6899,4.4841,-2.9039,-3.4695,-0.2629,-0.5396,-2.5479,-2.9172,-2.3077,-2.0998,3.1547,-5.0803,0.5185,9.0978,-9.2546,-0.5047,-2.1582,5.9299,-4.9525,2.379,-1.0338,2.5362,-8.3673,-3.2173,-1.2112,8.3333,0.8653,4.9266,2.372,3.2576,1.9297,-8.2357,13.6676,-1.2821,4.2805,-4.4892,4.5984,-1.4752,-5.1395,-3.4889,-0.3031,4.6358,0.487699999999999,1.4912,-4.932,-3.3489
"4",-7.5825,2.0466,-3.0443,7.7688,5.7463,-4.0704,-4.5432,6.8606,-2.8838,3.0649,2.7346,1.8004,-3.4931,-2.9619,-3.0979,0.1161,-0.5462,-1.1819,0.4862,1.6647,-7.0896,-0.220800000000000,5.2329,1.6698,-5.7353,2.3144,13.7297,-3.8983,-3.0253,-3.2183,-5.3606,-0.732,1.5609,0.1692,2.069,-2.1257,6.8958,2.1603,1.2482,-2.926,-6.3827,2.3059,-3.6884,2.9069,-3.3659,0.0311000000000001,4.1789,-3.0013,-2.5316,4.7293,-2.9869,1.6946,1.5077,0.9916,2.5223,6.585,-3.9391,10.8807,-1.6461,-4.7627,1.2792,-8.8388,2.0116,-1.0188,-3.5237,3.9001,0.6622,-1.3627,-1.6866,4.4991,-2.9233,-3.4639,-0.266900000000000,-0.5204,-2.5367,-2.9169,-2.2964,-2.1038,3.1691,-5.0768,0.5084,9.0848,-9.256,-0.509,-2.1547,5.9054,-4.9458,2.3697,-1.0343,2.5395,-8.3586,-3.2043,-1.2136,8.3215,0.8706,4.9147,2.3698,3.2315,1.9229,-8.2103,13.6575,-1.2668,4.2895,-4.4881,4.5984,-1.4781,-5.1429,-3.4946,-0.293800000000000,4.6342,0.499000000000001,1.4822,-4.9438,-3.3335
"5",-7.551,2.0045,-3.0528,7.6676,5.7026,-4.0752,-4.4684,6.8124,-2.7958,3.0726,2.6867,1.8073,-3.4802,-2.9958,-3.1762,0.1483,-0.5258,-1.1975,0.391,1.6526,-6.986,-0.2119,5.2834,1.6485,-5.7339,2.2924,13.6662,-3.8645,-2.9741,-3.2444,-5.272,-0.7699,1.495,0.1944,2.0393,-2.1084,6.8227,2.1179,1.2109,-2.9254,-6.4101,2.2629,-3.7498,2.868,-3.3359,0.0819999999999999,4.1418,-3.0341,-2.5053,4.7033,-2.918,1.6833,1.4608,1.0086,2.5531,6.5102,-3.8942,10.8562,-1.5746,-4.7031,1.2928,-8.8309,2,-1.0274,-3.5497,3.9302,0.5732,-1.4114,-1.68,4.5513,-2.9968,-3.4496,-0.2775,-0.452500000000001,-2.4947,-2.9168,-2.2534,-2.1128,3.214,-5.0611,0.4722,9.031,-9.2619,-0.5323,-2.1441,5.8099,-4.9234,2.3335,-1.0336,2.5529,-8.3197,-3.157,-1.2244,8.2795,0.8861,4.8694,2.364,3.1299,1.8982,-8.1165,13.6026,-1.2115,4.3231,-4.4748,4.5996,-1.4939,-5.1578,-3.5131,-0.2571,4.6267,0.537,1.4534,-4.9835,-3.2801
"6",-7.4572,1.8986,-3.0511,7.408,5.5937,-4.0821,-4.2788,6.7053,-2.5821,3.1078,2.5734,1.818,-3.4623,-3.0867,-3.358,0.2196,-0.4661,-1.2351,0.168299999999999,1.6183,-6.7527,-0.184900000000001,5.3892,1.5971,-5.7221,2.2383,13.5052,-3.7875,-2.8309,-3.2866,-5.05,-0.8639,1.3418,0.235000000000000,1.9393,-2.0423,6.6462,1.9909,1.1189,-2.904,-6.4729,2.1606,-3.9018,2.7706,-3.2609,0.1925,4.0591,-3.1101,-2.4368,4.6314,-2.7498,1.6635,1.3524,1.0436,2.6266,6.3254,-3.7723,10.7819,-1.4049,-4.5348,1.3042,-8.8114,1.9605,-1.0406,-3.6122,3.9847,0.3572,-1.5237,-1.6787,4.672,-3.1848,-3.4338,-0.2924,-0.299999999999999,-2.3911,-2.9122,-2.1418,-2.1209,3.2965,-5.0139,0.3879,8.8844,-9.273,-0.6091,-2.1241,5.5631,-4.8739,2.2434,-1.0276,2.5877,-8.2066,-3.0423,-1.2546,8.1815,0.9117,4.754,2.3555,2.8686,1.841,-7.8857,13.4247,-1.0809,4.4046,-4.4135,4.6058,-1.5441,-5.1982,-3.5521,-0.1598,4.6057,0.6194,1.3916,-5.0679,-3.156
"7",-7.2482,1.7018,-3.015,6.8978,5.3793,-4.0798,-3.9172,6.5291,-2.1858,3.206,2.3758,1.8185,-3.4514,-3.2664,-3.6519,0.3324,-0.34,-1.3072,-0.2081,1.5472,-6.3527,-0.1212,5.5471,1.5058,-5.6764,2.1496,13.1866,-3.6548,-2.5276,-3.3134,-4.6257,-1.0427,1.0746,0.272700000000000,1.7092,-1.8682,6.3163,1.7047,0.9559,-2.8218,-6.5798,1.9763,-4.1867,2.5791,-3.1143,0.3716,3.9127,-3.2403,-2.2969,4.4844,-2.4357,1.6381,1.1627,1.1016,2.7627,5.9695,-3.5078,10.6142,-1.1031,-4.1771,1.2824,-8.7724,1.8595,-1.0545,-3.7376,4.0421,-0.0323,-1.7219,-1.7062,4.8793,-3.551,-3.4419,-0.3033,-0.0522,-2.1977,-2.8879,-1.9173,-2.112,3.3925,-4.9066,0.237,8.5818,-9.2794,-0.7957,-2.0941,5.0812,-4.7857,2.0755,-1.0108,2.6553,-7.9569,-2.834,-1.3193,8.0106,0.933,4.53,2.3501,2.3552,1.7447,-7.4491,13.015,-0.8436,4.5514,-4.242,4.6274,-1.6562,-5.2761,-3.6123,0.0369999999999999,4.5643,0.744,1.2898,-5.1966,-2.9339
"8",-6.8723,1.409,-2.9304,6.0592,5.0264,-4.0514,-3.3558,6.2978,-1.5797,3.4131,2.1056,1.7822,-3.4652,-3.5482,-3.9928,0.4651,-0.1366,-1.425,-0.7038,1.4321,-5.7889,0.00150000000000006,5.7172,1.3801,-5.5588,2.0461,12.6541,-3.4749,-2.0035,-3.2605,-3.96,-1.3262,0.6962,0.282900000000000,1.3029,-1.5215,5.7984,1.1794,0.7316,-2.629,-6.721,1.7072,-4.6179,2.2653,-2.8729,0.6057,3.6884,-3.4103,-2.0614,4.2477,-1.9495,1.6161,0.8867,1.1896,2.9734,5.3855,-3.0171,10.3075,-0.6694,-3.5592,1.18660000000000,-8.7005,1.6488,-1.072,-3.9643,4.0495,-0.5934,-2.0153,-1.795,5.1596,-4.1375,-3.5118,-0.297899999999999,0.2694,-1.9039,-2.8111,-1.5348,-2.0705,3.4444,-4.704,0.0125000000000002,8.0681,-9.249,-1.1581,-2.0506,4.3123,-4.6419,1.824,-0.9797,2.7595,-7.5044,-2.5231,-1.4296,7.7712,0.9142,4.1678,2.3544,1.5226,1.622,-6.7615,12.2756,-0.4876,4.7641,-3.8935,4.6873,-1.8421,-5.3911,-3.6882,0.3669,4.4985,0.8773,1.1497,-5.3453,-2.5972
"9",-6.2984,1.0404,-2.8119,4.8428,4.5247,-3.9932,-2.611,6.0475,-0.7832,3.7671,1.8102,1.6911,-3.5191,-3.9093,-4.2495,0.5738,0.125100000000000,-1.5987,-1.2378,1.2746,-5.1068,0.2103,5.8212,1.2467,-5.3332,1.9579,11.8687,-3.2806,-1.225,-3.0486,-3.0594,-1.7153,0.2384,0.253699999999999,0.7052,-0.9653,5.088,0.358400000000000,0.4784,-2.2951,-6.867,1.3766,-5.1629,1.8217,-2.5257,0.8561,3.3804,-3.5834,-1.7218,3.9291,-1.2958,1.612,0.5264,1.3171,3.2606,4.5343,-2.2227,9.8285,-0.142200000000000,-2.651,0.9888,-8.579,1.2766,-1.1092,-4.3257,3.9417,-1.2729,-2.4013,-1.9668,5.461,-4.9413,-3.6683,-0.263900000000000,0.6372,-1.5249,-2.6385,-0.9577,-1.9862,3.3856,-4.3702,-0.2773,7.3091,-9.1306,-1.7518,-1.9876,3.2551,-4.4167,1.502,-0.9301,2.8865,-6.7961,-2.1228,-1.5863,7.4895,0.7965,3.6551,2.3738,0.3518,1.5106,-5.8098,11.1541,-0.0293999999999999,5.0234,-3.3306,4.821,-2.0808,-5.5256,-3.7674,0.8522,4.4032,0.9516,0.9812,-5.4764,-2.1462
"10",-5.5278,0.6266,-2.6962,3.2342,3.8934,-3.9213,-1.7335,5.8193,0.135400000000000,4.2724,1.5638,1.5604,-3.6202,-4.2842,-4.2773,0.6052,0.3932,-1.8375,-1.7275,1.0816,-4.3897,0.528799999999999,5.7487,1.146,-4.9846,1.9038,10.8162,-3.1193,-0.2027,-2.6112,-1.9835,-2.1848,-0.2531,0.192,-0.07,-0.2197,4.2183,-0.7628,0.2363,-1.8337,-6.9761,1.029,-5.7412,1.268,-2.0841,1.0642,3.0021,-3.7159,-1.2908,3.5566,-0.5157,1.6394,0.0751999999999997,1.4926,3.6123,3.4184,-1.0861,9.1639,0.4104,-1.4756,0.6899,-8.3921,0.7061,-1.1932,-4.8206,3.6761,-1.9921,-2.8636,-2.2172,5.7017,-5.9026,-3.8979,-0.191800000000000,1.0446,-1.0983,-2.3342,-0.168300000000000,-1.8519,3.1715,-3.882,-0.6112,6.2962,-8.8688,-2.5991,-1.8984,1.9554,-4.0781,1.1316,-0.8532,3.0053,-5.8094,-1.6639,-1.7739,7.2066,0.5093,2.9967,2.4149,-1.1174,1.4646,-4.6093,9.6582,0.477,5.2927,-2.5716,5.0676,-2.3151,-5.6471,-3.8242,1.4994,4.264,0.8822,0.8021,-5.553,-1.6034
