"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111"
"1",-7.4106,-0.4804,3.4537,3.9879,2.9408,4.5784,8.02,-0.8091,0.6997,-3.4894,-5.0609,-8.8184,6.388,1.5716,-2.1691,-1.3786,0.3681,-0.4023,-1.1822,2.8333,-1.867,1.4131,4.0997,-1.1857,-1.6622,1.5715,-3.3253,3.9973,-1.1773,-1.0148,2.3801,-1.7056,0.7474,5.3711,-3.9585,-1.579,6.6471,5.0299,0.4306,-1.8089,-1.1358,1.5351,-1.6089,2.8376,5.5018,2.7776,3.7863,0.176900000000000,-1.8884,-0.5388,-2.641,4.6213,5.9465,-0.7682,-0.6967,-0.3708,8.3922,-1.3299,9.8085,-2.9494,-0.4758,-0.8068,-6.0721,1.2813,-0.767000000000001,-1.8713,-1.4467,12.9359,-2.1824,4.6759,-1.4563,-2.7996,1.5279,3.6399,-3.4344,-0.6933,-1.2938,-1.9933,2.3913,-4.1971,1.2872,-3.5826,4.7709,5.4506,4.6096,0.2501,-1.8309,-5.0209,-1.3532,2.9159,3.2111,0.3636,2.1223,2.7006,7.1373,4.5041,-7.4245,-8.2169,-0.3491,0.0934,-2.743,3.0522,2.1791,1.8041,-5.0841,0.0442999999999998,0.929,1.0608,-0.246700000000000,0.705099999999999,1.1731
"2",-7.4106,-0.4804,3.4537,3.9879,2.9408,4.5784,8.02,-0.8091,0.6997,-3.4894,-5.0609,-8.8184,6.388,1.5716,-2.1691,-1.3786,0.3681,-0.4023,-1.1822,2.8333,-1.867,1.4131,4.0997,-1.1857,-1.6622,1.5715,-3.3253,3.9973,-1.1773,-1.0148,2.3801,-1.7056,0.7474,5.3711,-3.9585,-1.579,6.6471,5.0299,0.4306,-1.8089,-1.1358,1.5351,-1.6089,2.8376,5.5018,2.7776,3.7863,0.176900000000000,-1.8884,-0.5388,-2.641,4.6213,5.9465,-0.7682,-0.6967,-0.3708,8.3922,-1.3299,9.8085,-2.9494,-0.4758,-0.8068,-6.0721,1.2813,-0.767000000000001,-1.8713,-1.4467,12.9359,-2.1824,4.6759,-1.4563,-2.7996,1.5279,3.6399,-3.4344,-0.6933,-1.2938,-1.9933,2.3913,-4.1971,1.2872,-3.5826,4.7709,5.4506,4.6096,0.2501,-1.8309,-5.0209,-1.3532,2.9159,3.2111,0.3636,2.1223,2.7006,7.1373,4.5041,-7.4245,-8.2169,-0.3491,0.0934,-2.743,3.0522,2.1791,1.8041,-5.0841,0.0442999999999998,0.929,1.0608,-0.246700000000000,0.705099999999999,1.1731
"3",-7.4103,-0.4782,3.4522,3.9874,2.9446,4.5789,8.0165,-0.8094,0.6988,-3.4893,-5.0629,-8.8152,6.3882,1.5723,-2.1634,-1.3776,0.3687,-0.4017,-1.1832,2.8345,-1.8656,1.4103,4.1001,-1.1877,-1.6617,1.5739,-3.3244,3.9966,-1.1767,-1.0164,2.3811,-1.704,0.7471,5.3706,-3.9577,-1.5801,6.6465,5.0311,0.4291,-1.8072,-1.1377,1.5363,-1.6078,2.8373,5.502,2.7786,3.7864,0.177,-1.8876,-0.5364,-2.6386,4.6216,5.9449,-0.7679,-0.6973,-0.3714,8.391,-1.3306,9.8058,-2.9463,-0.4756,-0.8062,-6.0724,1.2815,-0.767000000000001,-1.872,-1.4461,12.9349,-2.1828,4.6763,-1.4576,-2.8009,1.5256,3.6432,-3.4347,-0.692100000000001,-1.2943,-1.9927,2.3892,-4.1962,1.2882,-3.5802,4.7694,5.4498,4.6105,0.251200000000000,-1.83,-5.0196,-1.3533,2.9177,3.2118,0.3622,2.1229,2.6997,7.137,4.5043,-7.4245,-8.2159,-0.3494,0.0939999999999999,-2.7437,3.0536,2.18,1.8052,-5.0836,0.0457999999999998,0.9276,1.0597,-0.246,0.7044,1.1722
"4",-7.4098,-0.4623,3.4404,3.9859,2.9716,4.5795,7.9914,-0.8121,0.6923,-3.4863,-5.0771,-8.7898,6.39,1.5777,-2.123,-1.3687,0.3732,-0.3978,-1.1914,2.8432,-1.8556,1.3902,4.1045,-1.2022,-1.6582,1.5908,-3.3195,3.9906,-1.1701,-1.0275,2.3886,-1.6953,0.7441,5.3653,-3.9506,-1.5878,6.6407,5.0388,0.417100000000000,-1.7961,-1.152,1.5459,-1.6007,2.8362,5.5056,2.7852,3.7873,0.176700000000000,-1.88,-0.516800000000001,-2.6229,4.6226,5.9322,-0.7652,-0.7024,-0.3762,8.3813,-1.3349,9.7825,-2.9245,-0.4753,-0.8017,-6.0724,1.2833,-0.766499999999999,-1.8766,-1.4425,12.9273,-2.1869,4.6789,-1.467,-2.8081,1.5069,3.6669,-3.4373,-0.6832,-1.2973,-1.987,2.3705,-4.1888,1.2955,-3.561,4.7591,5.4444,4.6166,0.258600000000000,-1.8216,-5.0101,-1.3526,2.9314,3.217,0.3532,2.1284,2.6939,7.1338,4.505,-7.4245,-8.2092,-0.3514,0.0994000000000002,-2.7519,3.063,2.1865,1.8123,-5.0799,0.0582999999999991,0.9146,1.0514,-0.239200000000000,0.7003,1.166
"5",-7.4072,-0.405,3.3966,3.9827,3.0635,4.5723,7.9033,-0.8203,0.6693,-3.4733,-5.1231,-8.6939,6.3924,1.5994,-1.9852,-1.3289,0.3902,-0.3837,-1.2214,2.8751,-1.8197,1.3226,4.1286,-1.254,-1.6476,1.6479,-3.3052,3.9671,-1.1419,-1.0633,2.4164,-1.6692,0.7326,5.3396,-3.9248,-1.6162,6.6142,5.0684,0.375200000000000,-1.7541,-1.2005,1.5765,-1.5776,2.8345,5.5176,2.8047,3.787,0.1729,-1.85,-0.437399999999999,-2.569,4.625,5.8786,-0.7568,-0.7192,-0.3906,8.3455,-1.3483,9.6964,-2.8462,-0.4721,-0.7837,-6.0693,1.2868,-0.767900000000001,-1.8915,-1.43,12.8977,-2.2024,4.6872,-1.4989,-2.8331,1.4372,3.7483,-3.4447,-0.6463,-1.3001,-1.9663,2.2954,-4.1572,1.3189,-3.4928,4.7285,5.4209,4.6366,0.2831,-1.789,-4.9716,-1.3523,2.9807,3.2373,0.3253,2.1506,2.6757,7.1201,4.5068,-7.4211,-8.1806,-0.3609,0.119200000000000,-2.7841,3.0926,2.2098,1.8394,-5.069,0.105100000000000,0.8664,1.0208,-0.2105,0.6842,1.1448
"6",-7.3974,-0.2709,3.2905,3.9809,3.2653,4.5319,7.7,-0.8365,0.620500000000001,-3.4384,-5.2108,-8.4556,6.386,1.6563,-1.6811,-1.2198,0.4346,-0.3557,-1.2955,2.9504,-1.737,1.1781,4.2009,-1.3793,-1.6278,1.7744,-3.2837,3.9061,-1.0572,-1.1362,2.4818,-1.6248,0.701599999999999,5.2596,-3.8573,-1.6835,6.5361,5.1468,0.2771,-1.6466,-1.3035,1.6368,-1.5303,2.837,5.542,2.8395,3.7762,0.1561,-1.7751,-0.226200000000000,-2.4516,4.6214,5.7344,-0.7352,-0.7566,-0.4157,8.2564,-1.3685,9.4807,-2.6621,-0.4592,-0.7344,-6.0526,1.29,-0.780600000000002,-1.9182,-1.4018,12.8203,-2.2454,4.7048,-1.5721,-2.8905,1.265,3.9279,-3.4539,-0.5451,-1.2855,-1.9215,2.0977,-4.0681,1.3658,-3.3315,4.6718,5.3546,4.6793,0.3367,-1.7023,-4.8714,-1.358,3.095,3.2865,0.2742,2.2085,2.6401,7.0792,4.5075,-7.4018,-8.0999,-0.390400000000001,0.1671,-2.8695,3.1513,2.2627,1.907,-5.0505,0.223699999999997,0.7519,0.9454,-0.1339,0.644799999999999,1.096
"7",-7.3642,-0.0358999999999998,3.0977,3.9863,3.596,4.4154,7.3456,-0.857,0.5496,-3.3741,-5.3063,-8.0082,6.3479,1.7645,-1.1759,-1.0077,0.524600000000000,-0.3216,-1.431,3.0841,-1.5958,0.9525,4.3487,-1.6159,-1.6016,1.9871,-3.2707,3.7879,-0.8611,-1.2446,2.599,-1.585,0.6333,5.0691,-3.7152,-1.8062,6.3602,5.3066,0.101500000000000,-1.4277,-1.4594,1.7143,-1.4572,2.8557,5.5691,2.8856,3.7325,0.1145,-1.6399,0.193400000000000,-2.2608,4.5844,5.4472,-0.6829,-0.8211,-0.4436,8.0835,-1.3749,9.0615,-2.333,-0.4216,-0.6322,-6.0053,1.2888,-0.825199999999999,-1.9435,-1.3511,12.6629,-2.3397,4.7315,-1.7023,-2.994,0.9397,4.2165,-3.4532,-0.334800000000000,-1.2161,-1.8556,1.7097,-3.8768,1.4295,-3.0443,4.5984,5.2156,4.7479,0.4309,-1.5269,-4.6747,-1.3856,3.2918,3.3724,0.2093,2.3132,2.5915,6.9857,4.5007,-7.3397,-7.929,-0.4578,0.251600000000000,-3.0398,3.2268,2.3532,2.0366,-5.0282,0.45370,0.5479,0.802,0.0183,0.568899999999999,1.0083
"8",-7.2737,0.296300000000000,2.8096,4.0022,4.0328,4.1707,6.8322,-0.871,0.4745,-3.2901,-5.3191,-7.317,6.2425,1.9201,-0.493,-0.6908,0.6785,-0.304,-1.6311,3.2773,-1.404,0.6722,4.5735,-1.9942,-1.5731,2.289,-3.293,3.6018,-0.4856,-1.3747,2.7682,-1.5988,0.5093,4.6943,-3.4569,-1.9894,6.0315,5.578,-0.1627,-1.0495,-1.6335,1.7718,-1.3622,2.9088,5.5699,2.9419,3.623,0.0508999999999999,-1.4493,0.867800000000001,-2.0108,4.4599,4.9924,-0.5647,-0.9135,-0.4548,7.7974,-1.3205,8.3816,-1.8467,-0.341,-0.465,-5.9065,1.2884,-0.9247,-1.9398,-1.2745,12.3893,-2.516,4.766,-1.8981,-3.1537,0.4302,4.5731,-3.4235,0.0173999999999994,-1.0452,-1.7935,1.098,-3.5406,1.4885,-2.6248,4.5236,4.9755,4.8391,0.576,-1.2382,-4.3628,-1.4562,3.5602,3.4885,0.1436,2.4554,2.5408,6.8085,4.4738,-7.192,-7.6336,-0.5796,0.371,-3.3196,3.2785,2.482,2.2383,-5.0033,0.8185,0.251000000000000,0.5737,0.2611,0.446,0.872
"9",-7.0861,0.6931,2.4343,4.0268,4.5172,3.752,6.1741,-0.865,0.411000000000000,-3.2187,-5.1315,-6.3892,6.0286,2.0866,0.2959,-0.2992,0.9083,-0.3256,-1.8771,3.5167,-1.1866,0.3736,4.8491,-2.5289,-1.5371,2.6737,-3.3753,3.3442,0.1295,-1.5122,2.9705,-1.7231,0.324299999999999,4.0492,-3.0331,-2.2184,5.4975,5.9713,-0.5178,-0.4802,-1.7662,1.7601,-1.25510000000000,3.0148,5.5071,3.0167,3.4046,-0.00169999999999959,-1.2207,1.7868,-1.7382,4.1821,4.3897,-0.3269,-1.0304,-0.4252,7.3659,-1.14,7.4156,-1.2222,-0.207600000000000,-0.251399999999999,-5.7369,1.3046,-1.0876,-1.878,-1.1749,11.9567,-2.8026,4.808,-2.1577,-3.3718,-0.2644,4.9082,-3.3519,0.518199999999999,-0.7346,-1.7696,0.281100000000000,-3.0296,1.5167,-2.0933,4.4492,4.6091,4.9435,0.7808,-0.8367,-3.9406,-1.5797,3.8588,3.6137,0.0773,2.5993,2.4982,6.5146,4.4064,-6.9113,-7.1897,-0.7551,0.5151,-3.7164,3.2488,2.6477,2.4994,-4.9661,1.3094,-0.123800000000000,0.2561,0.5897,0.269300000000000,0.6794
"10",-6.7761,1.0968,1.9881,4.0468,4.966,3.1303,5.3988,-0.8332,0.359800000000001,-3.205,-4.6519,-5.2643,5.6692,2.1906,1.0951,0.138500000000000,1.2143,-0.3938,-2.1364,3.7779,-0.9774,0.0811,5.1323,-3.2086,-1.4737,3.1227,-3.5246,3.0102,1.0079,-1.6491,3.1655,-1.9982,0.0996000000000006,3.0475,-2.398,-2.4551,4.7234,6.4674,-0.9596,0.2758,-1.7928,1.6343,-1.1571,3.1817,5.3477,3.1237,3.0235,0.0147999999999997,-0.9687,2.8832,-1.4931,3.7034,3.6953,0.0823999999999998,-1.1683,-0.3301,6.7508,-0.7669,6.1861,-0.5066,-0.0274000000000001,-0.0504000000000007,-5.4802,1.3528,-1.2934,-1.7419,-1.0659,11.3129,-3.2153,4.8593,-2.4668,-3.6411,-1.1093,5.1109,-3.2445,1.1442,-0.2675,-1.8098,-0.6766,-2.3343,1.494,-1.487,4.353,4.0908,5.0435,1.0447,-0.3487,-3.4317,-1.7367,4.1203,3.7195,-0.0105999999999999,2.6957,2.4726,6.0783,4.2693,-6.4575,-6.591,-0.9582,0.6724,-4.2099,3.0836,2.8449,2.7756,-4.8902,1.881,-0.5471,-0.137000000000000,0.977,0.0389999999999997,0.4219
