"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107"
"1",7.7185,-1.6709,-6.3519,-4.5904,14.5554,-9.7526,-3.075,1.2023,-0.224300000000001,7.1227,1.7425,-9.377,-6.3827,-18.6238,2.6805,-4.864,0.5121,6.3826,4.4275,6.1863,5.2202,6.5708,8.3279,-3.4959,-7.6729,-2.5685,-1.4015,-0.6386,8.7314,-5.672,-11.9125,3.884,2.462,3.5846,3.6804,-1.6381,-1.1571,-4.8557,1.4681,-7.8656,1.8044,-10.1393,-3.3168,3.3494,9.3785,-3.2213,11.5462,6.6433,3.3486,-0.2332,-15.8114,-9.1146,5.287,-7.5753,9.3677,-0.2165,14.4675,-2.5845,-2.3179,3.4249,18.8788,-1.5707,-3.3149,-4.285,2.4001,3.8598,-2.18,-15.2296,6.9372,-1.847,9.4346,6.6273,-15.1366,0.0983,-0.9559,11.3573,-0.1555,-7.037,-5.5011,-13.2418,5.6476,5.5443,-1.9379,0.469000000000001,11.4961,-5.0637,0.9786,7.5238,-0.0580999999999996,19.7258,7.9018,-1.9677,-6.0787,8.7101,6.4546,13.7389,1.03980000000000,2.5474,-3.6156,2.45,7.2519,-9.3254,10.743,-8.493,-15.5785,5.7025,-6.3887
"2",7.7185,-1.6709,-6.3519,-4.5904,14.5554,-9.7526,-3.075,1.2023,-0.224300000000001,7.1227,1.7425,-9.377,-6.3827,-18.6238,2.6805,-4.864,0.5121,6.3826,4.4275,6.1863,5.2202,6.5708,8.3279,-3.4959,-7.6729,-2.5685,-1.4015,-0.6386,8.7314,-5.672,-11.9125,3.884,2.462,3.5846,3.6804,-1.6381,-1.1571,-4.8557,1.4681,-7.8656,1.8044,-10.1393,-3.3168,3.3494,9.3785,-3.2213,11.5462,6.6433,3.3486,-0.2332,-15.8114,-9.1146,5.287,-7.5753,9.3677,-0.2165,14.4675,-2.5845,-2.3179,3.4249,18.8788,-1.5707,-3.3149,-4.285,2.4001,3.8598,-2.18,-15.2296,6.9372,-1.847,9.4346,6.6273,-15.1366,0.0983,-0.9559,11.3573,-0.1555,-7.037,-5.5011,-13.2418,5.6476,5.5443,-1.9379,0.469000000000001,11.4961,-5.0637,0.9786,7.5238,-0.0580999999999996,19.7258,7.9018,-1.9677,-6.0787,8.7101,6.4546,13.7389,1.03980000000000,2.5474,-3.6156,2.45,7.2519,-9.3254,10.743,-8.493,-15.5785,5.7025,-6.3887
"3",7.7193,-1.6655,-6.3498,-4.5876,14.5545,-9.7521,-3.0698,1.2064,-0.224,7.1216,1.7444,-9.3783,-6.3829,-18.6236,2.68,-4.8651,0.510499999999999,6.3819,4.4285,6.1856,5.2213,6.5656,8.3264,-3.4965,-7.6727,-2.5685,-1.4041,-0.641500000000001,8.7302,-5.6706,-11.9105,3.8872,2.4604,3.5843,3.6828,-1.6433,-1.1611,-4.8535,1.465,-7.8626,1.8003,-10.1409,-3.3195,3.3447,9.3768,-3.2191,11.5454,6.6394,3.3481,-0.2327,-15.8134,-9.1124,5.286,-7.5769,9.3676,-0.218299999999999,14.4704,-2.5876,-2.3175,3.425,18.8758,-1.5718,-3.3158,-4.281,2.3981,3.8574,-2.1809,-15.2253,6.9347,-1.8484,9.4363,6.6261,-15.138,0.0986000000000002,-0.956399999999999,11.3599,-0.1536,-7.0374,-5.4992,-13.2392,5.647,5.548,-1.9418,0.468500000000002,11.4948,-5.0612,0.979,7.526,-0.0628999999999991,19.7247,7.8979,-1.9617,-6.0752,8.7068,6.4537,13.7423,1.0388,2.5461,-3.6161,2.4468,7.2526,-9.3263,10.7447,-8.4936,-15.5789,5.7007,-6.3889
"4",7.7248,-1.6274,-6.3333,-4.5672,14.5475,-9.7489,-3.0311,1.236,-0.220900000000000,7.1145,1.7606,-9.3847,-6.3838,-18.6192,2.6793,-4.8731,0.498499999999999,6.3774,4.4364,6.1812,5.2295,6.5251,8.3124,-3.5013,-7.6682,-2.5698,-1.4253,-0.6607,8.7204,-5.6603,-11.8941,3.9083,2.4493,3.583,3.6991,-1.6828,-1.1917,-4.8372,1.4432,-7.8391,1.7696,-10.1523,-3.3388,3.3111,9.3628,-3.2015,11.5391,6.6093,3.3443,-0.2311,-15.8252,-9.0937,5.2769,-7.5919,9.3658,-0.230300000000000,14.4912,-2.6118,-2.3128,3.4261,18.8551,-1.5779,-3.3229,-4.2512,2.3821,3.838,-2.1864,-15.1916,6.9188,-1.8605,9.4477,6.617,-15.1473,0.101,-0.9611,11.3795,-0.138699999999999,-7.0411,-5.484,-13.2172,5.6408,5.5765,-1.9714,0.4665,11.4852,-5.0436,0.984,7.5439,-0.0978999999999992,19.7139,7.8701,-1.9178,-6.0456,8.6797,6.4451,13.7642,1.0305,2.5358,-3.6157,2.4215,7.2575,-9.3335,10.7549,-8.5006,-15.5823,5.6889,-6.3874
"5",7.7422,-1.4953,-6.2743,-4.496,14.5179,-9.7317,-2.8944,1.3436,-0.204499999999999,7.0899,1.8271,-9.3995,-6.3868,-18.5913,2.6809,-4.8961,0.4603,6.3629,4.4645,6.1676,5.2531,6.3699,8.2471,-3.5194,-7.6399,-2.5782,-1.5095,-0.7307,8.688,-5.6275,-11.8261,3.9763,2.4137,3.5814,3.7474,-1.8274,-1.299,-4.7819,1.3626,-7.7499,1.6568,-10.1892,-3.4067,3.1912,9.309,-3.1397,11.512,6.5014,3.3357,-0.2317,-15.8587,-9.0229,5.2401,-7.6515,9.3569,-0.269600000000001,14.5638,-2.7028,-2.2852,3.4252,18.7811,-1.5862,-3.3549,-4.1422,2.3174,3.7544,-2.2027,-15.0613,6.8652,-1.9137,9.4789,6.581,-15.1812,0.1062,-0.9823,11.4559,-0.0816999999999997,-7.0599,-5.4192,-13.1316,5.6146,5.6777,-2.0834,0.459199999999999,11.4492,-4.9817,1.0118,7.6122,-0.227600000000001,19.6692,7.7712,-1.7533,-5.9265,8.5771,6.4096,13.8355,0.9989,2.4936,-3.6018,2.3335,7.2777,-9.3582,10.7809,-8.5297,-15.5982,5.6526,-6.3737
"6",7.7781,-1.1976,-6.127,-4.3265,14.4265,-9.6721,-2.5776,1.6016,-0.151999999999999,7.0329,2.0075,-9.4059,-6.3896,-18.4849,2.6916,-4.9297,0.3839,6.3331,4.5258,6.1384,5.2915,5.9775,8.0483,-3.5647,-7.5386,-2.6045,-1.7245,-0.898,8.618,-5.5609,-11.6383,4.1181,2.3424,3.5855,3.8271,-2.1852,-1.5466,-4.6583,1.1625,-7.5277,1.3807,-10.2653,-3.5627,2.908,9.1706,-3.0011,11.4292,6.2415,3.3303,-0.2488,-15.9141,-8.845,5.1389,-7.8023,9.3257,-0.3534,14.7304,-2.9287,-2.1896,3.4114,18.6077,-1.5636,-3.4512,-3.8824,2.1447,3.5176,-2.2322,-14.7247,6.7527,-2.0639,9.5256,6.4816,-15.2611,0.109400000000000,-1.04630000000000,11.6481,0.0618999999999996,-7.1152,-5.2347,-12.9087,5.5397,5.9168,-2.3652,0.441800000000001,11.3568,-4.8379,1.1022,7.7813,-0.546000000000001,19.5444,7.5305,-1.34460000000000,-5.6057,8.311,6.3075,13.9798,0.9169,2.3726,-3.5311,2.1347,7.3374,-9.4116,10.8086,-8.6055,-15.6429,5.5804,-6.3149
"7",7.8326,-0.6895,-5.8377,-4.0067,14.2065,-9.5197,-2.0214,2.0698,-0.0404999999999998,6.9297,2.3701,-9.3472,-6.3802,-18.1987,2.716,-4.9359,0.2805,6.2886,4.6168,6.0876,5.3236,5.2277,7.5996,-3.6472,-7.2885,-2.6558,-2.1235,-1.2042,8.505,-5.4697,-11.2453,4.3339,2.242,3.6058,3.8888,-2.8662,-1.9753,-4.4495,0.7755,-7.106,0.8686,-10.3828,-3.8325,2.3964,8.901,-2.7696,11.2309,5.7599,3.356,-0.307,-15.9681,-8.5103,4.9286,-8.0782,9.2405,-0.4825,15.019,-3.3467,-1.9591,3.3602,18.2939,-1.437,-3.6691,-3.4146,1.7944,3.0106,-2.2659,-14.0602,6.5821,-2.3758,9.5504,6.2644,-15.3946,0.0971,-1.1938,12.0027,0.3376,-7.227,-4.8341,-12.468,5.3785,6.3485,-2.9108,0.411000000000001,11.1629,-4.5796,1.304,8.0858,-1.1433,19.2808,7.0655,-0.572599999999998,-4.9503,7.7762,6.0724,14.1875,0.75,2.1011,-3.3338,1.8104,7.4791,-9.4847,10.7862,-8.7466,-15.7354,5.472,-6.1484
"8",7.8876,0.024,-5.353,-3.4891,13.7764,-9.2064,-1.2088,2.7699,0.126800000000001,6.7704,2.9534,-9.121,-6.3296,-17.598,2.7431,-4.8406,0.189300000000000,6.2395,4.7009,6.0077,5.3125,4.066,6.7832,-3.7569,-6.8093,-2.7219,-2.7061,-1.6664,8.3474,-5.3822,-10.5685,4.5907,2.1479,3.6436,3.8341,-3.9466,-2.5736,-4.1547,0.144500000000001,-6.4502,0.0932,-10.5266,-4.2198,1.6281,8.4676,-2.4629,10.8332,5.012,3.455,-0.4246,-15.9794,-8.0006,4.5701,-8.4736,9.0455,-0.6313,15.4327,-3.9567,-1.5295,3.2357,17.8077,-1.118,-4.061,-2.7321,1.2044,2.1233,-2.2847,-12.9714,6.3853,-2.8939,9.4839,5.8729,-15.5535,0.0569,-1.474,12.5219,0.7696,-7.3885,-4.1214,-11.7454,5.0973,6.9957,-3.788,0.370900000000001,10.8033,-4.1838,1.6477,8.5097,-2.0666,18.8305,6.2938,0.613599999999998,-3.8626,6.8723,5.6124,14.3987,0.460800000000001,1.5897,-2.9437,1.4041,7.7562,-9.5282,10.6295,-8.9437,-15.8799,5.3325,-5.7877
"9",7.8935,0.8946,-4.6324,-2.7464,13.0706,-8.6591,-0.1622,3.6773,0.297600000000001,6.5519,3.7449,-8.6031,-6.1956,-16.5527,2.7363,-4.5451,0.1709,6.2,4.7087,5.8844,5.2262,2.5375,5.52,-3.8595,-6.0481,-2.7787,-3.4142,-2.2601,8.1302,-5.3304,-9.5563,4.8302,2.125,3.6763,3.5465,-5.4389,-3.2753,-3.7835,-0.7607,-5.5725,-0.8983,-10.6611,-4.7118,0.6174,7.8559,-2.1342,10.1483,3.9874,3.6621,-0.5961,-15.9091,-7.3406,4.0435,-8.9373,8.6714,-0.7474,15.9484,-4.6697,-0.8681,2.9915,17.1123,-0.5519,-4.648,-1.8909,0.3279,0.783,-2.2684,-11.4143,6.2108,-3.6213,9.2457,5.2731,-15.6611,-0.000599999999999989,-1.937,13.1551,1.343,-7.5453,-3.0434,-10.6994,4.6831,7.841,-5.0163,0.334300000000001,10.1979,-3.6321,2.1246,8.9727,-3.2869,18.1767,5.1625,2.14830000000000,-2.3261,5.5266,4.829,14.5107,0.0126000000000008,0.7515,-2.3431,1.0151,8.2003,-9.4448,10.2424,-9.1473,-16.0537,5.1635,-5.1476
"10",7.7688,1.85,-3.6643,-1.7944,12.0652,-7.8095,1.0649,4.7353,0.383100000000001,6.279,4.6869,-7.6857,-5.9398,-14.979,2.6433,-3.9428,0.2904,6.1766,4.5488,5.6833,5.0651,0.7751,3.7894,-3.9063,-4.9998,-2.8102,-4.1581,-2.9134,7.8113,-5.3429,-8.1968,4.9868,2.2456,3.6584,2.9288,-7.2757,-3.972,-3.3553,-1.9301,-4.5258,-1.985,-10.7264,-5.2899,-0.5894,7.064,-1.8644,9.1124,2.706,3.9736,-0.7886,-15.7337,-6.585,3.3625,-9.38,8.0649,-0.7664,16.5186,-5.3269,0.008,2.5792,16.1591,0.2523,-5.4059,-1.0057,-0.8605,-1.0318,-2.2123,-9.4005,6.1111,-4.5146,8.7649,4.471,-15.606,-0.0288000000000000,-2.6177,13.8127,2,-7.5965,-1.6195,-9.3042,4.152,8.824,-6.5612,0.3201,9.27,-2.9067,2.6804,9.3434,-4.6857,17.3349,3.6946,3.834,-0.4168,3.7072,3.6467,14.3966,-0.6303,-0.4687,-1.5842,0.7578,8.7748,-9.1076,9.5318,-9.2721,-16.2027,4.9607,-4.1779
