"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113"
"1",-1.9392,-0.399,2.9796,3.5245,-0.0814,-3.205,1.6916,5.2586,-3.1546,3.2032,-4.9035,-1.3059,-9.0561,-4.292,-3.0805,3.2987,-2.4832,-0.3401,-3.3733,-1.9205,-1.386,2.5528,1.2633,4.872,7.481,-1.7584,-0.8232,4.7841,-4.6774,-2.7385,1.2302,2.7149,0.0373000000000001,-4.3006,4.9197,-2.7238,-1.7073,0.5819,1.9101,5.0807,1.1009,-1.4218,4.045,1.5703,-8.2395,-2.0873,-3.101,-1.6939,-1.1117,-6.6342,-4.9844,1.5524,3.6493,-3.2143,-1.9772,-7.7006,-1.2289,-1.9296,-0.3593,3.3727,-6.49,0.3476,3.288,2.6809,4.5355,-1.9809,-4.0011,1.7947,-3.2048,-4.6092,6.6557,0.4175,-6.3374,2.4952,4.43,2.5453,-0.8689,0.1668,-1.7029,-4.9057,-1.4247,-0.829899999999999,1.6107,-3.7873,3.2342,-5.8769,0.559199999999999,-0.6876,3.5392,-1.3119,9.5842,4.035,-3.8832,5.5647,-0.6231,0.2492,-4.3834,-6.3119,-7.4333,2.4445,-2.5372,1.3054,-2.3934,4.2005,0.4407,-1.2448,-9.971,3.0347,-5.697,-3.9116,0.242599999999999,-2.5917,-3.3193
"2",-1.9392,-0.399,2.9796,3.5245,-0.0814,-3.205,1.6916,5.2586,-3.1546,3.2032,-4.9035,-1.3059,-9.0561,-4.292,-3.0805,3.2987,-2.4832,-0.3401,-3.3733,-1.9205,-1.386,2.5528,1.2633,4.872,7.481,-1.7584,-0.8232,4.7841,-4.6774,-2.7385,1.2302,2.7149,0.0373000000000001,-4.3006,4.9197,-2.7238,-1.7073,0.5819,1.9101,5.0807,1.1009,-1.4218,4.045,1.5703,-8.2395,-2.0873,-3.101,-1.6939,-1.1117,-6.6342,-4.9844,1.5524,3.6493,-3.2143,-1.9772,-7.7006,-1.2289,-1.9296,-0.3593,3.3727,-6.49,0.3476,3.288,2.6809,4.5355,-1.9809,-4.0011,1.7947,-3.2048,-4.6092,6.6557,0.4175,-6.3374,2.4952,4.43,2.5453,-0.8689,0.1668,-1.7029,-4.9057,-1.4247,-0.829899999999999,1.6107,-3.7873,3.2342,-5.8769,0.559199999999999,-0.6876,3.5392,-1.3119,9.5842,4.035,-3.8832,5.5647,-0.6231,0.2492,-4.3834,-6.3119,-7.4333,2.4445,-2.5372,1.3054,-2.3934,4.2005,0.4407,-1.2448,-9.971,3.0347,-5.697,-3.9116,0.242599999999999,-2.5917,-3.3193
"3",-1.938,-0.3984,2.978,3.5236,-0.0804,-3.2045,1.6909,5.2598,-3.1551,3.2037,-4.9052,-1.3052,-9.0544,-4.2917,-3.0796,3.2981,-2.4845,-0.3431,-3.3733,-1.9201,-1.3891,2.5505,1.2614,4.8703,7.4799,-1.7577,-0.8248,4.7857,-4.6777,-2.7364,1.2283,2.7158,0.0346,-4.2996,4.9181,-2.723,-1.7072,0.5819,1.9097,5.081,1.1027,-1.4211,4.046,1.5686,-8.2406,-2.0875,-3.1023,-1.6949,-1.1104,-6.6351,-4.9856,1.5522,3.6489,-3.2143,-1.9757,-7.7001,-1.2278,-1.9293,-0.3593,3.3706,-6.4897,0.3478,3.2871,2.6804,4.5323,-1.9824,-4.0003,1.7954,-3.204,-4.6104,6.6548,0.4156,-6.3382,2.4926,4.4303,2.5443,-0.867,0.1662,-1.7015,-4.8924,-1.4231,-0.827499999999999,1.6108,-3.7905,3.2343,-5.8745,0.5619,-0.6869,3.5374,-1.3137,9.5806,4.0337,-3.8812,5.5619,-0.6226,0.247200000000000,-4.3831,-6.3113,-7.4348,2.4444,-2.539,1.3055,-2.3944,4.2014,0.43960,-1.2419,-9.9686,3.0341,-5.6947,-3.9114,0.2408,-2.5917,-3.3207
"4",-1.9284,-0.3944,2.9649,3.5183,-0.0702000000000003,-3.2028,1.6842,5.2683,-3.1556,3.205,-4.9174,-1.3002,-9.0409,-4.2905,-3.0744,3.2956,-2.4927,-0.3651,-3.3713,-1.9167,-1.4099,2.5331,1.2483,4.8574,7.4726,-1.7532,-0.8378,4.7959,-4.6795,-2.7213,1.2127,2.7218,0.0157000000000000,-4.2919,4.9085,-2.717,-1.7055,0.582000000000001,1.908,5.0827,1.1153,-1.4147,4.0523,1.555,-8.2475,-2.0881,-3.1134,-1.7015,-1.0987,-6.6433,-4.9947,1.5514,3.6456,-3.2144,-1.9653,-7.6948,-1.22,-1.9276,-0.3587,3.3549,-6.4858,0.3484,3.2779,2.6779,4.5083,-1.9922,-3.995,1.8012,-3.1973,-4.6192,6.6486,0.4027,-6.3438,2.473,4.4321,2.5373,-0.8523,0.1601,-1.694,-4.7974,-1.4132,-0.810400000000001,1.6119,-3.8115,3.236,-5.8579,0.581900000000001,-0.6828,3.523,-1.3258,9.5537,4.0227,-3.8667,5.5413,-0.6188,0.231399999999999,-4.3803,-6.3067,-7.4445,2.4435,-2.5505,1.3043,-2.4003,4.2067,0.4329,-1.2225,-9.9485,3.0302,-5.6771,-3.9117,0.229799999999999,-2.592,-3.3285
"5",-1.8901,-0.3757,2.9182,3.506,-0.0275000000000003,-3.2014,1.6566,5.2995,-3.154,3.2094,-4.9618,-1.2823,-8.9893,-4.2861,-3.0591,3.2899,-2.5138,-0.4425,-3.3607,-1.9012,-1.4778,2.4658,1.2105,4.8138,7.4497,-1.7311,-0.8867,4.8289,-4.6865,-2.6709,1.1572,2.743,-0.0461,-4.262,4.8773,-2.6976,-1.6992,0.5808,1.9026,5.0854,1.1604,-1.3926,4.075,1.5046,-8.2695,-2.0887,-3.1585,-1.726,-1.0525,-6.6765,-5.0262,1.5518,3.6289,-3.2136,-1.928,-7.6708,-1.1939,-1.923,-0.3516,3.2959,-6.4656,0.3471,3.2416,2.6676,4.4186,-2.0254,-3.9768,1.8264,-3.1699,-4.6503,6.6259,0.3529,-6.3574,2.4023,4.4335,2.5141,-0.797,0.1365,-1.6739,-4.4813,-1.3884,-0.7546,1.6201,-3.8773,3.2431,-5.8034,0.6488,-0.672700000000001,3.4722,-1.3675,9.4591,3.9848,-3.8156,5.4684,-0.6045,0.173500000000001,-4.3663,-6.2919,-7.478,2.4417,-2.5805,1.2955,-2.4128,4.2231,0.4116,-1.1584,-9.8651,3.0173,-5.6141,-3.9196,0.198700000000001,-2.5909,-3.352
"6",-1.7923,-0.322,2.8087,3.4978,0.0857000000000001,-3.2055,1.5819,5.3718,-3.1381,3.2173,-5.0682,-1.2413,-8.8658,-4.2739,-3.03,3.2848,-2.5437,-0.6219,-3.3263,-1.8543,-1.6251,2.297,1.1409,4.7132,7.4005,-1.6617,-1.0076,4.8946,-4.7046,-2.5634,1.025,2.7864,-0.1766,-4.1855,4.812,-2.6577,-1.6817,0.5722,1.8928,5.0848,1.2656,-1.3399,4.1243,1.3776,-8.3112,-2.0853,-3.2782,-1.7881,-0.9316,-6.7641,-5.0993,1.5615,3.5762,-3.2105,-1.8396,-7.5996,-1.1392,-1.9143,-0.3231,3.1482,-6.4028,0.3363,3.1463,2.6396,4.1943,-2.1019,-3.9388,1.8974,-3.0954,-4.7206,6.5693,0.2242,-6.372,2.2326,4.4253,2.4603,-0.6613,0.0764,-1.6453,-3.8137,-1.3592,-0.6402,1.6555,-4.0042,3.2541,-5.6872,0.793799999999999,-0.6635,3.3564,-1.4599,9.2387,3.8994,-3.6943,5.3019,-0.5712,0.0338999999999992,-4.3138,-6.2652,-7.5522,2.4422,-2.6241,1.2627,-2.4211,4.2491,0.366299999999999,-1.0231,-9.6438,2.9884,-5.4622,-3.9523,0.146800000000001,-2.5811,-3.3929
"7",-1.6087,-0.2109,2.6127,3.5272,0.3004,-3.2116,1.4308,5.4881,-3.0898,3.2246,-5.26,-1.1761,-8.6511,-4.2456,-2.992,3.2878,-2.5657,-0.9349,-3.2465,-1.7497,-1.8673,1.9797,1.0407,4.5372,7.3202,-1.503,-1.2334,4.9873,-4.7418,-2.3932,0.7799,2.8398,-0.379,-4.0325,4.7033,-2.5947,-1.6467,0.5408,1.8813,5.0763,1.4513,-1.2432,4.1994,1.1311,-8.3615,-2.0687,-3.5138,-1.9133,-0.6938,-6.9327,-5.2231,1.5945,3.4528,-3.203,-1.6838,-7.4439,-1.0594,-1.8986,-0.2559,2.8643,-6.2603,0.301,2.9572,2.5794,3.7638,-2.2423,-3.8802,2.0434,-2.9432,-4.8363,6.4573,-0.0341,-6.3608,1.9215,4.3876,2.3609,-0.412500000000001,-0.0344,-1.6307,-2.8022,-1.3565,-0.4816,1.7497,-4.1668,3.2479,-5.5011,1.0268,-0.6788,3.1601,-1.6072,8.8502,3.7511,-3.4696,5.0192,-0.5163,-0.2165,-4.1686,-6.232,-7.6711,2.4553,-2.656,1.1824,-2.3953,4.2676,0.289500000000000,-0.817,-9.2115,2.9358,-5.1782,-4.0338,0.0893999999999995,-2.5542,-3.4306
"8",-1.3401,-0.0359999999999996,2.3203,3.6394,0.6203,-3.1923,1.1881,5.608,-2.9829,3.2248,-5.545,-1.0996,-8.3586,-4.1854,-2.9593,3.2996,-2.5603,-1.3795,-3.1029,-1.5689,-2.2048,1.4963,0.9015,4.2808,7.2089,-1.2241,-1.5772,5.0879,-4.8137,-2.179,0.3953,2.8562,-0.6252,-3.7727,4.5451,-2.509,-1.5915,0.465,1.8701,5.0585,1.7189,-1.0973,4.2797,0.7369,-8.3868,-2.0257,-3.8815,-2.1296,-0.3189,-7.1843,-5.3779,1.6705,3.224,-3.1871,-1.4636,-7.1661,-0.9814,-1.8706,-0.1404,2.4101,-6.0062,0.2258,2.652,2.467,3.0809,-2.4626,-3.8107,2.2785,-2.6868,-4.9889,6.2622,-0.47,-6.2816,1.4502,4.2944,2.2008,-0.0442,-0.1963,-1.6588,-1.6195,-1.4038,-0.3339,1.929,-4.2911,3.1791,-5.2679,1.3269,-0.7523,2.8897,-1.7819,8.2785,3.5223,-3.1125,4.6287,-0.4461,-0.572800000000001,-3.8578,-6.1942,-7.8172,2.5037,-2.6421,1.0289,-2.299,4.2564,0.176499999999999,-0.5864,-8.5414,2.8518,-4.7307,-4.1875,0.0409000000000006,-2.5065,-3.4153
"9",-1.025,0.173100000000000,1.9281,3.8634,1.0218,-3.0972,0.8667,5.6345,-2.7777,3.2138,-5.9128,-1.0409,-8.025,-4.0757,-2.949,3.3023,-2.5114,-1.9204,-2.887,-1.3162,-2.6266,0.8742,0.6908,3.953,7.0721,-0.8294,-2.0291,5.1803,-4.9417,-1.956,-0.1369,2.7614,-0.8632,-3.384,4.3376,-2.3996,-1.5209,0.3271,1.8547,5.0365,2.051,-0.9054,4.3266,0.1971,-8.3365,-1.9431,-4.3643,-2.4577,0.1763,-7.4851,-5.5067,1.8146,2.8679,-3.1577,-1.2016,-6.7278,-0.9573,-1.8246,0.0243,1.7761,-5.634,0.1013,2.2334,2.2791,2.1434,-2.7692,-3.7411,2.5992,-2.3102,-5.161,5.9504,-1.1209,-6.092,0.8274,4.1201,1.9671,0.4146,-0.3974,-1.7434,-0.4895,-1.4855,-0.2768,2.1844,-4.2782,3.0016,-5.045,1.6483,-0.9101,2.5642,-1.9201,7.5282,3.1806,-2.5964,4.1619,-0.3742,-0.9885,-3.3289,-6.1326,-7.9621,2.6131,-2.5473,0.7774,-2.1037,4.2035,0.0243000000000002,-0.4199,-7.6702,2.7315,-4.1121,-4.435,-0.0085999999999995,-2.4362,-3.2801
"10",-0.73,0.345199999999999,1.4286,4.1867,1.4687,-2.8765,0.509,5.4294,-2.422,3.1984,-6.3326,-1.0346,-7.6901,-3.9065,-2.9675,3.261,-2.4015,-2.5056,-2.6063,-1.0269,-3.1156,0.179300000000000,0.358,3.5669,6.9217,-0.369499999999999,-2.5556,5.2541,-5.1373,-1.7688,-0.8001,2.4823,-1.0321,-2.8666,4.0945,-2.2658,-1.4474,0.124300000000000,1.8261,5.021,2.414,-0.6745,4.2951,-0.4482,-8.1573,-1.8137,-4.9138,-2.899,0.7434,-7.7711,-5.525,2.0559,2.3873,-3.1161,-0.9267,-6.088,-1.0508,-1.7603,0.2341,0.988,-5.1729,-0.0692999999999999,1.7324,1.9942,0.997,-3.1516,-3.6768,2.9916,-1.8105,-5.3364,5.4875,-2.0048,-5.7629,0.0821,3.8535,1.6566,0.8931,-0.6222,-1.8694,0.4487,-1.5527,-0.384399999999999,2.4598,-4.0414,2.6903,-4.9041,1.9324,-1.1596,2.2012,-1.929,6.6109,2.6823,-1.8949,3.6612,-0.3125,-1.391,-2.5897,-6.0035,-8.0863,2.7865,-2.3372,0.4177,-1.7999,4.1118,-0.169600000000001,-0.4196,-6.6754,2.5808,-3.3492,-4.7969,-0.0918999999999999,-2.33,-2.9778
