"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232"
"1",-5.3515,-0.4546,1.7662,-1.4068,-2.0848,1.5745,6.5749,-3.2599,-6.353,1.0933,3.3874,-1.9682,2.6303,-1.1962,0.0991,-5.2575,-2.0768,-0.727,0.4655,6.8213,3.9143,-0.7927,1.444,-1.4277,1.9365,1.393,-2.5823,-2.9254,-3.0629,0.999500000000001,0.434100000000001,-2.8878,1.073,0.3456,3.475,3.2514,0.343300000000001,6.3859,-1.6484,-5.5361,0.7329,-6.6496,2.5719,-1.7625,5.9911,2.1429,1.8725,-1.519,-5.2694,-6.3323,1.6503,5.0693,-0.0638999999999998,-2.7585,2.5913,0.584499999999999,1.0803,-3.2388,0.216,-1.1385,0.5899,3.5593,-2.1673,1.1273,2.8174,7.9454,3.0714,-0.125900000000001,-7.3154,1.6941,-1.4047,0.505400000000001,3.2597,8.7757,0.0904,-5.0328,-4.1123,-2.9025,-0.8252,-1.0644,-2.6644,-2.8966,3.3883,0.9442,-2.9215,-0.214100000000000,0.6116,5.738,-2.4065,2.8655,-3.9044,1.0905,-2.5647,2.5368,-0.6276,-5.0825,0.161100000000000,2.4859,-0.814900000000002,-0.1845,1.4237,0.0547000000000004,-2.0541,3.5084,-5.0005,1.2421,-2.995,2.6965,-0.339000000000000,3.9819,-1.8867,-0.145800000000001,0.22380,3.4194,-1.1682,0.9796,0.9371,1.8782,-1.3736,3.9157,-0.0110999999999999,-2.7439,-5.262,0.2873,-2.8408,1.5117,5.4101,-0.9823,4.8535,4.6484,2.2813,0.0862,1.5983,4.9572,-4.381,2.2007,-0.7139,-7.9576,-3.2714,2.1825,-1.7595,2.4049,3.4373,1.3734,2.666,-3.6135,-1.4442,2.2513,8.3198,-4.7055,4.3253,6.3055,2.6385,-0.0306999999999995,5.182,1.5947,-3.3743,-6.0005,-5.2022,-1.4406,6.9859,-3.4882,2.8541,0.7868,4.3214,-1.3968,-0.6124,3.0354,0.6482,-1.3394,3.7625,-3.521,1.1879,-0.9892,-2.8615,-5.7127,-3.112,-0.5748,3.3296,1.7979,2.3409,1.2189,0.5322,6.4331,-1.5447,-0.9021,0.303,2.4595,-0.9648,0.681,3.3661,-4.273,4.735,-3.2787,-0.1195,-4.7696,4.9583,-2.1618,1.7271,-0.2497,4.0951,2.7651,-0.6633,-0.2115,1.9391,1.7044,-2.3531,5.7303,6.4454,3.8888,-3.522,2.1652,-2.7757,-4.6263,-0.2836,4.2071,4.4002,-3.3622,5.1299,-0.4554,4.312,2.2578,-4.7235,-1.108,0.6288,-2.5151,1.7764,-3.832,-3.8529,1.3365,-1.7241,0.7031
"2",-5.3515,-0.4546,1.7662,-1.4068,-2.0848,1.5745,6.5749,-3.2599,-6.353,1.0933,3.3874,-1.9682,2.6303,-1.1962,0.0991,-5.2575,-2.0768,-0.727,0.4655,6.8213,3.9143,-0.7927,1.444,-1.4277,1.9365,1.393,-2.5823,-2.9254,-3.0629,0.999500000000001,0.434100000000001,-2.8878,1.073,0.3456,3.475,3.2514,0.343300000000001,6.3859,-1.6484,-5.5361,0.7329,-6.6496,2.5719,-1.7625,5.9911,2.1429,1.8725,-1.519,-5.2694,-6.3323,1.6503,5.0693,-0.0638999999999998,-2.7585,2.5913,0.584499999999999,1.0803,-3.2388,0.216,-1.1385,0.5899,3.5593,-2.1673,1.1273,2.8174,7.9454,3.0714,-0.125900000000001,-7.3154,1.6941,-1.4047,0.505400000000001,3.2597,8.7757,0.0904,-5.0328,-4.1123,-2.9025,-0.8252,-1.0644,-2.6644,-2.8966,3.3883,0.9442,-2.9215,-0.214100000000000,0.6116,5.738,-2.4065,2.8655,-3.9044,1.0905,-2.5647,2.5368,-0.6276,-5.0825,0.161100000000000,2.4859,-0.814900000000002,-0.1845,1.4237,0.0547000000000004,-2.0541,3.5084,-5.0005,1.2421,-2.995,2.6965,-0.339000000000000,3.9819,-1.8867,-0.145800000000001,0.22380,3.4194,-1.1682,0.9796,0.9371,1.8782,-1.3736,3.9157,-0.0110999999999999,-2.7439,-5.262,0.2873,-2.8408,1.5117,5.4101,-0.9823,4.8535,4.6484,2.2813,0.0862,1.5983,4.9572,-4.381,2.2007,-0.7139,-7.9576,-3.2714,2.1825,-1.7595,2.4049,3.4373,1.3734,2.666,-3.6135,-1.4442,2.2513,8.3198,-4.7055,4.3253,6.3055,2.6385,-0.0306999999999995,5.182,1.5947,-3.3743,-6.0005,-5.2022,-1.4406,6.9859,-3.4882,2.8541,0.7868,4.3214,-1.3968,-0.6124,3.0354,0.6482,-1.3394,3.7625,-3.521,1.1879,-0.9892,-2.8615,-5.7127,-3.112,-0.5748,3.3296,1.7979,2.3409,1.2189,0.5322,6.4331,-1.5447,-0.9021,0.303,2.4595,-0.9648,0.681,3.3661,-4.273,4.735,-3.2787,-0.1195,-4.7696,4.9583,-2.1618,1.7271,-0.2497,4.0951,2.7651,-0.6633,-0.2115,1.9391,1.7044,-2.3531,5.7303,6.4454,3.8888,-3.522,2.1652,-2.7757,-4.6263,-0.2836,4.2071,4.4002,-3.3622,5.1299,-0.4554,4.312,2.2578,-4.7235,-1.108,0.6288,-2.5151,1.7764,-3.832,-3.8529,1.3365,-1.7241,0.7031
"3",-5.3522,-0.4532,1.7687,-1.4057,-2.0854,1.5751,6.5747,-3.2599,-6.3543,1.0916,3.3866,-1.9678,2.6294,-1.1959,0.0973000000000006,-5.2556,-2.0767,-0.7296,0.4672,6.8201,3.9158,-0.7922,1.4429,-1.4275,1.9355,1.3955,-2.5821,-2.9255,-3.0642,0.9993,0.432700000000001,-2.8878,1.0732,0.346,3.475,3.2535,0.3415,6.3869,-1.6446,-5.5376,0.7351,-6.6447,2.5718,-1.765,5.9917,2.1447,1.8718,-1.5182,-5.2679,-6.3308,1.6493,5.0685,-0.0638999999999998,-2.7589,2.59,0.5857,1.0823,-3.2378,0.2185,-1.1401,0.586,3.5607,-2.1653,1.1294,2.8164,7.9451,3.0707,-0.127799999999999,-7.3115,1.6963,-1.4066,0.5021,3.257,8.7734,0.0889,-5.0326,-4.1132,-2.9036,-0.8286,-1.0661,-2.665,-2.8955,3.3865,0.9457,-2.9209,-0.2132,0.6112,5.7378,-2.4049,2.864,-3.9008,1.0866,-2.5648,2.5384,-0.6307,-5.0824,0.161100000000000,2.4835,-0.816600000000001,-0.184899999999999,1.4241,0.0549,-2.0553,3.5103,-5.0014,1.239,-2.9933,2.6923,-0.339700000000001,3.9817,-1.8851,-0.145800000000001,0.2241,3.4161,-1.1697,0.9792,0.9371,1.8797,-1.373,3.9157,-0.0109000000000004,-2.7458,-5.2606,0.2878,-2.8409,1.5148,5.4092,-0.9836,4.8551,4.649,2.2783,0.0864,1.5982,4.9577,-4.3786,2.1997,-0.712,-7.9558,-3.2698,2.1806,-1.7574,2.4066,3.4358,1.3728,2.6687,-3.6138,-1.4434,2.2514,8.3157,-4.7024,4.3265,6.303,2.6371,-0.0280000000000005,5.1757,1.5947,-3.3717,-6.0005,-5.2017,-1.4423,6.9837,-3.4878,2.8519,0.7848,4.3178,-1.3958,-0.6146,3.0336,0.648700000000001,-1.3387,3.7598,-3.5224,1.1896,-0.988,-2.8618,-5.7133,-3.1093,-0.5733,3.3281,1.798,2.3411,1.2206,0.5326,6.4334,-1.5447,-0.9012,0.3033,2.4598,-0.9657,0.6819,3.3646,-4.2724,4.7341,-3.2784,-0.1186,-4.7677,4.9578,-2.1609,1.7284,-0.2499,4.0938,2.7646,-0.6642,-0.2104,1.9397,1.7004,-2.3544,5.7296,6.4431,3.8897,-3.5223,2.1639,-2.7743,-4.624,-0.2829,4.2073,4.4,-3.3623,5.1282,-0.4551,4.3135,2.2593,-4.7218,-1.1091,0.6297,-2.5146,1.7746,-3.8322,-3.8503,1.3359,-1.7246,0.7035
"4",-5.3558,-0.4428,1.7906,-1.3967,-2.0884,1.578,6.5737,-3.2609,-6.3615,1.0788,3.3782,-1.9652,2.6237,-1.1922,0.0835999999999988,-5.2418,-2.0741,-0.7508,0.48,6.8102,3.9259,-0.7882,1.4354,-1.4276,1.9268,1.4151,-2.5806,-2.926,-3.0717,0.9971,0.421799999999999,-2.8894,1.0749,0.344,3.4763,3.2677,0.328300000000000,6.3931,-1.6147,-5.549,0.7542,-6.6103,2.569,-1.7836,5.9953,2.1568,1.8655,-1.51,-5.2573,-6.3198,1.6421,5.0613,-0.0636000000000001,-2.7621,2.5811,0.5937,1.0988,-3.2302,0.2363,-1.15,0.559,3.571,-2.1524,1.1456,2.8087,7.9419,3.0643,-0.142499999999999,-7.2824,1.7133,-1.4192,0.4786,3.2373,8.7543,0.0800000000000003,-5.0314,-4.1216,-2.9117,-0.8526,-1.0755,-2.6696,-2.8889,3.3719,0.9556,-2.9153,-0.2052,0.6092,5.7362,-2.391,2.8521,-3.8737,1.0588,-2.5652,2.5505,-0.6541,-5.0817,0.160600000000000,2.4662,-0.831,-0.189499999999999,1.4262,0.0564999999999998,-2.0635,3.5237,-5.0062,1.2159,-2.9791,2.6618,-0.3431,3.9803,-1.8735,-0.144900000000000,0.2279,3.3911,-1.1809,0.9764,0.9357,1.8899,-1.369,3.9152,-0.0105000000000000,-2.7596,-5.2515,0.2915,-2.8413,1.5389,5.4031,-0.9933,4.8664,4.653,2.2568,0.0886,1.5985,4.9595,-4.3622,2.1932,-0.6985,-7.9434,-3.2579,2.1662,-1.7414,2.4193,3.424,1.3671,2.6902,-3.6163,-1.4393,2.2497,8.2869,-4.6799,4.335,6.2824,2.6266,-0.0085999999999995,5.1281,1.5935,-3.352,-5.9984,-5.1958,-1.4528,6.9669,-3.483,2.8378,0.771,4.292,-1.3899,-0.6336,3.0212,0.6531,-1.3353,3.7382,-3.5329,1.2018,-0.9774,-2.8616,-5.7192,-3.0896,-0.564,3.3176,1.8,2.3412,1.2341,0.5345,6.4364,-1.5439,-0.8951,0.3042,2.4606,-0.9717,0.6871,3.354,-4.2689,4.7264,-3.275,-0.1121,-4.7534,4.954,-2.1539,1.7376,-0.2516,4.0813,2.7611,-0.6713,-0.1997,1.9442,1.6709,-2.365,5.7224,6.426,3.8986,-3.5245,2.1541,-2.761,-4.6064,-0.2783,4.2081,4.3984,-3.3624,5.1152,-0.4524,4.3234,2.2709,-4.7092,-1.1179,0.6357,-2.5109,1.7615,-3.8337,-3.83,1.3322,-1.7269,0.7065
"5",-5.3688,-0.405,1.875,-1.3601,-2.0916,1.5844,6.5685,-3.2693,-6.3814,1.0327,3.3411,-1.9561,2.606,-1.175,0.0399000000000012,-5.1989,-2.0558,-0.8269,0.5288,6.7703,3.962,-0.7736,1.4057,-1.4311,1.8936,1.4843,-2.576,-2.9239,-3.0959,0.9868,0.3818,-2.8927,1.0774,0.3159,3.486,3.3126,0.283199999999999,6.4121,-1.5047,-5.5883,0.8247,-6.4959,2.5538,-1.8486,6.0051,2.1982,1.8376,-1.4772,-5.219,-6.2747,1.6148,5.0332,-0.0644,-2.7731,2.5473,0.6183,1.1587,-3.2047,0.2961,-1.1837,0.4654,3.6044,-2.1069,1.2059,2.7817,7.9243,3.0393,-0.198400000000000,-7.1694,1.7766,-1.4585,0.3972,3.1687,8.6809,0.0549000000000002,-5.0268,-4.1526,-2.9411,-0.9418,-1.1043,-2.6861,-2.8697,3.3151,0.9866,-2.8921,-0.1703,0.6058,5.7353,-2.3351,2.8061,-3.78,0.9601,-2.5751,2.5933,-0.7375,-5.078,0.160600000000000,2.4074,-0.886799999999997,-0.206000000000000,1.4281,0.0687999999999995,-2.0844,3.5684,-5.0169,1.1366,-2.9185,2.5554,-0.350100,3.9754,-1.8359,-0.139800000000001,0.2436,3.3025,-1.2193,0.9664,0.9239,1.9186,-1.3513,3.9063,-0.0102000000000002,-2.8095,-5.2186,0.311500000000001,-2.8465,1.6251,5.3818,-1.0247,4.9036,4.6611,2.1825,0.0939,1.6016,4.9644,-4.3114,2.1677,-0.6472,-7.8974,-3.2104,2.1179,-1.6843,2.4661,3.379,1.3409,2.7741,-3.6172,-1.4258,2.2354,8.1857,-4.6015,4.3609,6.2008,2.5876,0.0621,4.9558,1.5891,-3.2819,-5.9848,-5.1673,-1.4864,6.9057,-3.4643,2.7894,0.722,4.2042,-1.3709,-0.7058,2.9771,0.6691,-1.3247,3.652,-3.5638,1.2508,-0.9397,-2.8545,-5.7464,-3.0192,-0.5329,3.2774,1.8102,2.3385,1.2894,0.5326,6.4459,-1.5364,-0.8732,0.3045,2.4641,-0.9945,0.7028,3.312,-4.2595,4.6965,-3.258,-0.0923,-4.7061,4.9416,-2.1248,1.7671,-0.2571,4.0291,2.7414,-0.6949,-0.154400000000001,1.9618,1.5728,-2.4041,5.6955,6.364,3.9364,-3.5338,2.1186,-2.7046,-4.5408,-0.2648,4.21,4.3896,-3.3598,5.0588,-0.4407,4.3557,2.3149,-4.6625,-1.1514,0.6521,-2.4992,1.7107,-3.8396,-3.7551,1.318,-1.7329,0.7166
"6",-5.3982,-0.3197,2.0872,-1.2648,-2.0788,1.5833,6.5521,-3.2946,-6.4155,0.9199,3.2405,-1.9389,2.5742,-1.1198,-0.0496999999999996,-5.1157,-1.9908,-1.0047,0.6522,6.6634,4.0463,-0.7384,1.3335,-1.4435,1.808,1.6424,-2.5629,-2.9113,-3.1438,0.955,0.283199999999999,-2.894,1.0756,0.189500000000000,3.5215,3.4037,0.177200000000001,6.4419,-1.2353,-5.6735,0.9946,-6.2484,2.504,-1.9963,6.0205,2.2907,1.758,-1.3869,-5.1295,-6.1528,1.5461,4.9642,-0.0684999999999998,-2.7986,2.4619,0.668399999999999,1.3056,-3.1526,0.427,-1.2531,0.2546,3.6678,-2.0039,1.3508,2.7224,7.8659,2.9771,-0.341,-6.8788,1.9325,-1.5358,0.210100000000000,3.0157,8.4896,0.0156000000000001,-5.0127,-4.2282,-3.0041,-1.1577,-1.1604,-2.7271,-2.8373,3.1688,1.043,-2.825,-0.0711,0.6062,5.746,-2.1891,2.6928,-3.569,0.7273,-2.625,2.6918,-0.9319,-5.0652,0.166399999999999,2.2756,-1.03140000000000,-0.246000000000000,1.4189,0.117900000000001,-2.1105,3.6651,-5.0234,0.9651,-2.7484,2.3144,-0.352700000000000,3.9671,-1.7569,-0.124600000000001,0.2798,3.1003,-1.305,0.9451,0.8775,1.969,-1.3021,3.8586,-0.0105999999999997,-2.9287,-5.1376,0.3755,-2.8689,1.8268,5.3369,-1.0889,4.9781,4.6601,2.0125,0.1014,1.608,4.9687,-4.2069,2.1024,-0.5231,-7.7846,-3.0864,2.0084,-1.5527,2.5793,3.2654,1.262,2.985,-3.5948,-1.3961,2.1827,7.9507,-4.4263,4.4118,5.9808,2.4934,0.2291,4.5418,1.5834,-3.1181,-5.9341,-5.0773,-1.553,6.7565,-3.4186,2.6825,0.6057,4.0064,-1.3312,-0.8883,2.8752,0.7049,-1.2994,3.4258,-3.6141,1.3801,-0.85,-2.8226,-5.8292,-2.8508,-0.4678,3.1786,1.8369,2.3201,1.4387,0.5045,6.4585,-1.5051,-0.818,0.2954,2.4773,-1.0489,0.7333,3.2061,-4.2454,4.6179,-3.2006,-0.0507,-4.6025,4.9117,-2.0461,1.8264,-0.2666,3.887,2.6758,-0.7439,-0.0300000000000002,2.0008,1.3621,-2.4935,5.6316,6.2129,4.0423,-3.5576,2.034,-2.5463,-4.3745,-0.2453,4.2091,4.3564,-3.3451,4.9023,-0.4096,4.4196,2.4223,-4.5445,-1.2345,0.6748,-2.4715,1.5865,-3.8506,-3.572,1.2815,-1.7414,0.7359
"7",-5.4472,-0.1781,2.4855,-1.0791,-2.017,1.5402,6.5068,-3.3364,-6.4644,0.6998,3.0454,-1.9196,2.5362,-0.9847,-0.182399999999999,-4.9993,-1.8413,-1.3123,0.8866,6.4424,4.1925,-0.6761,1.2069,-1.459,1.6388,1.9145,-2.5276,-2.8751,-3.2108,0.8861,0.0991999999999997,-2.8883,1.0585,-0.1572,3.6076,3.5403,-0.0251999999999999,6.4544,-0.737,-5.8,1.2985,-5.8512,2.3956,-2.2412,6.0344,2.4496,1.5927,-1.1965,-4.9763,-5.9065,1.4145,4.8502,-0.0708000000000002,-2.8398,2.2974,0.7535,1.5859,-3.0811,0.6411,-1.3503,-0.1035,3.7431,-1.8329,1.6074,2.6306,7.7296,2.8671,-0.6229,-6.3105,2.2267,-1.6484,-0.120600000000000,2.7634,8.1085,-0.0136000000000001,-4.9749,-4.3683,-3.0975,-1.5527,-1.2429,-2.81,-2.8037,2.8819,1.1112,-2.6772,0.1364,0.6152,5.7865,-1.9085,2.4875,-3.2114,0.307000000000000,-2.7731,2.8584,-1.2707,-5.0302,0.196900000000000,2.0453,-1.31010000000000,-0.322200000000000,1.3771,0.249899999999999,-2.1132,3.8197,-5.0028,0.699000000000001,-2.3941,1.9067,-0.328,3.964,-1.6326,-0.0915,0.328399999999999,2.7603,-1.4414,0.915,0.7591,2.0298,-1.1991,3.7112,-0.00700000000000012,-3.1458,-4.9761,0.5199,-2.9254,2.1816,5.2689,-1.1829,5.0748,4.6155,1.71250000000000,0.1071,1.603,4.9562,-4.0386,1.972,-0.2989,-7.5709,-2.8438,1.8149,-1.3312,2.7805,3.0479,1.0924,3.3746,-3.5077,-1.3445,2.0559,7.5283,-4.1376,4.4852,5.5284,2.3275,0.5205,3.7803,1.5875,-2.8312,-5.8064,-4.8656,-1.6454,6.4809,-3.343,2.5008,0.3857,3.6661,-1.2726,-1.2301,2.6939,0.754899999999999,-1.244,2.9796,-3.6602,1.6412,-0.6834,-2.7473,-6.0222,-2.5375,-0.3673,3.0003,1.8778,2.2595,1.7433,0.4096,6.4486,-1.4256,-0.7049,0.2543,2.5169,-1.1462,0.7782,3.0078,-4.231,4.4597,-3.0533,0.018,-4.4231,4.8514,-1.8875,1.9125,-0.271,3.5988,2.5218,-0.8103,0.2203,2.0606,1.0215,-2.6449,5.5221,5.9332,4.2607,-3.6024,1.8789,-2.2122,-4.0478,-0.2402,4.1908,4.2638,-3.2968,4.5815,-0.3542,4.5001,2.6119,-4.3152,-1.3843,0.681,-2.4131,1.3592,-3.8562,-3.2378,1.2072,-1.7453,0.7533
"8",-5.5086,0.00190000000000001,3.0881,-0.7866,-1.8724,1.3952,6.3954,-3.3663,-6.5353,0.3284,2.7503,-1.9161,2.5089,-0.7181,-0.337,-4.8678,-1.592,-1.7345,1.2487,6.0578,4.3873,-0.597,1.0373,-1.451,1.3651,2.3023,-2.4489,-2.7995,-3.2817,0.7695,-0.186,-2.8878,1.014,-0.8499,3.7593,3.7073,-0.351500000000001,6.3879,0.00760000000000005,-5.9286,1.7321,-5.3306,2.2227,-2.5634,6.0338,2.6689,1.3204,-0.865,-4.7643,-5.5046,1.2061,4.7172,-0.0516000000000001,-2.8838,2.0428,0.8911,2.0396,-3.011,0.9275,-1.4441,-0.6045,3.7889,-1.6037,1.9644,2.5231,7.4858,2.7128,-1.0819,-5.4037,2.6897,-1.7788,-0.6028,2.4257,7.4849,0.0092000000000001,-4.8861,-4.581,-3.1955,-2.1489,-1.3481,-2.96,-2.7915,2.4199,1.1646,-2.4157,0.4727,0.6312,5.8604,-1.4879,2.1967,-2.7163,-0.324900000000000,-3.0889,3.0756,-1.7484,-4.949,0.2945,1.7,-1.73960000000000,-0.4574,1.2809,0.515000000000001,-2.0547,4.0221,-4.9331,0.387500000000001,-1.8111,1.3531,-0.2387,3.9849,-1.4764,-0.0312999999999999,0.3525,2.3003,-1.6046,0.8916,0.533,2.0796,-1.0198,3.3819,0.0124999999999997,-3.4714,-4.6909,0.7668,-3.0268,2.6874,5.1832,-1.2864,5.147,4.4809,1.26770000000000,0.1138,1.5468,4.8939,-3.7967,1.7544,0.0264,-7.2325,-2.4564,1.523,-1.0413,3.0639,2.7073,0.813,3.9436,-3.3174,-1.2645,1.8305,6.8765,-3.7549,4.5721,4.7709,2.0953,0.9287,2.6125,1.6214,-2.422,-5.562,-4.4748,-1.7377,6.0694,-3.2556,2.244,0.0325000000000002,3.1791,-1.2093,-1.7309,2.4235,0.7913,-1.1303,2.2703,-3.6642,2.0739,-0.4216,-2.6243,-6.382,-2.0476,-0.2401,2.7412,1.9109,2.1199,2.2475,0.205,6.3669,-1.2867,-0.5074,0.1434,2.6053,-1.2848,0.8332,2.711,-4.2167,4.1961,-2.7565,0.1182,-4.147,4.736,-1.6323,2.0076,-0.2486,3.1288,2.2354,-0.8649,0.6126,2.122,0.5652,-2.8483,5.3774,5.5083,4.6207,-3.6739,1.641,-1.6466,-3.5095,-0.2898,4.127,4.0627,-3.1762,4.0578,-0.2839,4.549,2.8723,-3.9495,-1.5894,0.6353,-2.2921,1.0149,-3.8354,-2.7486,1.0782,-1.7266,0.7444
"9",-5.5609,0.1745,3.8602,-0.3938,-1.6344,1.085,6.1593,-3.3271,-6.6411,-0.231,2.3775,-1.9612,2.5038,-0.2807,-0.4907,-4.7337,-1.2724,-2.2056,1.7267,5.4657,4.5799,-0.5302,0.8537,-1.3775,0.9927,2.7847,-2.3049,-2.6676,-3.3372,0.6132,-0.576,-2.9304,0.9271,-1.956,3.9635,3.8827,-0.794899999999999,6.1617,0.9339,-5.9873,2.2515,-4.7384,2.0068,-2.9153,5.9921,2.9067,0.9417,-0.3678,-4.5056,-4.9454,0.9212,4.6137,0.0157000000000000,-2.9012,1.7133,1.1054,2.6817,-2.9574,1.2499,-1.5033,-1.215,3.7561,-1.3382,2.372,2.4162,7.1195,2.5261,-1.7185,-4.1668,3.3315,-1.8993,-1.2086,2.0282,6.6124,0.1296,-4.7046,-4.8624,-3.27,-2.942,-1.473,-3.2021,-2.8227,1.777,1.1915,-2.0377,0.9143,0.6542,5.9317,-0.9796,1.8568,-2.1278,-1.1574,-3.6181,3.2943,-2.316,-4.7901,0.5201,1.232,-2.2927,-0.6969,1.1174,0.943,-1.9077,4.2528,-4.8161,0.119800000000000,-1.014,0.7211,-0.0437000000000001,4.0494,-1.3077,0.0694999999999997,0.3012,1.7648,-1.7541,0.8966,0.1782,2.0914,-0.7462,2.802,0.0642,-3.8883,-4.2267,1.1056,-3.1715,3.2968,5.075,-1.3708,5.1334,4.226,0.684900000000003,0.1404,1.3893,4.7321,-3.4705,1.4302,0.4239,-6.7575,-1.9274,1.1288,-0.7417,3.389,2.2506,0.446199999999999,4.6298,-3.0223,-1.1389,1.5036,5.9603,-3.3211,4.6615,3.6921,1.8237,1.4074,1.0438,1.6937,-1.921,-5.1791,-3.8816,-1.7927,5.5562,-3.1876,1.9291,-0.4573,2.5701,-1.164,-2.3126,2.0701,0.7684,-0.9286,1.3211,-3.5917,2.6874,-0.0641000000000003,-2.474,-6.9414,-1.3751,-0.0913999999999993,2.4197,1.8954,1.8718,2.952,-0.1316,6.1629,-1.1108,-0.210500000000001,-0.083,2.7521,-1.4499,0.8864,2.3336,-4.1939,3.8169,-2.2686,0.2484,-3.7412,4.5304,-1.2896,2.0814,-0.1719,2.4746,1.788,-0.8621,1.109,2.1536,0.0270000000000001,-3.078,5.2185,4.9635,5.1215,-3.782,1.3128,-0.8438,-2.7338,-0.4418,3.9817,3.7063,-2.9266,3.3322,-0.2248,4.4922,3.1519,-3.4488,-1.8039,0.5108,-2.059,0.5459,-3.7695,-2.1511,0.8805,-1.6551,0.6856
"10",-5.5676,0.2779,4.7213,0.0642000000000005,-1.326,0.5727,5.7456,-3.1518,-6.7854,-0.9864,1.9657,-2.0951,2.5147,0.3303,-0.636099999999999,-4.5942,-0.9603,-2.6251,2.2831,4.6355,4.6864,-0.5024,0.6799,-1.2035,0.5606,3.3115,-2.0795,-2.4632,-3.3603,0.449400000000001,-1.0729,-3.0573,0.7785,-3.453,4.1761,4.0404,-1.2881,5.6967,1.9026,-5.8946,2.7976,-4.1261,1.7839,-3.2395,5.8564,3.0892,0.4775,0.2922,-4.206,-4.2543,0.5764,4.5825,0.137,-2.8553,1.3402,1.4097,3.4774,-2.9076,1.5424,-1.5122,-1.8784,3.5977,-1.0654,2.7647,2.3065,6.6236,2.32,-2.4814,-2.6713,4.1344,-1.9778,-1.8796,1.5932,5.5397,0.3871,-4.3827,-5.2028,-3.3157,-3.9154,-1.6105,-3.5462,-2.9092,0.9833,1.2095,-1.5853,1.3955,0.7042,5.9209,-0.478,1.5182,-1.5088,-2.1477,-4.3483,3.4469,-2.8877,-4.5218,0.9326,0.6505,-2.9074,-1.1017,0.8844,1.5244,-1.6686,4.4903,-4.6837,-0.00229999999999997,-0.0672999999999999,0.1106,0.2899,4.16,-1.1328,0.231600000000000,0.141100000000000,1.1969,-1.8568,0.9478,-0.3052,2.04,-0.3667,1.9554,0.164,-4.3504,-3.5305,1.4897,-3.3512,3.9318,4.9185,-1.413,4.9905,3.8584,-0.00919999999999987,0.2192,1.1022,4.4078,-3.0677,0.9834,0.8376,-6.1428,-1.2958,0.6463,-0.5087,3.6918,1.7038,0.0556000000000001,5.3284,-2.6688,-0.9376,1.0899,4.7622,-2.8804,4.7376,2.3383,1.5441,1.8803,-0.8546,1.7793,-1.3716,-4.6592,-3.1161,-1.7664,5.013,-3.1624,1.5852,-1.0355,1.8897,-1.1593,-2.8361,1.6673,0.6466,-0.6267,0.226999999999999,-3.4148,3.4425,0.3613,-2.3406,-7.6881,-0.5518,0.0874999999999995,2.0624,1.787,1.5088,3.8,-0.5878,5.8072,-0.9531,0.175000000000000,-0.4635,2.9384,-1.6262,0.9095,1.9108,-4.1531,3.337,-1.5928,0.3947,-3.1622,4.1977,-0.8977,2.0951,-0.0205000000000002,1.663,1.1763,-0.7541,1.6175,2.1246,-0.5514,-3.2993,5.0619,4.3648,5.7281,-3.9445,0.8876,0.136999999999999,-1.7285,-0.7384,3.7227,3.1575,-2.4865,2.4367,-0.2096,4.2509,3.3584,-2.8484,-1.9609,0.3083,-1.6583,-0.057,-3.6565,-1.5229,0.6021,-1.4915,0.577800000000001
