"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117"
"1",-1.3634,-3.317,-0.3262,3.9486,5.4056,3.2164,-2.6017,2.173,-0.6561,1.1465,-0.2713,-0.0585,-5.9143,2.2591,-0.174399999999999,1.9267,-2.0876,-8.0789,-0.1854,2.3833,-0.8563,-3.9931,1.7933,-3.2466,-2.4997,0.9219,2.7136,-1.8205,-3.8633,-2.2952,-9.3671,4.3408,-1.8519,-2.6684,-0.921,-0.3863,9.0964,3.2461,3.6718,2.0332,2.1198,2.5581,7.3594,-0.7026,-2.6481,-5.6168,-0.9247,-2.8524,7.8938,-0.1321,-0.0744,2.4255,1.3026,1.8647,-3.4173,10.8522,-3.8037,-2.1461,1.9811,-3.5467,-1.4597,3.784,-1.4585,-2.0228,-0.2679,0.5630,7.2069,-3.4465,-4.5428,-3.732,-1.6793,0.2641,-3.5945,-3.9252,-0.7455,-7.7695,3.8967,-1.0358,6.9254,-2.8447,-1.9423,-0.3522,-1.5373,0.5836,5.2384,0.9507,-2.9389,0.212400000000001,-12.0059,6.3409,-3.2195,-2.7259,1.8092,-2.5356,3.3214,4.0723,2.2631,-0.2787,-4.1874,-0.111100000000000,2.6518,3.4881,1.1081,-2.6008,3.7975,-0.2344,-2.3305,-1.4605,-0.9114,-2.6176,-0.802,3.1022,-4.0273,1.8666,1.1475,-0.657399999999999,-2.7692
"2",-1.3634,-3.317,-0.3262,3.9486,5.4056,3.2164,-2.6017,2.173,-0.6561,1.1465,-0.2713,-0.0585,-5.9143,2.2591,-0.174399999999999,1.9267,-2.0876,-8.0789,-0.1854,2.3833,-0.8563,-3.9931,1.7933,-3.2466,-2.4997,0.9219,2.7136,-1.8205,-3.8633,-2.2952,-9.3671,4.3408,-1.8519,-2.6684,-0.921,-0.3863,9.0964,3.2461,3.6718,2.0332,2.1198,2.5581,7.3594,-0.7026,-2.6481,-5.6168,-0.9247,-2.8524,7.8938,-0.1321,-0.0744,2.4255,1.3026,1.8647,-3.4173,10.8522,-3.8037,-2.1461,1.9811,-3.5467,-1.4597,3.784,-1.4585,-2.0228,-0.2679,0.5630,7.2069,-3.4465,-4.5428,-3.732,-1.6793,0.2641,-3.5945,-3.9252,-0.7455,-7.7695,3.8967,-1.0358,6.9254,-2.8447,-1.9423,-0.3522,-1.5373,0.5836,5.2384,0.9507,-2.9389,0.212400000000001,-12.0059,6.3409,-3.2195,-2.7259,1.8092,-2.5356,3.3214,4.0723,2.2631,-0.2787,-4.1874,-0.111100000000000,2.6518,3.4881,1.1081,-2.6008,3.7975,-0.2344,-2.3305,-1.4605,-0.9114,-2.6176,-0.802,3.1022,-4.0273,1.8666,1.1475,-0.657399999999999,-2.7692
"3",-1.3646,-3.3138,-0.327,3.9466,5.4038,3.2178,-2.5986,2.1728,-0.6567,1.1447,-0.2734,-0.056,-5.9135,2.2629,-0.173600000000000,1.9269,-2.0875,-8.0778,-0.1873,2.3833,-0.8536,-3.9944,1.7951,-3.2437,-2.4992,0.921100000000001,2.7144,-1.8249,-3.8642,-2.295,-9.3695,4.3393,-1.8523,-2.6702,-0.9206,-0.3846,9.1004,3.2462,3.6722,2.0312,2.1194,2.5573,7.3565,-0.7025,-2.6464,-5.6181,-0.9279,-2.8542,7.8929,-0.1336,-0.0744,2.4271,1.3027,1.865,-3.413,10.8551,-3.8062,-2.1453,1.9831,-3.5468,-1.4593,3.7845,-1.4575,-2.0225,-0.267300000000000,0.5599,7.2043,-3.4456,-4.5438,-3.7312,-1.6793,0.2648,-3.5928,-3.9274,-0.7463,-7.7667,3.8966,-1.034,6.9244,-2.8465,-1.943,-0.350800000000000,-1.5359,0.584,5.2387,0.950199999999999,-2.9375,0.2126,-12.0066,6.3415,-3.2214,-2.7251,1.8104,-2.535,3.3211,4.073,2.2646,-0.2764,-4.1888,-0.111000000000000,2.6525,3.4878,1.1035,-2.6011,3.7939,-0.235000000000000,-2.3293,-1.4597,-0.914299999999999,-2.6169,-0.7999,3.1036,-4.0255,1.8688,1.1485,-0.6571,-2.7685
"4",-1.3762,-3.2918,-0.333100000000000,3.9317,5.3869,3.2295,-2.5757,2.1699,-0.6597,1.1344,-0.2892,-0.0375,-5.9074,2.2905,-0.166799999999999,1.93,-2.0867,-8.0699,-0.1997,2.3842,-0.8337,-4.0052,1.8085,-3.2235,-2.4956,0.9151,2.7198,-1.8578,-3.8693,-2.2942,-9.3857,4.3269,-1.8544,-2.6849,-0.917,-0.372,9.1264,3.2483,3.6756,2.0145,2.1151,2.5505,7.3349,-0.7014,-2.635,-5.6282,-0.9517,-2.8694,7.8865,-0.1448,-0.0759000000000001,2.4398,1.3016,1.8685,-3.3828,10.876,-3.8239,-2.1391,1.9977,-3.5479,-1.4557,3.788,-1.4485,-2.0226,-0.262300000000000,0.5375,7.1856,-3.4369,-4.5494,-3.7252,-1.6808,0.2729,-3.5804,-3.9413,-0.751,-7.7446,3.8961,-1.0203,6.9165,-2.8582,-1.948,-0.3388,-1.526,0.5882,5.2406,0.9459,-2.9256,0.215100000000001,-12.0118,6.3462,-3.234,-2.7173,1.8176,-2.5293,3.3183,4.0794,2.2758,-0.2587,-4.1979,-0.1098,2.6581,3.4851,1.0709,-2.6002,3.7673,-0.2395,-2.3213,-1.4532,-0.9335,-2.6106,-0.7833,3.1155,-4.011,1.8841,1.1565,-0.6557,-2.7618
"5",-1.4201,-3.2127,-0.3611,3.8769,5.3154,3.2715,-2.4964,2.155,-0.6581,1.1076,-0.3502,0.0265000000000000,-5.8831,2.3852,-0.139400000000000,1.9386,-2.0859,-8.0435,-0.2405,2.395,-0.7581,-4.0459,1.8538,-3.1534,-2.4827,0.90130,2.7329,-1.9684,-3.8808,-2.2929,-9.435,4.2763,-1.857,-2.7384,-0.89980,-0.326,9.2036,3.2554,3.6876,1.9499,2.0993,2.5221,7.2601,-0.6936,-2.5947,-5.6636,-1.0373,-2.9252,7.864,-0.189,-0.085,2.4863,1.2928,1.8776,-3.2783,10.9478,-3.8799,-2.1172,2.0487,-3.5539,-1.4422,3.8008,-1.4136,-2.025,-0.249100000000000,0.4606,7.1206,-3.4003,-4.5651,-3.7011,-1.6907,0.3103,-3.5373,-3.9771,-0.7593,-7.6591,3.8937,-0.974,6.8849,-2.8929,-1.9712,-0.289400000000000,-1.4885,0.6062,5.251,0.923300000000001,-2.8803,0.220499999999999,-12.0304,6.3616,-3.2681,-2.6871,1.8394,-2.5065,3.3047,4.1056,2.314,-0.1994,-4.2266,-0.103100000000000,2.6797,3.469,0.9571,-2.5908,3.6691,-0.2539,-2.296,-1.4222,-0.9988,-2.5834,-0.7216,3.1597,-3.9548,1.9344,1.1858,-0.653599999999999,-2.7288
"6",-1.5314,-3.0231,-0.4389,3.7406,5.1186,3.3699,-2.3133,2.1078,-0.6213,1.0736,-0.5051,0.1707,-5.8168,2.5991,-0.064,1.954,-2.0931,-7.9823,-0.3261,2.4426,-0.5704,-4.1415,1.9496,-2.9955,-2.4485,0.8906,2.7445,-2.2061,-3.8946,-2.2942,-9.5288,4.1354,-1.8582,-2.8665,-0.848500000000001,-0.2152,9.3373,3.2671,3.7117,1.7862,2.0612,2.4472,7.0883,-0.6666,-2.501,-5.7451,-1.2371,-3.0624,7.8141,-0.301,-0.1158,2.5965,1.25,1.886,-3.0433,11.1071,-3.9891,-2.0678,2.1674,-3.5748,-1.4105,3.8303,-1.322,-2.033,-0.236500000000000,0.289099999999999,6.9677,-3.3,-4.5884,-3.6374,-1.7229,0.4206,-3.4369,-4.0252,-0.7594,-7.44,3.8859,-0.87350,6.8018,-2.9559,-2.0389,-0.154200000000000,-1.3956,0.6543,5.2865,0.851600000000001,-2.7611,0.220400000000001,-12.0711,6.3894,-3.3174,-2.6121,1.876,-2.446,3.2627,4.1726,2.4004,-0.0684999999999998,-4.287,-0.0808,2.7354,3.416,0.6877,-2.5521,3.4328,-0.2844,-2.2476,-1.3293,-1.146,-2.5025,-0.5726,3.2741,-3.812,2.038,1.2584,-0.6595,-2.6244
"7",-1.7395,-2.6669,-0.5924,3.4742,4.72,3.5364,-1.9889,2.0048,-0.494,1.072,-0.7998,0.4224,-5.6694,2.967,0.0979999999999999,1.9805,-2.1379,-7.8657,-0.4614,2.5706,-0.2216,-4.2981,2.0876,-2.7353,-2.3731,0.9153,2.7202,-2.5818,-3.9006,-2.3003,-9.6524,3.8347,-1.8669,-3.0965,-0.7386,-0.0125999999999999,9.4777,3.2704,3.7358,1.4742,1.9906,2.3017,6.7857,-0.5998,-2.3374,-5.8852,-1.58,-3.3183,7.7342,-0.5118,-0.1844,2.7794,1.1227,1.8635,-2.6471,11.3678,-4.1322,-1.9888,2.3753,-3.6212,-1.3534,3.8809,-1.1343,-2.0351,-0.2557,0.00170000000000048,6.6848,-3.0968,-4.5989,-3.5145,-1.7921,0.6549,-3.2512,-4.0488,-0.7289,-7.0103,3.8589,-0.7087,6.637,-3.0345,-2.1788,0.131200000000000,-1.2247,0.7435,5.3747,0.6905,-2.5149,0.193800000000000,-12.1276,6.4187,-3.3471,-2.4774,1.9098,-2.3264,3.1674,4.2927,2.545,0.1513,-4.3783,-0.0301999999999998,2.8456,3.2896,0.186900000000001,-2.4564,3.0069,-0.3305,-2.188,-1.1294,-1.3994,-2.3183,-0.3068,3.5063,-3.5377,2.1883,1.3992,-0.6988,-2.3817
"8",-2.0507,-2.1049,-0.8249,3.0281,4.0758,3.7478,-1.507,1.8307,-0.2211,1.1597,-1.2445,0.7982,-5.3827,3.4959,0.3888,2.0391,-2.2734,-7.6665,-0.6404,2.8172,0.2982,-4.4847,2.2157,-2.4008,-2.2204,1.0172,2.6063,-3.0634,-3.8899,-2.3016,-9.7718,3.3083,-1.9128,-3.4274,-0.556099999999999,0.2856,9.5386,3.2338,3.7311,0.9925,1.8781,2.0764,6.3392,-0.4715,-2.1019,-6.0765,-2.036,-3.7097,7.631,-0.8327,-0.297,2.9971,0.8461,1.7559,-2.0914,11.703,-4.2523,-1.8914,2.6701,-3.6941,-1.2671,3.948,-0.8209,-1.9917,-0.347799999999999,-0.394299999999999,6.2264,-2.7648,-4.5607,-3.3329,-1.9068,1.0428,-2.9577,-4.0021,-0.6527,-6.3186,3.7821,-0.490799999999999,6.3747,-3.0999,-2.3988,0.6276,-0.9706,0.8649,5.5401,0.4112,-2.0841,0.109,-12.1684,6.429,-3.3012,-2.2946,1.9112,-2.1306,2.995,4.4529,2.7332,0.4571,-4.4868,0.0584000000000007,3.026,3.0545,-0.6006,-2.2836,2.3862,-0.3898,-2.1474,-0.7971,-1.7539,-1.9804,0.0675999999999997,3.9049,-3.1109,2.3502,1.61720000000000,-0.8138,-1.9276
"9",-2.4334,-1.3365,-1.1157,2.3529,3.1935,3.9357,-0.8804,1.5849,0.216500000000000,1.3835,-1.7939,1.3076,-4.8864,4.1594,0.843,2.1707,-2.5568,-7.3485,-0.8569,3.1856,0.9507,-4.6444,2.2476,-2.0617,-1.9502,1.2179,2.3535,-3.6067,-3.8573,-2.2712,-9.8515,2.523,-2.031,-3.8197,-0.311,0.6496,9.4468,3.1123,3.6614,0.3602,1.7079,1.7819,5.7581,-0.2712,-1.8094,-6.2824,-2.5068,-4.2217,7.5127,-1.2416,-0.4362,3.1596,0.3801,1.5113,-1.3996,12.037,-4.273,-1.7931,3.019,-3.7796,-1.1432,4.0189,-0.3826,-1.8438,-0.5287,-0.868,5.5441,-2.2973,-4.4334,-3.1235,-2.0713,1.5654,-2.5517,-3.8523,-0.5424,-5.3634,3.6086,-0.252700000000001,6.0205,-3.1135,-2.6729,1.3699,-0.658600000000001,0.9941,5.7836,0.0152999999999999,-1.4159,-0.0685000000000002,-12.1386,6.4072,-3.1294,-2.0995,1.8566,-1.8467,2.7368,4.616,2.9173,0.8307,-4.5918,0.186100000000000,3.2773,2.6891,-1.6729,-2.0282,1.6188,-0.4618,-2.1569,-0.3499,-2.1609,-1.4598,0.5017,4.496,-2.5491,2.4809,1.8822,-1.0551,-1.205
"10",-2.8157,-0.4141,-1.4421,1.4084,2.1151,3.9998,-0.1597,1.2799,0.7829,1.7572,-2.3596,1.9452,-4.1324,4.8999,1.4651,2.4174,-3.0119,-6.8699,-1.1062,3.6332,1.6622,-4.7257,2.0934,-1.8051,-1.5401,1.4944,1.9456,-4.1788,-3.799,-2.1728,-9.8604,1.4981,-2.2324,-4.2036,-0.0422999999999991,1.0182,9.1695,2.8524,3.4995,-0.3694,1.4494,1.4384,5.0676,-0.00490000000000013,-1.4843,-6.4378,-2.8475,-4.7996,7.3793,-1.6765,-0.5662,3.1534,-0.2527,1.1151,-0.6106,12.2529,-4.1228,-1.7023,3.367,-3.8599,-0.9548,4.0855,0.144,-1.5475,-0.7709,-1.3781,4.5979,-1.7033,-4.1827,-2.9411,-2.2891,2.1577,-2.0603,-3.575,-0.4394,-4.1974,3.2967,-0.0463000000000005,5.5996,-3.0315,-2.9447,2.3497,-0.3513,1.1141,6.0704,-0.464700000000001,-0.4801,-0.371000000000000,-11.9683,6.3603,-2.8026,-1.9308,1.7487,-1.4712,2.4096,4.7304,3.0215,1.2447,-4.6718,0.3404,3.5742,2.1934,-2.9435,-1.6955,0.787,-0.5471,-2.2238,0.1497,-2.5279,-0.762199999999999,0.9301,5.2584,-1.9131,2.5589,2.1175,-1.459,-0.1944
