"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116"
"1",-3.5764,1.6728,-3.5632,-1.7955,6.5064,-1.9312,2.195,6.4007,-2.3607,3.5701,3.7145,5.361,-0.145300000000000,-0.7283,-0.6297,8.8472,-2.7681,3.1046,1.6386,4.3313,9.646,-7.2123,0.5406,-3.5395,1.1818,5.1912,2.26,-6.3389,-4.1254,-2.3545,-6.0008,1.1296,-3.5493,0.341299999999999,2.7645,-3.2556,-1.141,5.0735,4.6859,0.6921,-1.1305,-3.3678,1.2101,2.1446,2.7445,0.092,-0.8094,1.6018,3.5442,-2.5578,-3.6565,1.7043,-2.9367,-0.323099999999999,1.786,0.2591,4.4058,-1.3864,4.1067,3.1761,6.6745,1.0313,1.3322,3.2492,-7.5518,7.1162,3.9741,-1.8694,-1.3267,2.2394,-1.3201,5.8312,3.2653,2.7332,2.9979,-1.2981,0.946,1.6074,-6.9678,-1.5521,-1.1072,8.1676,-2.4143,1.34360000000000,-0.192000000000000,-4.054,-5.099,-0.9736,0.991,1.9663,-0.3318,-5.9114,0.0814000000000004,6.345,-1.8124,1.0605,-5.0717,4.4531,0.526,2.7202,-3.9262,-0.657,0.9917,3.3271,0.0809,8.9321,-3.2864,-2.9999,-1.5791,0.3886,-2.7498,0.538600000000001,1.768,5.9208,-0.2062,5.8704
"2",-3.5764,1.6728,-3.5632,-1.7955,6.5064,-1.9312,2.195,6.4007,-2.3607,3.5701,3.7145,5.361,-0.145300000000000,-0.7283,-0.6297,8.8472,-2.7681,3.1046,1.6386,4.3313,9.646,-7.2123,0.5406,-3.5395,1.1818,5.1912,2.26,-6.3389,-4.1254,-2.3545,-6.0008,1.1296,-3.5493,0.341299999999999,2.7645,-3.2556,-1.141,5.0735,4.6859,0.6921,-1.1305,-3.3678,1.2101,2.1446,2.7445,0.092,-0.8094,1.6018,3.5442,-2.5578,-3.6565,1.7043,-2.9367,-0.323099999999999,1.786,0.2591,4.4058,-1.3864,4.1067,3.1761,6.6745,1.0313,1.3322,3.2492,-7.5518,7.1162,3.9741,-1.8694,-1.3267,2.2394,-1.3201,5.8312,3.2653,2.7332,2.9979,-1.2981,0.946,1.6074,-6.9678,-1.5521,-1.1072,8.1676,-2.4143,1.34360000000000,-0.192000000000000,-4.054,-5.099,-0.9736,0.991,1.9663,-0.3318,-5.9114,0.0814000000000004,6.345,-1.8124,1.0605,-5.0717,4.4531,0.526,2.7202,-3.9262,-0.657,0.9917,3.3271,0.0809,8.9321,-3.2864,-2.9999,-1.5791,0.3886,-2.7498,0.538600000000001,1.768,5.9208,-0.2062,5.8704
"3",-3.5758,1.6726,-3.5653,-1.7935,6.5025,-1.9334,2.1983,6.4003,-2.3584,3.5702,3.7143,5.361,-0.143500000000000,-0.7286,-0.629899999999999,8.8454,-2.7674,3.1035,1.6372,4.3322,9.6443,-7.212,0.5392,-3.5404,1.1828,5.1916,2.2588,-6.3369,-4.1253,-2.3536,-6.0026,1.1281,-3.5483,0.342000000000001,2.7643,-3.253,-1.1408,5.0747,4.6879,0.6915,-1.1286,-3.3684,1.2091,2.1447,2.7453,0.0918,-0.8091,1.6013,3.5449,-2.5596,-3.6564,1.7042,-2.935,-0.3223,1.7852,0.2612,4.4059,-1.3854,4.1062,3.1735,6.6727,1.028,1.3309,3.249,-7.5495,7.1127,3.9741,-1.8679,-1.3265,2.2369,-1.3189,5.8309,3.2657,2.7338,2.998,-1.2983,0.9456,1.6068,-6.9672,-1.5514,-1.1084,8.1683,-2.4134,1.3441,-0.1922,-4.0546,-5.0994,-0.974,0.9903,1.9661,-0.3323,-5.9112,0.0829000000000004,6.3444,-1.8121,1.0606,-5.0715,4.4545,0.5271,2.7212,-3.9255,-0.656700000000001,0.9923,3.326,0.0811,8.9328,-3.2861,-2.9995,-1.579,0.389500000000001,-2.7476,0.536900000000001,1.7693,5.9199,-0.206400000000000,5.8709
"4",-3.5711,1.6719,-3.5807,-1.7801,6.4754,-1.9491,2.2221,6.3971,-2.3392,3.5705,3.7106,5.3591,-0.131800000000000,-0.7307,-0.629700000000001,8.8305,-2.76,3.096,1.6284,4.3359,9.6306,-7.2092,0.529,-3.5478,1.19,5.1957,2.25,-6.3231,-4.1242,-2.3474,-6.0139,1.1168,-3.5413,0.344399999999999,2.7634,-3.235,-1.139,5.0811,4.7019,0.6866,-1.1156,-3.3745,1.2029,2.1466,2.7534,0.0891,-0.8058,1.6004,3.5474,-2.5737,-3.655,1.7057,-2.9233,-0.3158,1.7802,0.2778,4.4049,-1.3791,4.101,3.1538,6.6589,1.0026,1.3202,3.2467,-7.533,7.0858,3.9742,-1.8567,-1.3241,2.2196,-1.30940000000000,5.8284,3.268,2.7386,2.9992,-1.2987,0.943800000000001,1.6027,-6.9617,-1.5454,-1.118,8.1739,-2.4062,1.3481,-0.1915,-4.0589,-5.1017,-0.9765,0.9838,1.9653,-0.3344,-5.9103,0.0942999999999987,6.3405,-1.8105,1.0607,-5.0703,4.4648,0.5337,2.7268,-3.9189,-0.6546,0.9977,3.3179,0.0807,8.9381,-3.2824,-2.9952,-1.5784,0.3963,-2.7298,0.5229,1.7794,5.913,-0.207,5.8734
"5",-3.5499,1.674,-3.6364,-1.7461,6.3869,-2.0001,2.3048,6.3893,-2.2642,3.5686,3.6839,5.3442,-0.0913,-0.7385,-0.622,8.774,-2.7261,3.0695,1.5986,4.3434,9.5775,-7.196,0.4878,-3.5773,1.2161,5.209,2.2186,-6.2765,-4.1139,-2.3257,-6.0481,1.0797,-3.5128,0.3473,2.758,-3.169,-1.1311,5.1017,4.75,0.6709,-1.0731,-3.3955,1.1841,2.153,2.7829,0.0754,-0.7929,1.6018,3.5521,-2.6239,-3.6519,1.7158,-2.883,-0.2915,1.7662,0.3391,4.4003,-1.3543,4.0814,3.0809,6.6117,0.9115,1.2825,3.2377,-7.4756,6.9843,3.9743,-1.8154,-1.3129,2.1576,-1.2713,5.8237,3.2769,2.755,3.0028,-1.2982,0.9372,1.5839,-6.9405,-1.5241,-1.1546,8.1937,-2.3765,1.3632,-0.189900000000000,-4.0727,-5.1104,-0.9788,0.9579,1.9666,-0.336,-5.9106,0.1364,6.3247,-1.8072,1.0604,-5.0655,4.4992,0.5535,2.7445,-3.8951,-0.647499999999999,1.0199,3.2858,0.0771,8.9542,-3.2652,-2.9746,-1.5753,0.4195,-2.6621,0.4689,1.815,5.8862,-0.210900000000000,5.8807
"6",-3.4823,1.697,-3.7624,-1.6987,6.2026,-2.1036,2.4872,6.3831,-2.0727,3.5544,3.5883,5.2854,0.00380000000000003,-0.7568,-0.5833,8.6262,-2.6278,3.0074,1.5327,4.3481,9.4423,-7.1567,0.3793,-3.6532,1.2773,5.2356,2.1412,-6.1743,-4.0706,-2.2776,-6.112,0.9986,-3.4368,0.3342,2.7463,-3.0087,-1.1104,5.1437,4.8584,0.640199999999999,-0.9875,-3.4439,1.1476,2.1704,2.8545,0.0321,-0.7575,1.6174,3.5514,-2.7449,-3.6469,1.7503,-2.791,-0.232300000000000,1.7437,0.4868,4.384,-1.2873,4.0303,2.9021,6.5046,0.6974,1.1943,3.2142,-7.3443,6.7302,3.9728,-1.7158,-1.2794,2.0124,-1.16630000000000,5.8226,3.2986,2.7902,3.0121,-1.2935,0.9197,1.5266,-6.8841,-1.472,-1.2463,8.2386,-2.2978,1.4018,-0.185500000000000,-4.0983,-5.1339,-0.9685,0.8891,1.9823,-0.3244,-5.9179,0.239000000000001,6.2856,-1.807,1.0539,-5.0502,4.5762,0.5891,2.778,-3.8358,-0.633699999999999,1.08,3.2056,0.0636000000000001,8.9835,-3.2134,-2.9104,-1.5632,0.4703,-2.4935,0.3294,1.8958,5.8202,-0.2229,5.8917
"7",-3.3176,1.7803,-3.9692,-1.6673,5.9207,-2.2455,2.7841,6.3955,-1.7118,3.5044,3.3607,5.1359,0.185500000000000,-0.7868,-0.4701,8.324,-2.4205,2.8931,1.42,4.3374,9.1867,-7.0723,0.169,-3.7891,1.3778,5.2701,1.9858,-6.0066,-3.9545,-2.2034,-6.1957,0.8636,-3.2821,0.2739,2.7335,-2.7088,-1.0753,5.2079,5.041,0.5968,-0.868,-3.5256,1.0962,2.2054,2.9878,-0.0635,-0.6865,1.666,3.5261,-2.9664,-3.6398,1.8253,-2.6316,-0.123200000000000,1.7274,0.7562,4.3385,-1.1468,3.9275,2.5665,6.3161,0.3204,1.0373,3.1673,-7.1128,6.2503,3.9668,-1.5253,-1.2031,1.7545,-0.937000000000001,5.8329,3.3381,2.839,3.0372,-1.2808,0.8821,1.4001,-6.7626,-1.3704,-1.4207,8.3123,-2.1494,1.4764,-0.1778,-4.1296,-5.1844,-0.9259,0.7534,2.035,-0.2783,-5.9379,0.4267,6.2144,-1.8237,1.0203,-5.0072,4.7103,0.6272,2.8219,-3.7238,-0.6182,1.2059,3.0551,0.0337000000000001,9.0135,-3.0981,-2.7601,-1.5303,0.5535,-2.1743,0.0562000000000005,2.0297,5.702,-0.2522,5.9019
"8",-2.9965,1.9701,-4.2377,-1.686,5.567,-2.3556,3.1648,6.4419,-1.1712,3.3878,2.9546,4.8515,0.4949,-0.8247,-0.231300000000001,7.8081,-2.0735,2.7072,1.249,4.314,8.7964,-6.9271,-0.1548,-3.9569,1.4937,5.2945,1.7106,-5.7831,-3.7218,-2.1202,-6.2718,0.6768,-3.0232,0.1326,2.7344,-2.2408,-1.0366,5.2918,5.2925,0.5474,-0.7507,-3.638,1.041,2.2588,3.1921,-0.2272,-0.5745,1.7624,3.4519,-3.2985,-3.6254,1.9413,-2.3987,0.0438999999999998,1.7423,1.1595,4.2343,-0.8982,3.7573,2.0426,6.0294,-0.2173,0.803,3.0874,-6.7698,5.5072,3.9514,-1.2098,-1.06,1.3777,-0.5235,5.8538,3.3945,2.8797,3.0986,-1.2651,0.8097,1.172,-6.5423,-1.1972,-1.6926,8.4083,-1.9363,1.596,-0.1671,-4.1473,-5.2777,-0.8358,0.5349,2.1486,-0.1767,-5.9647,0.704700000000001,6.1116,-1.878,0.9196,-4.9085,4.9113,0.6377,2.8625,-3.549,-0.6128,1.4234,2.8204,-0.0135000000000000,9.0057,-2.8922,-2.48,-1.461,0.6641,-1.6787,-0.3837,2.2,5.5343,-0.307200000000000,5.9035
"9",-2.48,2.2763,-4.5323,-1.7672,5.1636,-2.3217,3.5638,6.518,-0.4878,3.1755,2.362,4.4114,0.9767,-0.8617,0.172900000000000,7.043,-1.5818,2.4205,0.9962,4.3079,8.29,-6.7101,-0.5769,-4.0752,1.5644,5.2756,1.2738,-5.5284,-3.3384,-2.054,-6.3016,0.4475,-2.6429,-0.102399999999999,2.7539,-1.6067,-1.0085,5.3924,5.5889,0.4995,-0.6841,-3.77,1.0028,2.3193,3.4636,-0.4654,-0.4305,1.9112,3.3049,-3.7203,-3.5861,2.0754,-2.0953,0.2694,1.8105,1.6828,4.0325,-0.5095,3.5135,1.3243,5.6245,-0.871,0.494300000000000,2.9645,-6.3129,4.5101,3.9189,-0.7348,-0.83,0.9027,0.110099999999999,5.8671,3.4568,2.88,3.2228,-1.2674,0.6907,0.8161,-6.1939,-0.929,-2.0646,8.5149,-1.7001,1.7621,-0.1555,-4.1213,-5.4285,-0.7016,0.2333,2.3364,-0.0112000000000001,-5.9734,1.0515,5.9827,-1.9905,0.6969,-4.7269,5.1864,0.5837,2.8821,-3.3122,-0.628399999999999,1.744,2.4937,-0.0719,8.894,-2.5858,-2.0469,-1.3435,0.7891,-1.0109,-0.9921,2.3671,5.337,-0.3897,5.8901
"10",-1.7757,2.6408,-4.8103,-1.8945,4.7115,-2.0441,3.9083,6.598,0.2796,2.845,1.6135,3.8137,1.6651,-0.8845,0.758099999999999,6.0385,-0.9695,1.9981,0.6241,4.3707,7.7068,-6.4122,-1.0774,-4.0328,1.5051,5.1674,0.654299999999999,-5.2697,-2.7941,-2.0318,-6.2367,0.1726,-2.1297,-0.417500000000000,2.7656,-0.8491,-0.9881,5.5103,5.8966,0.4578,-0.7093,-3.9053,1.0135,2.3637,3.7829,-0.7805,-0.2766,2.1039,3.0673,-4.1772,-3.493,2.1877,-1.7318,0.5492,1.9418,2.2944,3.6965,0.0408000000000008,3.2002,0.4303,5.0769,-1.5734,0.125300000000000,2.7903,-5.744,3.3035,3.8565,-0.0740999999999996,-0.5086,0.3738,0.951,5.8398,3.5011,2.8137,3.4296,-1.3257,0.5258,0.3136,-5.7019,-0.5538,-2.5292,8.6211,-1.5148,1.9709,-0.149,-4.014,-5.6475,-0.549,-0.145,2.5987,0.213200000000001,-5.9225,1.4208,5.8293,-2.179,0.3001,-4.4485,5.5383,0.4392,2.8627,-3.0243,-0.6646,2.1535,2.0678,-0.1322,8.5961,-2.1972,-1.4776,-1.1787,0.9062,-0.1974,-1.7367,2.4819,5.1396,-0.4893,5.8546
