"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209"
"1",2.893,5.4076,-4.2563,5.584,-1.7064,-0.977,-5.6606,3.6287,3.5847,-3.2426,5.8415,-0.8611,6.424,-3.4101,-2.2242,-1.6293,-0.6832,5.2897,2.4226,-0.9322,-2.211,-6.1842,-0.716,-0.382999999999999,3.885,-3.5181,-2.2132,0.8356,0.5132,5.6407,4.1992,3.1945,5.8876,1.722,-0.4169,-7.9896,-5.8915,-0.7173,0.301600000000001,1.8265,-4.4474,-0.5625,-3.9785,-8.2997,-1.7443,2.1022,9.3578,-0.2264,2.1585,-6.8956,3.4546,-0.515400000000001,-1.8926,-2.1958,3.5969,-5.0116,1.0875,4.7317,-3.4595,-0.5581,-2.9433,-6.0531,-1.6991,1.6935,0.4199,0.4629,-4.1722,2.0905,-1.1287,-7.0271,2.3518,-2.7488,3.9003,-2.38,-1.4763,-2.5837,3.7667,-1.7786,-3.3945,2.7314,0.8922,3.9188,1.9067,1.5088,6.0217,0.2439,1.1466,1.7711,2.6327,-3.2612,-5.9276,-2.2808,7.1564,-3.1011,0.000300000000000022,-0.293399999999999,0.3341,-3.2038,2.9179,-1.3008,3.1823,-0.8269,-3.4369,0.3583,3.4986,1.4554,-0.1007,1.3267,1.5312,-2.7417,3.6841,-3.5348,0.1608,2.4292,1.5702,-1.9741,-4.9538,-2.0925,-1.1924,0.730400000000001,-2.0339,7.0368,1.2845,1.7656,-3.0124,3.5043,8.3303,-4.7169,-1.5168,-0.133500000000000,-3.3421,4.2237,-1.2414,-1.432,3.6214,2.2964,2.2256,1.8691,-2.3334,-1.4267,1.9168,-0.7708,4.6244,4.6158,-5.4219,1.7723,-0.526,-0.5824,3.542,1.2097,2.0747,0.737,1.9777,0.8466,5.583,-0.3067,3.9652,-2.375,0.8322,6.301,10.1263,3.6054,2.9889,-2.3642,-1.8912,-0.8725,1.1636,-1.0337,4.1565,4.6806,-0.5894,3.0023,4.1646,-1.13,6.6506,-1.6347,5.9148,-2.3738,-4.8224,5.0381,-0.5891,-2.8375,3.4003,3.2704,-7.0985,-2.6343,-1.2114,1.9311,6.702,3.1092,-1.8732,-1.1637,3.0377,-0.7522,-2.9146,-0.9279,-1.0336,4.0768,-0.1919,-2.2118,-3.0896,0.641,1.917,-1.1915,-0.8245,-2.9588,1.9195,-3.5065,-3.8711
"2",2.893,5.4076,-4.2563,5.584,-1.7064,-0.977,-5.6606,3.6287,3.5847,-3.2426,5.8415,-0.8611,6.424,-3.4101,-2.2242,-1.6293,-0.6832,5.2897,2.4226,-0.9322,-2.211,-6.1842,-0.716,-0.382999999999999,3.885,-3.5181,-2.2132,0.8356,0.5132,5.6407,4.1992,3.1945,5.8876,1.722,-0.4169,-7.9896,-5.8915,-0.7173,0.301600000000001,1.8265,-4.4474,-0.5625,-3.9785,-8.2997,-1.7443,2.1022,9.3578,-0.2264,2.1585,-6.8956,3.4546,-0.515400000000001,-1.8926,-2.1958,3.5969,-5.0116,1.0875,4.7317,-3.4595,-0.5581,-2.9433,-6.0531,-1.6991,1.6935,0.4199,0.4629,-4.1722,2.0905,-1.1287,-7.0271,2.3518,-2.7488,3.9003,-2.38,-1.4763,-2.5837,3.7667,-1.7786,-3.3945,2.7314,0.8922,3.9188,1.9067,1.5088,6.0217,0.2439,1.1466,1.7711,2.6327,-3.2612,-5.9276,-2.2808,7.1564,-3.1011,0.000300000000000022,-0.293399999999999,0.3341,-3.2038,2.9179,-1.3008,3.1823,-0.8269,-3.4369,0.3583,3.4986,1.4554,-0.1007,1.3267,1.5312,-2.7417,3.6841,-3.5348,0.1608,2.4292,1.5702,-1.9741,-4.9538,-2.0925,-1.1924,0.730400000000001,-2.0339,7.0368,1.2845,1.7656,-3.0124,3.5043,8.3303,-4.7169,-1.5168,-0.133500000000000,-3.3421,4.2237,-1.2414,-1.432,3.6214,2.2964,2.2256,1.8691,-2.3334,-1.4267,1.9168,-0.7708,4.6244,4.6158,-5.4219,1.7723,-0.526,-0.5824,3.542,1.2097,2.0747,0.737,1.9777,0.8466,5.583,-0.3067,3.9652,-2.375,0.8322,6.301,10.1263,3.6054,2.9889,-2.3642,-1.8912,-0.8725,1.1636,-1.0337,4.1565,4.6806,-0.5894,3.0023,4.1646,-1.13,6.6506,-1.6347,5.9148,-2.3738,-4.8224,5.0381,-0.5891,-2.8375,3.4003,3.2704,-7.0985,-2.6343,-1.2114,1.9311,6.702,3.1092,-1.8732,-1.1637,3.0377,-0.7522,-2.9146,-0.9279,-1.0336,4.0768,-0.1919,-2.2118,-3.0896,0.641,1.917,-1.1915,-0.8245,-2.9588,1.9195,-3.5065,-3.8711
"3",2.893,5.409,-4.2544,5.5839,-1.7063,-0.9781,-5.659,3.6287,3.583,-3.2504,5.8374,-0.8652,6.4226,-3.4095,-2.225,-1.6283,-0.6827,5.29,2.4246,-0.934,-2.2135,-6.1838,-0.715,-0.384799999999998,3.8847,-3.5192,-2.2125,0.8379,0.5105,5.6386,4.1999,3.1918,5.8891,1.7232,-0.4179,-7.9871,-5.8921,-0.7189,0.2996,1.825,-4.4452,-0.5598,-3.9787,-8.3003,-1.747,2.105,9.3555,-0.2264,2.1582,-6.8916,3.4539,-0.5173,-1.8958,-2.1966,3.5929,-5.0073,1.089,4.7317,-3.4595,-0.5636,-2.943,-6.0517,-1.6979,1.6934,0.4199,0.463,-4.1723,2.0893,-1.1288,-7.0265,2.3504,-2.7501,3.9003,-2.3781,-1.4746,-2.5861,3.7615,-1.7786,-3.3936,2.7279,0.8948,3.9182,1.9069,1.5091,6.0214,0.2457,1.1465,1.7695,2.6309,-3.2606,-5.9259,-2.2821,7.1572,-3.1008,-0.00140000000000001,-0.2915,0.3357,-3.2039,2.9154,-1.3026,3.1812,-0.8236,-3.4347,0.3582,3.4984,1.4583,-0.1015,1.3248,1.5293,-2.7393,3.6811,-3.5346,0.159800000000001,2.4278,1.5702,-1.9735,-4.9518,-2.0938,-1.1919,0.731699999999998,-2.0344,7.0357,1.2834,1.767,-3.0096,3.5054,8.3288,-4.7147,-1.5152,-0.135500000000000,-3.342,4.2251,-1.2413,-1.4323,3.6208,2.294,2.2257,1.8677,-2.3352,-1.4274,1.9188,-0.7704,4.6232,4.6152,-5.4208,1.772,-0.5265,-0.5834,3.5419,1.209,2.0747,0.7372,1.9784,0.846,5.5842,-0.3065,3.9655,-2.3762,0.8323,6.3005,10.1286,3.6055,2.9881,-2.3626,-1.8923,-0.872,1.1638,-1.0312,4.1567,4.6784,-0.587300000000001,2.9998,4.1618,-1.1301,6.6508,-1.6353,5.9115,-2.3753,-4.8232,5.0358,-0.5875,-2.8392,3.3966,3.2649,-7.0965,-2.6334,-1.2114,1.9302,6.7003,3.1081,-1.8711,-1.1626,3.0345,-0.7554,-2.9169,-0.927,-1.0342,4.0713,-0.1936,-2.2153,-3.0901,0.6415,1.9181,-1.1919,-0.8252,-2.9571,1.9196,-3.506,-3.8711
"4",2.8974,5.4212,-4.242,5.5823,-1.7045,-0.9884,-5.6457,3.6288,3.5691,-3.3042,5.8072,-0.8944,6.4121,-3.405,-2.228,-1.6193,-0.6793,5.2922,2.4397,-0.9478,-2.23,-6.1805,-0.7043,-0.3972,3.8809,-3.5282,-2.2069,0.8525,0.4914,5.6236,4.2021,3.173,5.9009,1.7322,-0.4276,-7.9683,-5.8945,-0.7311,0.285800000000000,1.8162,-4.428,-0.5418,-3.9811,-8.3056,-1.7666,2.1218,9.3373,-0.2276,2.1561,-6.8615,3.4531,-0.5304,-1.916,-2.2016,3.5639,-4.9743,1.0956,4.731,-3.4583,-0.6025,-2.9405,-6.0372,-1.6888,1.6912,0.4176,0.463500000000001,-4.174,2.079,-1.1264,-7.0215,2.3379,-2.7606,3.9012,-2.3641,-1.4628,-2.6032,3.7254,-1.7788,-3.3863,2.7014,0.9153,3.9142,1.9054,1.5092,6.0203,0.2577,1.1432,1.7571,2.6153,-3.256,-5.9139,-2.2918,7.162,-3.099,-0.0114,-0.278000000000000,0.3456,-3.2041,2.8981,-1.3165,3.1712,-0.798,-3.4159,0.3559,3.494,1.4821,-0.1072,1.3105,1.5153,-2.72,3.6588,-3.5334,0.153900000000000,2.4171,1.5705,-1.9689,-4.9367,-2.1027,-1.1879,0.741700000000002,-2.0359,7.0264,1.2746,1.7751,-2.9875,3.5133,8.3162,-4.7003,-1.5021,-0.149200000000000,-3.34,4.235,-1.2407,-1.4337,3.616,2.2765,2.2265,1.8599,-2.3486,-1.4331,1.9313,-0.7675,4.6141,4.6109,-5.4122,1.7702,-0.5301,-0.5907,3.5412,1.2039,2.0741,0.7384,1.9841,0.8429,5.5914,-0.3031,3.969,-2.3845,0.8322,6.2961,10.1445,3.6055,2.9816,-2.3506,-1.9008,-0.8674,1.1665,-1.0112,4.1584,4.6629,-0.5697,2.9817,4.1403,-1.1317,6.6489,-1.6391,5.8897,-2.3866,-4.8289,5.0165,-0.5737,-2.8502,3.3671,3.2239,-7.082,-2.6268,-1.2081,1.9227,6.6883,3.1003,-1.8556,-1.1554,3.0105,-0.7798,-2.9324,-0.9233,-1.0367,4.0312,-0.2068,-2.2396,-3.0928,0.6456,1.9258,-1.1954,-0.8296,-2.9448,1.9219,-3.5021,-3.8714
"5",2.93,5.4654,-4.2025,5.5728,-1.6979,-1.0284,-5.5879,3.6269,3.5194,-3.4805,5.6964,-0.9955,6.3723,-3.3893,-2.2298,-1.5806,-0.6714,5.3002,2.4927,-0.9986,-2.2789,-6.1651,-0.6551,-0.440200000000001,3.8672,-3.5598,-2.1886,0.8988,0.4208,5.5713,4.2017,3.1116,5.9391,1.7635,-0.4639,-7.8933,-5.8971,-0.7767,0.2354,1.7881,-4.3606,-0.4894,-3.9976,-8.3238,-1.8376,2.1692,9.2619,-0.2346,2.1521,-6.7503,3.4592,-0.5724,-1.9655,-2.2181,3.4597,-4.8529,1.0993,4.7289,-3.452,-0.734,-2.9299,-5.9734,-1.6555,1.6835,0.3996,0.456799999999999,-4.1821,2.0434,-1.1049,-7.0006,2.285,-2.801,3.9095,-2.3115,-1.4237,-2.6594,3.6084,-1.781,-3.357,2.6051,0.9861,3.8998,1.8944,1.5005,6.0237,0.2995,1.1252,1.7105,2.5541,-3.2381,-5.8667,-2.3287,7.1785,-3.0977,-0.0405,-0.233499999999999,0.3732,-3.2099,2.8373,-1.3669,3.1344,-0.7069,-3.3393,0.3456,3.468,1.5732,-0.1246,1.268,1.4672,-2.6452,3.5769,-3.5265,0.136200000000000,2.3806,1.5723,-1.9524,-4.88,-2.139,-1.1725,0.7761,-2.0367,6.9902,1.2441,1.8025,-2.9051,3.5416,8.2638,-4.6518,-1.4524,-0.198000000000000,-3.3312,4.2702,-1.2391,-1.4357,3.5997,2.2105,2.2331,1.8354,-2.3958,-1.4538,1.9746,-0.7551,4.5813,4.5938,-5.3803,1.7656,-0.5406,-0.6197,3.5353,1.1835,2.0751,0.743,2.0055,0.8331,5.6124,-0.2903,3.9856,-2.4142,0.833,6.2787,10.1988,3.6038,2.9532,-2.3038,-1.9314,-0.8452,1.1783,-0.935,4.1613,4.6086,-0.5045,2.9132,4.055,-1.1433,6.635,-1.6534,5.821,-2.4288,-4.8471,4.9359,-0.5199,-2.8803,3.2558,3.0789,-7.0263,-2.6028,-1.1851,1.8921,6.6413,3.0803,-1.804,-1.1362,2.9193,-0.8668,-2.9821,-0.9177,-1.0435,3.8915,-0.2575,-2.3174,-3.102,0.6582,1.9475,-1.2051,-0.8426,-2.9064,1.9296,-3.4838,-3.8766
"6",3.0533,5.5612,-4.1205,5.5376,-1.6787,-1.1308,-5.4194,3.6113,3.4071,-3.85,5.4281,-1.2216,6.2682,-3.3493,-2.212,-1.4716,-0.6646,5.3134,2.6103,-1.1219,-2.3666,-6.1214,-0.509,-0.546,3.8325,-3.633,-2.1487,0.9848,0.2521,5.448,4.1744,2.9831,6.0153,1.8367,-0.5523,-7.6937,-5.8866,-0.8905,0.1149,1.7307,-4.1881,-0.4071,-4.0589,-8.3504,-2.0037,2.2488,9.0507,-0.2574,2.1442,-6.4842,3.49,-0.6576,-2.0273,-2.2506,3.2169,-4.5602,1.0488,4.7217,-3.431,-1.0198,-2.897,-5.7902,-1.5797,1.6638,0.3323,0.4127,-4.2055,1.9673,-1.0179,-6.9444,2.1406,-2.8963,3.9398,-2.1817,-1.3338,-2.7765,3.365,-1.7893,-3.2747,2.3801,1.1474,3.8637,1.8517,1.4538,6.0478,0.3947,1.0693,1.5951,2.3898,-3.1924,-5.7426,-2.4263,7.2143,-3.1074,-0.0885,-0.138100000000001,0.4192,-3.2436,2.6986,-1.4852,3.048,-0.4957,-3.137,0.3176,3.378,1.8009,-0.1519,1.185,1.3585,-2.4503,3.3746,-3.503,0.1027,2.2967,1.5777,-1.9144,-4.7365,-2.2337,-1.1323,0.853200000000001,-2.027,6.8959,1.1732,1.8643,-2.7025,3.6081,8.1174,-4.5459,-1.3225,-0.3105,-3.3049,4.3534,-1.2388,-1.4331,3.5645,2.0495,2.2569,1.7834,-2.5059,-1.5024,2.0772,-0.7225,4.5008,4.5485,-5.3026,1.7644,-0.5585,-0.6948,3.5125,1.1319,2.0811,0.7497,2.0581,0.8146,5.6477,-0.257,4.0326,-2.4849,0.84,6.2317,10.3192,3.5957,2.874,-2.1829,-2.0049,-0.776,1.2126,-0.7446,4.1603,4.4789,-0.344700000000000,2.7433,3.8306,-1.1872,6.5835,-1.6875,5.6881,-2.5317,-4.8816,4.7203,-0.3778,-2.9246,2.9812,2.7455,-6.8879,-2.5474,-1.1031,1.8125,6.5145,3.0541,-1.696,-1.1071,2.6896,-1.0669,-3.0837,-0.9212,-1.0486,3.576,-0.3819,-2.4769,-3.1186,0.6838,1.983,-1.2204,-0.8686,-2.8261,1.9461,-3.4301,-3.8926
"7",3.3567,5.698,-3.9921,5.4516,-1.6329,-1.3273,-5.0544,3.5569,3.2353,-4.4124,4.9354,-1.5916,6.0484,-3.2657,-2.1439,-1.2415,-0.6777,5.3173,2.796,-1.3467,-2.4733,-6.0275,-0.189299999999999,-0.7564,3.7617,-3.756,-2.0798,1.07970000000000,-0.0415000000000001,5.2264,4.0673,2.7758,6.117,1.9708,-0.713,-7.2879,-5.8264,-1.1089,-0.106200000000000,1.6488,-3.8527,-0.3546,-4.2038,-8.3368,-2.2922,2.3389,8.6056,-0.3137,2.1166,-6.0073,3.5601,-0.7822,-2.0438,-2.2939,2.7931,-4.0362,0.8329,4.7017,-3.3788,-1.4812,-2.816,-5.4046,-1.4599,1.6198,0.162900000000000,0.2679,-4.247,1.8557,-0.7895,-6.8304,1.8479,-3.0568,4.0076,-1.933,-1.1669,-2.9506,2.9989,-1.8036,-3.0923,1.9963,1.4235,3.7885,1.7379,1.3196,6.1128,0.5601,0.9479,1.3765,2.0446,-3.1043,-5.4917,-2.6206,7.2684,-3.1452,-0.1295,0.0188999999999995,0.4728,-3.3552,2.462,-1.6947,2.9002,-0.1308,-2.7426,0.2626,3.1637,2.225,-0.169100000000000,1.062,1.1728,-2.0605,2.9893,-3.4472,0.0562,2.1464,1.5921,-1.8567,-4.4597,-2.4204,-1.0516,0.9781,-1.9938,6.7096,1.0493,1.9745,-2.3266,3.7243,7.8052,-4.3691,-1.0613,-0.504799999999999,-3.2421,4.5018,-1.2543,-1.4141,3.5068,1.7596,2.3145,1.6908,-2.6997,-1.592,2.2664,-0.6583,4.3503,4.453,-5.1625,1.7882,-0.5777,-0.8394,3.4523,1.0336,2.0954,0.745,2.1583,0.789,5.6842,-0.1854,4.1286,-2.6209,0.8653,6.1362,10.5162,3.5727,2.711,-1.9451,-2.1424,-0.6192,1.2845,-0.3822,4.1383,4.2379,-0.0457999999999998,2.4308,3.3907,-1.299,6.4583,-1.7435,5.5114,-2.7172,-4.9232,4.2957,-0.0947,-2.9508,2.477,2.1688,-6.6324,-2.4503,-0.90590,1.659,6.2422,3.0573,-1.5387,-1.0842,2.2534,-1.4063,-3.2325,-0.9512,-1.037,3.0432,-0.6061,-2.7108,-3.1312,0.722,2.014,-1.2281,-0.9082,-2.6971,1.9732,-3.3178,-3.9207
"8",3.8936,5.8243,-3.8394,5.2864,-1.5387,-1.6324,-4.4275,3.4349,3.0563,-5.0799,4.1859,-2.0661,5.6444,-3.1057,-2.0015,-0.8466,-0.7286,5.2821,3.0107,-1.6786,-2.5639,-5.8675,0.3671,-1.1159,3.6295,-3.9101,-1.9694,1.1153,-0.4328,4.9069,3.8087,2.4842,6.2026,2.1807,-0.9516,-6.6051,-5.6582,-1.452,-0.4362,1.5663,-3.3184,-0.438,-4.4396,-8.1775,-2.6888,2.4017,7.8509,-0.4272,2.0223,-5.3109,3.6646,-0.9242,-1.9483,-2.3404,2.1935,-3.2896,0.316500000000000,4.6557,-3.2717,-2.082,-2.6442,-4.7617,-1.3206,1.5362,-0.1604,-0.0484999999999998,-4.2879,1.7376,-0.353,-6.64,1.3728,-3.2665,4.1077,-1.5386,-0.8918,-3.1441,2.5651,-1.8119,-2.7464,1.4897,1.8095,3.6461,1.5011,1.0451,6.2205,0.7934,0.7406,1.0283,1.4286,-2.9628,-5.071,-2.9209,7.3283,-3.2176,-0.1159,0.2401,0.5242,-3.619,2.14,-1.9966,2.702,0.3856,-2.1361,0.177900,2.7735,2.8555,-0.134400000000000,0.9019,0.9124,-1.4215,2.3772,-3.3479,0.00499999999999989,1.9166,1.6219,-1.8018,-4.0206,-2.7156,-0.9153,1.1313,-1.9345,6.41,0.8733,2.142,-1.7601,3.8821,7.2596,-4.1191,-0.6226,-0.7754,-3.1144,4.7195,-1.3143,-1.3613,3.4274,1.3426,2.4215,1.5389,-2.9773,-1.7288,2.5608,-0.5575,4.1116,4.2815,-4.963,1.8732,-0.587,-1.0661,3.3339,0.8792,2.1102,0.6971,2.3231,0.7642,5.6936,-0.0512999999999999,4.2789,-2.8444,0.9265,5.975,10.7667,3.5236,2.445,-1.5575,-2.358,-0.3295,1.402,0.180000000000000,4.0676,3.8622,0.415,1.9677,2.7068,-1.5114,6.2352,-1.8054,5.3435,-2.9873,-4.9512,3.6283,0.3612,-2.903,1.7377,1.3525,-6.2477,-2.3085,-0.5471,1.4153,5.7448,3.1515,-1.3761,-1.0861,1.5885,-1.8698,-3.3942,-1.0157,-0.9994,2.3109,-0.9273,-2.9649,-3.1126,0.7675,2.0101,-1.2081,-0.9624,-2.5179,2.0092,-3.1341,-3.9459
"9",4.624,5.8702,-3.7243,5.0158,-1.3706,-2.0323,-3.5442,3.2293,2.9526,-5.7199,3.1925,-2.5588,4.9792,-2.8224,-1.7809,-0.2685,-0.8049,5.1833,3.1803,-2.1064,-2.6108,-5.6384,1.1763,-1.6516,3.3969,-4.0456,-1.7935,1.0223,-0.8309,4.5326,3.3406,2.0906,6.2144,2.4824,-1.2541,-5.6078,-5.3177,-1.9072,-0.8539,1.5196,-2.5905,-0.7553,-4.7073,-7.7467,-3.1278,2.399,6.7749,-0.6187,1.7908,-4.4312,3.7879,-1.0562,-1.7035,-2.3926,1.4671,-2.4106,-0.5909,4.5672,-3.0773,-2.7382,-2.3317,-3.8719,-1.1984,1.403900,-0.6582,-0.566,-4.2761,1.6447,0.297700000000001,-6.3648,0.7245,-3.4938,4.2005,-0.9965,-0.4858,-3.3055,2.1359,-1.7877,-2.1687,0.97,2.2737,3.3989,1.095,0.5929,6.3308,1.069,0.4332,0.538,0.4591,-2.7588,-4.4586,-3.2748,7.3834,-3.3022,-0.00279999999999991,0.5204,0.5708,-4.101,1.7792,-2.3596,2.4766,1.0251,-1.3613,0.0718999999999994,2.1999,3.6409,-0.000699999999999701,0.7019,0.5977,-0.5325,1.5306,-3.2047,-0.0396999999999998,1.6019,1.674,-1.7886,-3.4243,-3.1038,-0.7114,1.2673,-1.8691,6.0023,0.6568,2.3697,-1.0363,4.0526,6.4382,-3.8014,0.0187,-1.0874,-2.8874,4.9992,-1.4514,-1.2563,3.3317,0.8458,2.5865,1.3038,-3.3165,-1.9084,2.9553,-0.4242,3.7738,4.0101,-4.7334,2.0558,-0.5754,-1.3684,3.1439,0.6628,2.1045,0.5652,2.5711,0.7568,5.6399,0.1714,4.469,-3.1672,1.0368,5.7339,11.0073,3.4331,2.085,-1.0072,-2.6512,0.131000000000000,1.5626,0.9215,3.9159,3.3549,1.0237,1.3852,1.8351,-1.8221,5.9193,-1.8339,5.2293,-3.3233,-4.9461,2.743,0.9838,-2.7159,0.8258,0.3591,-5.7407,-2.123,-0.0136000000000003,1.0688,4.9569,3.3953,-1.2803,-1.1214,0.7434,-2.4105,-3.5107,-1.1052,-0.9495,1.4473,-1.3138,-3.1387,-3.0308,0.8176,1.9453,-1.1445,-1.0323,-2.2856,2.0454,-2.8839,-3.9337
"10",5.4118,5.78,-3.7392,4.6134,-1.0997,-2.4743,-2.4909,2.9408,2.9895,-6.2179,2.01,-2.9715,4.0072,-2.3613,-1.4975,0.4758,-0.8509,5.02,3.2315,-2.628,-2.6063,-5.3516,2.1849,-2.363,3.0203,-4.0911,-1.518,0.7787,-1.1069,4.171,2.654,1.5616,6.0934,2.9036,-1.585,-4.3031,-4.7715,-2.4234,-1.3085,1.5413,-1.7156,-1.3357,-4.896,-6.9505,-3.5014,2.3037,5.4299,-0.896,1.3678,-3.4392,3.9177,-1.1584,-1.3105,-2.4621,0.685,-1.5387,-1.8669,4.4217,-2.7517,-3.338,-1.8377,-2.8124,-1.1207,1.2306,-1.2917,-1.241,-4.1389,1.5911,1.0774,-6.0144,-0.0524,-3.7031,4.2281,-0.330900000000001,0.0428000000000002,-3.3927,1.7516,-1.7032,-1.3106,0.5827,2.7674,3.0135,0.5019,-0.0495000000000001,6.3655,1.336,0.0153999999999999,-0.0881,-0.9009,-2.4856,-3.6562,-3.5701,7.4377,-3.3524,0.2305,0.8411,0.6141,-4.8195,1.4394,-2.7124,2.2415,1.744,-0.504,-0.0360999999999994,1.4877,4.4829,0.2588,0.466,0.2677,0.5446,0.4814,-3.024,-0.0671999999999999,1.2047,1.7508,-1.854,-2.7123,-3.5333,-0.4351,1.331,-1.8347,5.5237,0.4211,2.6462,-0.2273,4.1971,5.3413,-3.4284,0.8546,-1.3838,-2.5287,5.3312,-1.6812,-1.0836,3.233,0.3434,2.8101,0.9689,-3.6729,-2.1089,3.414,-0.2671,3.3352,3.6269,-4.5236,2.358,-0.528,-1.7228,2.8806,0.3744,2.0472,0.3201,2.9129,0.7948,5.4869,0.4991,4.6662,-3.5773,1.1941,5.401,11.1436,3.2788,1.6615,-0.3103,-3.0012,0.7875,1.7554,1.7719,3.6594,2.7519,1.7201,0.7344,0.9073,-2.1679,5.5409,-1.7697,5.1708,-3.6966,-4.8996,1.6992,1.7299,-2.3304,-0.155300000000000,-0.7099,-5.1309,-1.8943,0.6663,0.6069,3.8651,3.8024,-1.3295,-1.1882,-0.1757,-2.9719,-3.5183,-1.1941,-0.9274,0.5471,-1.722,-3.1008,-2.8652,0.8819,1.8104,-1.0349,-1.1196,-1.9875,2.0609,-2.5863,-3.837
