"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229"
"1",-6.7396,-0.8616,-5.0387,6.7928,-0.2156,4.7428,-0.5933,-1.4086,1.3736,1.2898,-1.9392,4.2182,-1.1055,3.0677,-1.3366,-0.406000000000001,-2.7834,0.5884,1.9717,-0.2153,-0.149100000000000,-2.0736,1.9336,4.058,-1.65010000000000,5.0368,-5.2185,-3.8541,-3.0695,-3.025,-2.1674,0.9741,9.2079,6.1533,-3.1433,-0.0356,-0.5502,5.1855,-0.317,4.802,2.8296,-3.0156,-2.4835,-8.6189,1.9269,-3.3181,7.0341,1.7849,2.2607,-4.5278,-1.5917,-4.4206,-2.9513,-4.3129,-0.174400000000000,-1.3445,-0.2584,-5.2136,-2.255,1.5323,3.3726,4.5548,0.947,0.164500000000000,-0.237,0.2026,-1.0512,-0.294300000000001,1.7526,1.7856,-1.3728,-2.9292,0.7928,-1.4927,3.9399,2.11,2.2256,-4.3373,0.0856999999999999,0.7667,3.5134,-0.0529999999999999,-2.7568,5.593,4.8683,5.8911,-2.1023,1.4347,2.9495,2.1389,6.8438,-2.3791,-1.909,1.5498,-1.2926,-3.8527,7.0989,-5.9784,8.5644,-3.4394,-1.2337,1.97,-2.8483,5.0997,0.3938,-3.29,-2.658,1.2898,-1.5923,4.1526,-1.427,-0.3587,6.0118,5.477,-4.015,-5.9286,-1.6716,-0.606,5.255,-1.6419,-2.0522,-5.1878,-3.8381,1.8101,3.2537,3.1837,-3.0551,0.0814,4.1626,-0.6311,-0.6748,-1.473,-6.1418,-0.5271,0.9105,1.6729,-1.0351,-4.3763,5.1745,-4.073,0.876,3.2093,6.3358,0.5483,1.8728,-4.4475,5.9888,3.0442,2.1068,5.5251,6.1202,-2.8262,1.2162,-6.138,4.9787,0.294,1.4647,2.9245,5.8061,2.6853,-3.391,4.0217,-3.0216,-4.1658,2.4499,1.7228,-1.3507,-1.1761,4.0185,-5.1037,1.7426,2.5687,-2.1366,-0.8599,2.5723,3.1039,5.0439,3.0169,2.7126,-1.2623,0.721,0.9735,0.9288,0.8583,-6.0401,3.7874,11.8439,-4.9809,-4.2367,1.0868,-1.3309,-1.9673,9.0301,-1.4821,1.4592,0.9708,2.2536,-3.4249,-1.8562,1.3805,-5.8638,-1.4066,0.07,2.7983,0.766399999999999,1.1918,-0.256699999999999,-0.9974,3.6587,-10.3206,3.7732,6.0024,1.6669,4.887,5.2363,-1.119,-1.765,0.7328,-1.4744,-3.0532,-3.1847,0.3567,-1.4843,0.5278,-4.2414,-4.8201,-1.9619,5.4109,-1.6061
"2",-6.7396,-0.8616,-5.0387,6.7928,-0.2156,4.7428,-0.5933,-1.4086,1.3736,1.2898,-1.9392,4.2182,-1.1055,3.0677,-1.3366,-0.406000000000001,-2.7834,0.5884,1.9717,-0.2153,-0.149100000000000,-2.0736,1.9336,4.058,-1.65010000000000,5.0368,-5.2185,-3.8541,-3.0695,-3.025,-2.1674,0.9741,9.2079,6.1533,-3.1433,-0.0356,-0.5502,5.1855,-0.317,4.802,2.8296,-3.0156,-2.4835,-8.6189,1.9269,-3.3181,7.0341,1.7849,2.2607,-4.5278,-1.5917,-4.4206,-2.9513,-4.3129,-0.174400000000000,-1.3445,-0.2584,-5.2136,-2.255,1.5323,3.3726,4.5548,0.947,0.164500000000000,-0.237,0.2026,-1.0512,-0.294300000000001,1.7526,1.7856,-1.3728,-2.9292,0.7928,-1.4927,3.9399,2.11,2.2256,-4.3373,0.0856999999999999,0.7667,3.5134,-0.0529999999999999,-2.7568,5.593,4.8683,5.8911,-2.1023,1.4347,2.9495,2.1389,6.8438,-2.3791,-1.909,1.5498,-1.2926,-3.8527,7.0989,-5.9784,8.5644,-3.4394,-1.2337,1.97,-2.8483,5.0997,0.3938,-3.29,-2.658,1.2898,-1.5923,4.1526,-1.427,-0.3587,6.0118,5.477,-4.015,-5.9286,-1.6716,-0.606,5.255,-1.6419,-2.0522,-5.1878,-3.8381,1.8101,3.2537,3.1837,-3.0551,0.0814,4.1626,-0.6311,-0.6748,-1.473,-6.1418,-0.5271,0.9105,1.6729,-1.0351,-4.3763,5.1745,-4.073,0.876,3.2093,6.3358,0.5483,1.8728,-4.4475,5.9888,3.0442,2.1068,5.5251,6.1202,-2.8262,1.2162,-6.138,4.9787,0.294,1.4647,2.9245,5.8061,2.6853,-3.391,4.0217,-3.0216,-4.1658,2.4499,1.7228,-1.3507,-1.1761,4.0185,-5.1037,1.7426,2.5687,-2.1366,-0.8599,2.5723,3.1039,5.0439,3.0169,2.7126,-1.2623,0.721,0.9735,0.9288,0.8583,-6.0401,3.7874,11.8439,-4.9809,-4.2367,1.0868,-1.3309,-1.9673,9.0301,-1.4821,1.4592,0.9708,2.2536,-3.4249,-1.8562,1.3805,-5.8638,-1.4066,0.07,2.7983,0.766399999999999,1.1918,-0.256699999999999,-0.9974,3.6587,-10.3206,3.7732,6.0024,1.6669,4.887,5.2363,-1.119,-1.765,0.7328,-1.4744,-3.0532,-3.1847,0.3567,-1.4843,0.5278,-4.2414,-4.8201,-1.9619,5.4109,-1.6061
"3",-6.7375,-0.8613,-5.0405,6.7917,-0.2144,4.7434,-0.5931,-1.4097,1.3742,1.2903,-1.9387,4.2174,-1.1036,3.0671,-1.3328,-0.4054,-2.7844,0.5879,1.9722,-0.215200000000000,-0.149600000000000,-2.0737,1.9315,4.0572,-1.6498,5.0359,-5.2167,-3.8541,-3.0695,-3.0262,-2.1674,0.9726,9.2084,6.1526,-3.142,-0.037,-0.5508,5.1844,-0.3163,4.8016,2.8295,-3.0155,-2.4828,-8.6202,1.9273,-3.3184,7.0336,1.781,2.26,-4.5287,-1.5927,-4.4189,-2.953,-4.3123,-0.1753,-1.3414,-0.258200000000000,-5.2144,-2.254,1.5322,3.3739,4.5525,0.9482,0.1646,-0.2371,0.204,-1.0499,-0.294800000000000,1.7523,1.7853,-1.3718,-2.9287,0.7917,-1.4922,3.9386,2.1087,2.2288,-4.3359,0.0835999999999999,0.7682,3.5134,-0.0532000000000004,-2.7577,5.593,4.8673,5.8889,-2.1032,1.4337,2.9507,2.1379,6.8421,-2.3774,-1.908,1.5482,-1.2973,-3.8533,7.102,-5.9768,8.562,-3.4417,-1.2346,1.9686,-2.8464,5.0999,0.3906,-3.2883,-2.661,1.2918,-1.5926,4.1525,-1.4253,-0.3616,6.0085,5.4771,-4.015,-5.9281,-1.6733,-0.6046,5.2521,-1.6403,-2.0509,-5.1845,-3.838,1.8088,3.2541,3.1836,-3.0557,0.0814,4.1612,-0.6302,-0.6751,-1.4751,-6.1423,-0.5274,0.9122,1.6756,-1.0373,-4.3724,5.1721,-4.0703,0.8775,3.2096,6.3347,0.5501,1.8721,-4.4478,5.9884,3.0427,2.1096,5.5263,6.12,-2.8268,1.2135,-6.1378,4.9753,0.2957,1.4628,2.9255,5.8067,2.6853,-3.3913,4.022,-3.0196,-4.168,2.4503,1.7213,-1.3502,-1.1748,4.0181,-5.1007,1.7415,2.5679,-2.1367,-0.8606,2.572,3.1041,5.0434,3.0136,2.7114,-1.2639,0.7195,0.9722,0.9284,0.8578,-6.0406,3.7873,11.8446,-4.9808,-4.2357,1.087,-1.3299,-1.9668,9.0289,-1.482,1.4583,0.9695,2.2527,-3.4261,-1.8565,1.3809,-5.8642,-1.4059,0.0691,2.7979,0.7681,1.1905,-0.255900000000000,-0.9981,3.6587,-10.3202,3.7738,6.0029,1.6687,4.8869,5.2344,-1.1205,-1.7653,0.7332,-1.4748,-3.051,-3.1854,0.3541,-1.4837,0.5283,-4.2412,-4.8191,-1.9635,5.4108,-1.6065
"4",-6.7195,-0.8574,-5.0534,6.7811,-0.2061,4.7474,-0.5927,-1.4167,1.378,1.2935,-1.9336,4.21,-1.0895,3.0637,-1.3049,-0.399500000000001,-2.7899,0.5843,1.9746,-0.214700000000000,-0.1522,-2.0736,1.9168,4.0521,-1.6494,5.0292,-5.2021,-3.8544,-3.0707,-3.0352,-2.1688,0.9614,9.2097,6.1463,-3.1322,-0.0473,-0.5556,5.1782,-0.3115,4.798,2.8297,-3.0163,-2.475,-8.6294,1.9305,-3.32,7.0286,1.7524,2.2534,-4.5341,-1.6022,-4.4066,-2.9612,-4.3083,-0.182800000000000,-1.316,-0.2539,-5.2185,-2.246,1.5302,3.3853,4.5374,0.9545,0.165,-0.239,0.2143,-1.0404,-0.297099999999999,1.7487,1.7836,-1.3641,-2.9242,0.7841,-1.4867,3.928,2.0984,2.2506,-4.3234,0.0692000000000002,0.7795,3.514,-0.0539000000000005,-2.7629,5.5908,4.8596,5.8701,-2.1106,1.4256,2.9572,2.1304,6.8273,-2.3621,-1.9004,1.5374,-1.3318,-3.8558,7.1235,-5.9644,8.5453,-3.4572,-1.2408,1.9585,-2.8303,5.1002,0.3707,-3.2773,-2.683,1.3055,-1.5934,4.152,-1.413,-0.385899999999999,5.9858,5.4762,-4.0146,-5.9231,-1.6858,-0.5937,5.2295,-1.6276,-2.0377,-5.1641,-3.8354,1.7972,3.2563,3.1849,-3.0583,0.0822000000000003,4.1523,-0.6235,-0.677,-1.4908,-6.1476,-0.529599999999999,0.9237,1.6939,-1.0519,-4.3455,5.1535,-4.0502,0.8859,3.2109,6.3259,0.5652,1.868,-4.4488,5.9858,3.0308,2.1297,5.5325,6.1194,-2.8293,1.1953,-6.1381,4.951,0.3089,1.45,2.9331,5.811,2.6861,-3.3901,4.0234,-3.0067,-4.1826,2.4537,1.709,-1.3448,-1.1648,4.0131,-5.0793,1.7315,2.5619,-2.1374,-0.8649,2.5682,3.1052,5.0392,2.9899,2.7031,-1.2759,0.7067,0.9621,0.9243,0.8531,-6.0431,3.7855,11.85,-4.9801,-4.2272,1.0892,-1.3233,-1.9626,9.0203,-1.4808,1.4505,0.9602,2.2472,-3.436,-1.8577,1.3832,-5.8659,-1.4,0.0625,2.7952,0.7806,1.1814,-0.250900000000000,-1.002,3.6585,-10.3162,3.7766,6.0067,1.6827,4.8843,5.2188,-1.1304,-1.7667,0.7372,-1.4784,-3.035,-3.1914,0.3336,-1.4803,0.5314,-4.2391,-4.8137,-1.975,5.4088,-1.6101
"5",-6.6499,-0.8404,-5.0986,6.7394,-0.1766,4.7586,-0.59,-1.4399,1.3887,1.3011,-1.917,4.1847,-1.0376,3.0517,-1.201,-0.375200000000000,-2.81,0.5735,1.9803,-0.214000000000000,-0.1585,-2.0711,1.8608,4.0358,-1.6497,5.0061,-5.1457,-3.8523,-3.0745,-3.0695,-2.1731,0.9173,9.21,6.1155,-3.0998,-0.0824,-0.5745,5.1559,-0.2961,4.7863,2.8306,-3.0246,-2.4454,-8.6587,1.9442,-3.3279,7.0033,1.6512,2.2265,-4.5502,-1.6442,-4.3601,-2.9793,-4.2934,-0.2119,-1.2147,-0.239600000000001,-5.2292,-2.2209,1.5266,3.4306,4.4908,0.9704,0.164100000000000,-0.2499,0.248400000000000,-1.0039,-0.302899999999999,1.7339,1.7738,-1.3366,-2.9107,0.755,-1.4622,3.8809,2.0644,2.3273,-4.2715,0.0179000000000000,0.8156,3.5125,-0.0561999999999996,-2.7714,5.5787,4.8342,5.7978,-2.1429,1.3996,2.9732,2.1057,6.7668,-2.3009,-1.8736,1.5011,-1.4458,-3.8556,7.196,-5.9113,8.4833,-3.5125,-1.2638,1.925,-2.7691,5.0995,0.3141,-3.2429,-2.7578,1.3526,-1.5904,4.1557,-1.3677,-0.484,5.9116,5.4703,-4.0108,-5.9027,-1.7342,-0.5514,5.1505,-1.5822,-1.9787,-5.1033,-3.8175,1.7505,3.2631,3.1936,-3.0623,0.0928,4.1261,-0.5964,-0.6791,-1.5469,-6.1753,-0.5389,0.9596,1.7513,-1.0917,-4.2583,5.0856,-3.9814,0.9086,3.2145,6.2892,0.6247,1.8559,-4.4472,5.9741,2.9882,2.1992,5.5468,6.1147,-2.8383,1.1326,-6.1422,4.8657,0.3569,1.4059,2.954,5.8279,2.6879,-3.3848,4.0285,-2.9672,-4.2304,2.461,1.6614,-1.3242,-1.1291,3.9925,-5.0022,1.7002,2.5378,-2.134,-0.8825,2.5481,3.1021,5.0225,2.9055,2.6749,-1.3207,0.6573,0.9252,0.9071,0.8367,-6.0489,3.7757,11.8651,-4.9715,-4.1944,1.0955,-1.3016,-1.9503,8.9849,-1.4742,1.4224,0.923,2.2312,-3.4708,-1.8565,1.3912,-5.8681,-1.3763,0.0369000000000000,2.7882,0.8238,1.1476,-0.2355,-1.01,3.6543,-10.2981,3.7827,6.0233,1.7351,4.8737,5.1548,-1.1624,-1.7696,0.7495,-1.4897,-2.973,-3.2142,0.2629,-1.4689,0.5424,-4.2325,-4.7969,-2.0149,5.3985,-1.6209
"6",-6.4707,-0.789,-5.2028,6.6253,-0.107900000000000,4.777,-0.5815,-1.4906,1.4027,1.3078,-1.8839,4.1244,-0.9107,3.0248,-0.9452,-0.308999999999999,-2.8579,0.5532,1.9826,-0.2153,-0.1647,-2.0608,1.7209,4.0017,-1.6552,4.9533,-5.0027,-3.8377,-3.0846,-3.1543,-2.1855,0.8025,9.1987,6.0208,-3.0277,-0.159,-0.6253,5.1035,-0.2665,4.7598,2.8312,-3.0618,-2.373,-8.7173,1.9813,-3.3521,6.9255,1.4145,2.1551,-4.5746,-1.7659,-4.2432,-2.9892,-4.2575,-0.2775,-0.9562,-0.206000000000001,-5.2467,-2.1729,1.5249,3.5476,4.4,0.9943,0.158700000000001,-0.2841,0.323199999999999,-0.9144,-0.311500000000000,1.6922,1.742,-1.2758,-2.8852,0.6852,-1.3921,3.7415,1.9897,2.5052,-4.1252,-0.1012,0.8914,3.4987,-0.0663,-2.7632,5.5374,4.7772,5.616,-2.2347,1.3467,2.9904,2.0622,6.6026,-2.138,-1.8067,1.4266,-1.6884,-3.8319,7.3525,-5.7637,8.3321,-3.638,-1.314,1.854,-2.6159,5.0896,0.217500000000000,-3.1712,-2.9184,1.4556,-1.5656,4.1784,-1.2576,-0.7397,5.7521,5.4473,-3.996,-5.8521,-1.8524,-0.4466,4.9681,-1.4787,-1.8132,-4.9949,-3.7527,1.6241,3.274,3.227,-3.0564,0.137300000000000,4.0792,-0.5208,-0.6701,-1.6845,-6.2611,-0.5627,1.0291,1.8658,-1.155,-4.0663,4.9216,-3.8298,0.9363,3.2171,6.1923,0.7782,1.8332,-4.4275,5.9448,2.8918,2.3553,5.5579,6.0971,-2.8572,0.9963,-6.1549,4.6743,0.4676,1.306,2.9855,5.8659,2.6847,-3.3705,4.0435,-2.8899,-4.3298,2.4599,1.5391,-1.2711,-1.0464,3.9313,-4.8197,1.6425,2.4742,-2.1127,-0.9284,2.4832,3.076,4.9757,2.7063,2.617,-1.4299,0.5297,0.8346,0.8599,0.8002,-6.053,3.745,11.8851,-4.9346,-4.1092,1.1085,-1.2542,-1.9256,8.888,-1.4508,1.3565,0.8233,2.1999,-3.551,-1.8419,1.4101,-5.8614,-1.3141,-0.0321,2.7786,0.9235,1.0661,-0.202199999999999,-1.0103,3.6347,-10.2434,3.7819,6.0701,1.8647,4.8444,4.9769,-1.2238,-1.7705,0.7755,-1.5117,-2.8081,-3.2727,0.1029,-1.4421,0.5683,-4.2189,-4.7602,-2.1057,5.3685,-1.6419
"7",-6.1134,-0.6714,-5.3824,6.3807,0.0088999999999999,4.7922,-0.5643,-1.5781,1.3998,1.3035,-1.8437,4.0064,-0.6756,2.9835,-0.4672,-0.173,-2.9443,0.5336,1.9581,-0.225000000000000,-0.162600000000000,-2.0372,1.4524,3.9488,-1.6685,4.8569,-4.7261,-3.7931,-3.1021,-3.3139,-2.2162,0.5787,9.1529,5.807,-2.9013,-0.2817,-0.7272,5.0058,-0.227,4.7132,2.8283,-3.1663,-2.2455,-8.7963,2.0508,-3.4044,6.755,0.9955,2.0144,-4.5814,-2.0264,-4.0135,-2.9425,-4.1886,-0.3721,-0.4767,-0.143699999999999,-5.2728,-2.109,1.5335,3.768,4.2692,1.0159,0.148099999999999,-0.3567,0.4448,-0.7518,-0.319100000000001,1.6013,1.6619,-1.182,-2.854,0.560300000000001,-1.243,3.4318,1.8673,2.8252,-3.8045,-0.309,1.0042,3.4483,-0.0984999999999996,-2.6901,5.4394,4.6803,5.2762,-2.4279,1.2712,2.9792,2.027,6.2605,-1.8111,-1.673,1.3213,-2.0704,-3.7449,7.6024,-5.4587,8.0514,-3.8391,-1.3847,1.7401,-2.3247,5.0549,0.1124,-3.0504,-3.1635,1.6194,-1.482,4.2413,-1.0549,-1.2286,5.4929,5.3895,-3.9567,-5.7679,-2.061,-0.2538,4.6511,-1.3058,-1.4808,-4.8642,-3.5927,1.3629,3.2775,3.3098,-3.0153,0.2521,4.0266,-0.354600000000000,-0.6211,-1.9482,-6.4474,-0.6077,1.1258,2.0335,-1.2143,-3.7256,4.6161,-3.5875,0.9295,3.2048,6.0038,1.0772,1.797,-4.365,5.8914,2.7374,2.6201,5.5373,6.047,-2.881,0.7898,-6.1744,4.3571,0.6492,1.1336,3.0034,5.9189,2.6543,-3.3469,4.081,-2.7705,-4.4817,2.4121,1.2999,-1.1675,-0.9022,3.7907,-4.4892,1.5813,2.3427,-2.0525,-1.0155,2.3329,2.9881,4.8738,2.3475,2.5374,-1.6264,0.2835,0.6632,0.7689,0.7444,-6.0383,3.6762,11.8856,-4.8378,-3.9408,1.1276,-1.1764,-1.8881,8.6849,-1.388,1.2378,0.6213,2.1535,-3.6905,-1.7936,1.4456,-5.8211,-1.1907,-0.1812,2.7729,1.1018,0.9118,-0.146500000000000,-0.9718,3.5806,-10.1141,3.7447,6.1669,2.108,4.7842,4.5921,-1.2954,-1.7628,0.8175,-1.5414,-2.4666,-3.3858,-0.171400000000000,-1.3931,0.6167,-4.1984,-4.696,-2.2594,5.3033,-1.6725
"8",-5.5201,-0.4533,-5.6288,5.9349,0.1665,4.7841,-0.5367,-1.705,1.3485,1.2789,-1.8249,3.7993,-0.3146,2.9365,0.2703,0.0557999999999996,-3.0634,0.5425,1.8655,-0.257400000000000,-0.143800000000000,-1.9973,1.0255,3.8809,-1.6836,4.7011,-4.284,-3.6995,-3.1235,-3.5625,-2.2878,0.222400000000000,9.0401,5.422,-2.7071,-0.4319,-0.892,4.8536,-0.1883,4.6376,2.8137,-3.3839,-2.0711,-8.8605,2.1423,-3.494,6.4576,0.3834,1.7834,-4.5176,-2.467,-3.6357,-2.7711,-4.0676,-0.4557,0.218,-0.0429000000000013,-5.3183,-2.0421,1.5594,4.0916,4.1121,1.0251,0.1471,-0.4664,0.6074,-0.5133,-0.317600000000000,1.4333,1.4967,-1.082,-2.8364,0.3857,-0.988,2.8886,1.7027,3.3122,-3.2198,-0.6008,1.1355,3.3269,-0.176600000000001,-2.4933,5.2583,4.5445,4.7627,-2.7459,1.1932,2.8946,2.0573,5.6707,-1.2815,-1.4421,1.2186,-2.5476,-3.5533,7.9152,-4.9501,7.6199,-4.0782,-1.4395,1.5807,-1.861,4.9694,0.0540999999999996,-2.858,-3.4407,1.8281,-1.297,4.3596,-0.7484,-1.9593,5.1411,5.2787,-3.8838,-5.6749,-2.3477,0.0312,4.2006,-1.0801,-0.9671,-4.7561,-3.2876,0.9204,3.2526,3.4625,-2.9087,0.468,4.0012,-0.0472999999999999,-0.487,-2.3735,-6.7512,-0.6745,1.235,2.2295,-1.222,-3.1862,4.1373,-3.2863,0.8195,3.1476,5.7056,1.5518,1.7395,-4.2463,5.81,2.5547,2.9891,5.4484,5.9369,-2.8873,0.5657,-6.1758,3.9339,0.8755,0.8893,2.9682,5.9544,2.5532,-3.3274,4.161,-2.6075,-4.6654,2.2524,0.9215,-0.9998,-0.6988,3.5245,-3.9922,1.5701,2.1092,-1.9432,-1.1437,2.0609,2.7925,4.6936,1.812,2.4685,-1.9081,-0.0921999999999992,0.397300000000000,0.6321,0.6877,-5.9802,3.5568,11.8191,-4.6532,-3.6654,1.1507,-1.0726,-1.8377,8.3296,-1.2563,1.054,0.282900000000000,2.086,-3.888,-1.6869,1.5069,-5.7087,-0.9953,-0.4542,2.7738,1.3727,0.6589,-0.0645999999999987,-0.852,3.4717,-9.8622,3.6223,6.3317,2.4841,4.6855,3.9041,-1.3199,-1.7374,0.8779,-1.5665,-1.8742,-3.5613,-0.5608,-1.326,0.6961,-4.1732,-4.593,-2.4687,5.1883,-1.7124
"9",-4.6586,-0.1188,-5.9078,5.2173,0.3406,4.7289,-0.4967,-1.8629,1.219,1.2335,-1.8688,3.4639,0.1704,2.8974,1.2606,0.389000000000001,-3.1823,0.6206,1.6597,-0.337100000000000,-0.105900000000000,-1.9373,0.432899999999999,3.8039,-1.6795,4.4634,-3.6691,-3.5469,-3.1311,-3.9003,-2.4376,-0.265800000000000,8.8253,4.8337,-2.4302,-0.5715,-1.1149,4.6463,-0.1554,4.5145,2.7768,-3.7478,-1.8732,-8.8488,2.2232,-3.6258,6.0073,-0.3913,1.4445,-4.3119,-3.0836,-3.0984,-2.4101,-3.8598,-0.4774,1.0394,0.103900000000001,-5.4009,-1.9702,1.6036,4.4748,3.9332,1.0215,0.184200000000000,-0.5857,0.8017,-0.2196,-0.291499999999999,1.1606,1.2051,-1.0213,-2.8615,0.1909,-0.6168,2.11490000000000,1.5063,3.9676,-2.2961,-0.9387,1.2632,3.0984,-0.3246,-2.134,4.9752,4.3783,4.0998,-3.1678,1.139,2.6904,2.2105,4.7899,-0.5545,-1.0895,1.1672,-3.0285,-3.2299,8.2276,-4.2329,7.036,-4.2863,-1.4223,1.3635,-1.2029,4.8013,0.102000000000000,-2.5482,-3.6619,2.0518,-0.9911,4.5333,-0.3504,-2.8466,4.7205,5.1017,-3.7826,-5.6167,-2.6705,0.3944,3.6525,-0.8487,-0.323700000000001,-4.7081,-2.7977,0.2807,3.1755,3.6916,-2.7155,0.7912,4.0428,0.447200000000000,-0.2116,-2.9677,-7.1416,-0.7587,1.3522,2.4167,-1.1288,-2.3979,3.4704,-2.9874,0.5239,2.9993,5.2956,2.1962,1.6484,-4.0807,5.6954,2.3985,3.4367,5.2621,5.74,-2.8281,0.4084,-6.1028,3.4471,1.0983,0.5919,2.8484,5.9182,2.3316,-3.336,4.3032,-2.4055,-4.8458,1.9116,0.4149,-0.7646,-0.4528,3.0964,-3.3329,1.6717,1.7376,-1.8009,-1.2978,1.6504,2.4597,4.4212,1.1249,2.4504,-2.2429,-0.559,0.0514000000000001,0.4648,0.6691,-5.8538,3.3872,11.6182,-4.3744,-3.2681,1.1746,-0.957,-1.7684,7.7818,-1.0322,0.7933,-0.2026,1.9715,-4.1239,-1.498,1.6072,-5.4824,-0.7385,-0.8901,2.7685,1.7375,0.2767,0.0417999999999994,-0.6138,3.2942,-9.4369,3.361,6.5779,2.9867,4.5534,2.8481,-1.2147,-1.6808,0.9585,-1.5674,-0.9823,-3.7827,-1.0468,-1.2637,0.817,-4.1499,-4.4345,-2.709,5.0108,-1.7637
"10",-3.5401,0.3118,-6.1618,4.1736,0.4976,4.609,-0.4377,-2.0292,1.005,1.1737,-2.01,2.9662,0.7583,2.8732,2.4567,0.828700000000001,-3.241,0.8038,1.3159,-0.4957,-0.0528,-1.8496,-0.310000000000000,3.7216,-1.6254,4.1141,-2.903,-3.3399,-3.0888,-4.3107,-2.7036,-0.8664,8.4811,4.0433,-2.0571,-0.657,-1.3669,4.392,-0.1175,4.3209,2.7042,-4.2582,-1.6764,-8.6832,2.2505,-3.7978,5.3735,-1.2627,0.985,-3.8909,-3.8248,-2.4278,-1.8122,-3.5116,-0.4097,1.8445,0.296700000000001,-5.5336,-1.8642,1.6653,4.8464,3.7183,1.0152,0.286799999999999,-0.669,1.0206,0.0844999999999999,-0.209700000000000,0.7629,0.7548,-1.0514,-2.9652,0.0269000000000004,-0.136299999999999,1.20200000000000,1.2867,4.758,-0.9954,-1.2481,1.3725,2.7386,-0.5585,-1.613,4.576,4.1879,3.3397,-3.6259,1.1289,2.3369,2.5146,3.6242,0.3293,-0.6134,1.2134,-3.3962,-2.7639,8.4544,-3.3504,6.3161,-4.3975,-1.2893,1.0683,-0.345899999999999,4.5177,0.2995,-2.0619,-3.7345,2.2564,-0.5917,4.7421,0.1012,-3.7402,4.2642,4.853,-3.6704,-5.6266,-2.9798,0.8177,3.0698,-0.6737,0.3572,-4.7327,-2.099,-0.5254,3.0334,3.9972,-2.4337,1.1966,4.1839,1.1505,0.2597,-3.6979,-7.5363,-0.8574,1.4946,2.5545,-0.8948,-1.3398,2.6221,-2.7552,-0.0365,2.708,4.7835,2.9643,1.5253,-3.884,5.5381,2.3191,3.9271,4.9676,5.4457,-2.6334,0.3938,-5.8729,2.9415,1.2715,0.2715,2.6457,5.7503,1.9616,-3.3979,4.5132,-2.184,-4.9882,1.3442,-0.179300000000000,-0.4768,-0.1919,2.4917,-2.5342,1.9309,1.2004,-1.6649,-1.4563,1.1067,1.993,4.0596,0.3556,2.4998,-2.5729,-1.0382,-0.3247,0.2992,0.7356,-5.6449,3.1824,11.2089,-4.0243,-2.7476,1.1903,-0.8483,-1.6656,7.0107,-0.7084,0.4406,-0.8147,1.7611,-4.361,-1.2033,1.7695,-5.1072,-0.457,-1.5007,2.7246,2.1832,-0.266999999999999,0.161000000000000,-0.239,3.0453,-8.7929,2.9195,6.9137,3.5815,4.4081,1.4207,-0.898,-1.5746,1.0559,-1.5194,0.2114,-4.0012,-1.6017,-1.2459,0.9866,-4.1452,-4.1986,-2.9477,4.7602,-1.8294
