"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109"
"1",-2.2173,-2.7929,2.0587,-2.1256,-1.9786,0.2791,0.1277,1.3699,-1.0533,-1.5874,-3.0008,0.488499999999998,-3.9712,-1.5412,-1.1979,-3.1296,-3.6129,2.8955,1.0393,0.6713,5.2132,8.6136,3.7499,4.4016,-1.7876,0.4834,1.3949,-2.1417,-1.917,1.2428,2.1766,-4.6068,-1.4975,-0.0825,10.0349,3.65,-5.6574,5.3238,2.1294,5.1348,5.0009,2.4545,0.6067,-6.65,-1.5771,4.2722,-0.474600000000001,2.2525,-0.1131,3.0861,-1.1618,3.6454,-0.9683,11.2148,-0.4838,1.1596,1.9916,-6.2783,-1.5821,6.0051,-2.0421,-2.7153,2.7758,-0.682,-0.237200000000001,0.6219,-5.0434,0.413400000000001,-4.4664,4.769,0.525300000000001,1.5745,-2.3121,-6.497,0.0733999999999995,5.3846,-0.6432,0.0789999999999997,-3.9674,-5.6915,3.9905,-0.936,0.4018,-2.3606,0.8299,6.7564,1.5072,3.2909,1.8453,-6.7497,-0.5824,-1.3609,0.4946,-8.5669,2.5887,5.8107,2.1144,-1.5283,-3.432,-1.5865,-5.8058,1.7719,-1.5541,-4.3824,2.6979,-3.2139,-2.994,-2.1285,-0.3305
"2",-2.2173,-2.7929,2.0587,-2.1256,-1.9786,0.2791,0.1277,1.3699,-1.0533,-1.5874,-3.0008,0.488499999999998,-3.9712,-1.5412,-1.1979,-3.1296,-3.6129,2.8955,1.0393,0.6713,5.2132,8.6136,3.7499,4.4016,-1.7876,0.4834,1.3949,-2.1417,-1.917,1.2428,2.1766,-4.6068,-1.4975,-0.0825,10.0349,3.65,-5.6574,5.3238,2.1294,5.1348,5.0009,2.4545,0.6067,-6.65,-1.5771,4.2722,-0.474600000000001,2.2525,-0.1131,3.0861,-1.1618,3.6454,-0.9683,11.2148,-0.4838,1.1596,1.9916,-6.2783,-1.5821,6.0051,-2.0421,-2.7153,2.7758,-0.682,-0.237200000000001,0.6219,-5.0434,0.413400000000001,-4.4664,4.769,0.525300000000001,1.5745,-2.3121,-6.497,0.0733999999999995,5.3846,-0.6432,0.0789999999999997,-3.9674,-5.6915,3.9905,-0.936,0.4018,-2.3606,0.8299,6.7564,1.5072,3.2909,1.8453,-6.7497,-0.5824,-1.3609,0.4946,-8.5669,2.5887,5.8107,2.1144,-1.5283,-3.432,-1.5865,-5.8058,1.7719,-1.5541,-4.3824,2.6979,-3.2139,-2.994,-2.1285,-0.3305
"3",-2.2177,-2.7958,2.0584,-2.1245,-1.9791,0.2777,0.1275,1.3716,-1.0525,-1.5865,-2.9986,0.4918,-3.9714,-1.5407,-1.1979,-3.1298,-3.6114,2.8994,1.0387,0.6722,5.2142,8.614,3.7505,4.4034,-1.7854,0.4819,1.3927,-2.1415,-1.9145,1.2415,2.1764,-4.6081,-1.4964,-0.0818000000000003,10.034,3.6508,-5.6577,5.323,2.1285,5.1356,4.9972,2.454,0.6077,-6.6471,-1.5788,4.2712,-0.477,2.2522,-0.1145,3.085,-1.1617,3.6421,-0.9664,11.215,-0.483,1.1594,1.9918,-6.2791,-1.5796,6.0035,-2.0431,-2.7154,2.7741,-0.6825,-0.237500000000001,0.6231,-5.0441,0.4107,-4.4676,4.7672,0.524999999999999,1.574,-2.3108,-6.4975,0.0739999999999998,5.385,-0.6438,0.0801000000000007,-3.9656,-5.6895,3.9898,-0.9353,0.4028,-2.3592,0.8306,6.7581,1.5074,3.2907,1.8437,-6.7497,-0.5853,-1.3624,0.4953,-8.566,2.5885,5.8097,2.1158,-1.5271,-3.432,-1.5841,-5.8041,1.7697,-1.5546,-4.3828,2.6965,-3.2152,-2.9929,-2.1273,-0.331000000000000
"4",-2.221,-2.82,2.0556,-2.1155,-1.9827,0.2678,0.125500000000000,1.3841,-1.0466,-1.5795,-2.9802,0.517899999999999,-3.9723,-1.5361,-1.1985,-3.1316,-3.5988,2.9264,1.0325,0.6786,5.2214,8.6176,3.7545,4.4168,-1.769,0.4702,1.3764,-2.1376,-1.8964,1.2335,2.174,-4.6167,-1.4862,-0.0764999999999998,10.026,3.6575,-5.6602,5.3159,2.1219,5.1416,4.9699,2.4504,0.6155,-6.6273,-1.5912,4.2623,-0.4944,2.2499,-0.1251,3.0767,-1.1613,3.6169,-0.9532,11.2153,-0.4771,1.1576,1.9941,-6.2826,-1.5609,5.9896,-2.0529,-2.7164,2.7625,-0.6849,-0.243000000000000,0.6317,-5.0489,0.390699999999999,-4.4774,4.753,0.5212,1.572,-2.3002,-6.4997,0.0775000000000006,5.3889,-0.6496,0.0869999999999997,-3.9511,-5.6755,3.9855,-0.9303,0.4106,-2.3491,0.8359,6.7709,1.5082,3.2899,1.831,-6.7504,-0.6059,-1.3741,0.5004,-8.56,2.5872,5.8017,2.1258,-1.5182,-3.4312,-1.5667,-5.7912,1.7528,-1.5594,-4.3855,2.686,-3.2248,-2.985,-2.1192,-0.334499999999999
"5",-2.2308,-2.9052,2.0392,-2.0799,-1.9922,0.231500000000000,0.118600000000000,1.4263,-1.026,-1.554,-2.9068,0.615399999999999,-3.9762,-1.5243,-1.2016,-3.1358,-3.5519,3.0169,1.0107,0.7053,5.2461,8.6295,3.768,4.4609,-1.7078,0.4272,1.3202,-2.1182,-1.8326,1.2046,2.1632,-4.6445,-1.4495,-0.0623999999999998,9.9916,3.6786,-5.6641,5.2872,2.1027,5.1666,4.8685,2.4357,0.6441,-6.5582,-1.6381,4.2258,-0.5584,2.2418,-0.1658,3.0445,-1.1595,3.5236,-0.9086,11.2087,-0.4603,1.1464,2.0024,-6.2911,-1.4938,5.9386,-2.0919,-2.7217,2.7221,-0.69,-0.2715,0.6617,-5.0631,0.318200000000001,-4.5176,4.6974,0.502400000000001,1.5659,-2.2611,-6.5043,0.0891000000000002,5.4017,-0.6734,0.110800000000000,-3.8936,-5.6282,3.9695,-0.9063,0.4393,-2.3139,0.8521,6.8135,1.5092,3.2909,1.779,-6.7524,-0.6825,-1.4172,0.517,-8.5355,2.5831,5.7701,2.1582,-1.487,-3.4276,-1.5027,-5.74,1.6879,-1.5764,-4.3929,2.6464,-3.2602,-2.9591,-2.0862,-0.344899999999999
"6",-2.246,-3.0938,1.9808,-1.9875,-2.0048,0.1467,0.105700000000000,1.5206,-0.9817,-1.4899,-2.712,0.850499999999998,-3.9871,-1.5088,-1.2069,-3.1397,-3.4355,3.2115,0.9599,0.7808,5.2996,8.651,3.7957,4.5551,-1.5584,0.3209,1.1943,-2.0561,-1.6813,1.1357,2.1358,-4.7,-1.3558,-0.0392000000000001,9.8929,3.7193,-5.6544,5.2087,2.0676,5.2356,4.617,2.3936,0.712,-6.3997,-1.7515,4.1262,-0.7162,2.2238,-0.27,2.9567,-1.1545,3.3,-0.8065,11.1676,-0.4311,1.1109,2.0229,-6.2987,-1.3361,5.8151,-2.1979,-2.7369,2.6294,-0.6924,-0.363100000000001,0.7348,-5.0908,0.1448,-4.6245,4.5533,0.445700000000000,1.5576,-2.1665,-6.5058,0.1128,5.4275,-0.7378,0.1623,-3.7417,-5.517,3.9288,-0.8378,0.5094,-2.2324,0.8841,6.9065,1.502,3.3005,1.6395,-6.7522,-0.871,-1.5248,0.5528,-8.4729,2.5761,5.6865,2.2254,-1.4141,-3.4184,-1.3463,-5.6074,1.525,-1.6173,-4.3999,2.5461,-3.3435,-2.9033,-1.9975,-0.361299999999999
"7",-2.2546,-3.3849,1.8326,-1.8054,-2.0088,0.000199999999999978,0.0987,1.6813,-0.9171,-1.3576,-2.3258,1.2682,-4.0064,-1.5024,-1.2007,-3.1341,-3.2129,3.5218,0.8699,0.9425,5.382,8.6708,3.8373,4.7089,-1.2812,0.122800000000000,0.9833,-1.9106,-1.4025,1.0102,2.0847,-4.7737,-1.166,-0.0131999999999999,9.6779,3.7745,-5.5925,5.0443,2.0218,5.3771,4.1359,2.3008,0.8346,-6.1196,-1.9527,3.9181,-1.0128,2.19,-0.4746,2.7709,-1.1392,2.9024,-0.6192,11.0341,-0.3896,1.0277,2.063,-6.2853,-1.0508,5.5862,-2.4151,-2.7636,2.4745,-0.6802,-0.5697,0.8798,-5.1284,-0.170300000000001,-4.8348,4.2752,0.3206,1.5616,-1.9919,-6.4897,0.148000000000000,5.4599,-0.868,0.244,-3.4355,-5.3053,3.8493,-0.6927,0.6436,-2.0843,0.9301,7.0581,1.4686,3.3285,1.3545,-6.7425,-1.2253,-1.7293,0.6134,-8.3528,2.5667,5.5146,2.3299,-1.2778,-3.3955,-1.0514,-5.3423,1.2172,-1.6917,-4.3802,2.3483,-3.4846,-2.8097,-1.8185,-0.3742
"8",-2.2387,-3.7053,1.5472,-1.5134,-1.9922,-0.2058,0.127900000000000,1.9063,-0.8613,-1.1152,-1.7108,1.856,-4.0285,-1.5201,-1.1495,-3.1076,-2.8576,3.9198,0.7388,1.2194,5.4732,8.6557,3.886,4.9159,-0.8582,-0.1767,0.701,-1.6449,-0.9711,0.8246,2.0055,-4.8282,-0.8385,0.00909999999999966,9.2908,3.825,-5.4245,4.7568,1.9742,5.6072,3.3601,2.1299,1.016,-5.7024,-2.2358,3.5574,-1.4746,2.1314,-0.8066,2.4438,-1.0995,2.3369,-0.319200000000000,10.7284,-0.3267,0.872,2.1261,-6.218,-0.6155,5.2281,-2.7786,-2.7878,2.2722,-0.6398,-0.9335,1.1281,-5.1617,-0.6457,-5.1668,3.8471,0.0995,1.6131,-1.7267,-6.4327,0.1883,5.4782,-1.0778,0.347000000000000,-2.927,-4.9464,3.717,-0.4473,0.8645,-1.8532,0.9823,7.2502,1.3885,3.3737,0.8745,-6.7105,-1.7714,-2.052,0.7032,-8.1661,2.5543,5.2182,2.4662,-1.0556,-3.3371,-0.5858,-4.8974,0.7478,-1.8027,-4.2831,2.0215,-3.6679,-2.6778,-1.524,-0.3658
"9",-2.1915,-3.924,1.115,-1.1203,-1.9569,-0.4584,0.228800000000000,2.1806,-0.8731,-0.7176,-0.8877,2.5418,-4.0423,-1.5665,-1.009,-3.0535,-2.3651,4.348,0.5772,1.6084,5.5391,8.5556,3.9326,5.1588,-0.2971,-0.5503,0.3941,-1.2492,-0.384799999999998,0.5953,1.8893,-4.804,-0.3475,0.0215000000000001,8.6842,3.8432,-5.1049,4.3194,1.9318,5.9135,2.2467,1.8564,1.25,-5.1469,-2.5682,3.0118,-2.1005,2.034,-1.2737,1.9547,-1.0164,1.6585,0.1117,10.1745,-0.2141,0.6206,2.207,-6.0596,-0.0186999999999999,4.7258,-3.2959,-2.7765,2.0619,-0.5649,-1.4629,1.4959,-5.169,-1.2729,-5.6098,3.3029,-0.2359,1.7708,-1.3815,-6.3052,0.226100000000000,5.4479,-1.3637,0.4574,-2.1947,-4.3881,3.5234,-0.0909,1.1979,-1.5279,1.028,7.4288,1.2524,3.4183,0.1745,-6.6418,-2.4938,-2.501,0.8261,-7.9159,2.5276,4.7637,2.6302,-0.728,-3.2035,0.0602,-4.2415,0.1422,-1.9419,-4.0526,1.5533,-3.8512,-2.5142,-1.1068,-0.316900000000000
"10",-2.1341,-3.9005,0.5888,-0.6677,-1.9237,-0.7449,0.422,2.478,-1.0271,-0.1341,0.0702,3.2147,-4.0368,-1.6326,-0.744,-2.982,-1.7605,4.7362,0.4056,2.0644,5.5487,8.3208,3.9658,5.4091,0.3717,-0.9304,0.1348,-0.7514,0.3275,0.3525,1.7152,-4.6372,0.2968,0.0138000000000003,7.8323,3.7932,-4.6127,3.728,1.8937,6.2512,0.7749,1.4648,1.5214,-4.4645,-2.9049,2.2669,-2.8638,1.882,-1.8583,1.3272,-0.8717,0.9442,0.6672,9.3241,-0.0131000000000001,0.2617,2.2912,-5.779,0.7483,4.066,-3.9362,-2.6906,1.8926,-0.4577,-2.1275,1.9605,-5.1207,-2.0188,-6.1237,2.7145,-0.6856,2.1049,-0.9854,-6.0797,0.255100000000000,5.3329,-1.7021,0.5656,-1.2497,-3.5865,3.2659,0.3759,1.6674,-1.101,1.0486,7.5125,1.0724,3.4355,-0.737300000000001,-6.5207,-3.3399,-3.0636,0.9802,-7.6056,2.4625,4.1241,2.8163,-0.2873,-2.9503,0.8668,-3.3722,-0.5422,-2.0893,-3.6567,0.963,-3.9736,-2.329,-0.5794,-0.2142
