"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221"
"1",6.1437,3.0096,5.8081,-3.0533,-5.2015,8.2509,-8.4609,4.2134,11.2723,6.7298,-0.6718,-16.503,4.1033,3.0781,6.1897,-1.6514,-4.9115,-6.3503,-12.7547,-13.2209,2.0373,-1.1317,6.362,-9.4472,-6.6243,-9.2089,-2.305,-4.4646,9.2615,8.9288,-14.6955,1.9532,-6.1602,2.9642,-2.0665,7.5882,4.5588,8.6565,3.6718,7.3118,-6.6411,0.9422,2.4611,13.6689,-4.4835,-16.4231,6.8438,-4.1746,-3.5435,10.064,-0.1683,10.3755,8.6113,5.974,-0.8976,-7.5252,7.5065,-4.5312,8.8589,14.1189,8.2697,0.0823,-1.8304,-6.6579,2.4439,1.6961,-7.3044,-4.5811,3.0707,-1.2299,-9.8904,-16.6945,7.3513,6.7111,-2.6181,-5.5705,8.9453,5.4222,-4.092,-0.140700000000000,-5.9572,-0.295199999999999,-5.3717,0.0799000000000003,-3.8954,0.964599999999999,6.8271,-2.9828,-9.8526,4.0227,1.2815,-7.7418,11.9527,2.3956,7.2815,-1.5438,1.5357,0.4224,-2.5113,4.2348,-3.6381,3.5922,2.2089,3.6338,-5.2516,-15.4058,4.3381,-6.7388,0.9405,-5.4207,1.8123,-4.1708,0.2381,10.1881,0.9913,-5.6968,6.7116,9.0566,-0.133200000000000,-8.5716,12.4375,-0.3474,3.3486,1.2426,2.2709,-3.5247,-0.2899,-3.4342,4.3486,5.8433,2.6137,-8.7033,1.6903,2.3741,1.8759,-9.5326,-2.0651,2.2476,-3.0657,1.1795,4.707,4.736,-18.2044,-0.5927,-8.7255,-4.7804,4.8282,3.0609,0.432,-3.5397,4.5137,1.9009,0.241800000000000,0.228900000000001,-8.3359,1.9527,-4.0687,4.1315,-4.7606,4.5191,5.951,-4.222,-5.7958,1.8106,1.6578,-6.0517,8.7528,-0.257899999999999,4.3762,-3.3029,5.3262,9.8578,4.5989,2.2353,3.2862,-11.2942,-10.8465,-4.8619,1.2331,0.285500000000000,-5.4318,3.5796,-10.6342,-6.6576,4.0887,-0.5526,6.2082,8.4247,-7.5617,-7.3201,-0.4178,5.3137,-7.8134,20.646,1.3007,-8.5941,7.1538,7.1545,2.5867,-5.7587,10.5015,10.7376,-1.336,-8.4664,-8.433,8.7185,-5.2873,0.935,-18.6,2.0898,2.3124,-8.3091,-4.1425,14.5618,-11.6726,9.2214,-10.6764,11.2098,-4.8597,-12.9738,16.5771
"2",6.1437,3.0096,5.8081,-3.0533,-5.2015,8.2509,-8.4609,4.2134,11.2723,6.7298,-0.6718,-16.503,4.1033,3.0781,6.1897,-1.6514,-4.9115,-6.3503,-12.7547,-13.2209,2.0373,-1.1317,6.362,-9.4472,-6.6243,-9.2089,-2.305,-4.4646,9.2615,8.9288,-14.6955,1.9532,-6.1602,2.9642,-2.0665,7.5882,4.5588,8.6565,3.6718,7.3118,-6.6411,0.9422,2.4611,13.6689,-4.4835,-16.4231,6.8438,-4.1746,-3.5435,10.064,-0.1683,10.3755,8.6113,5.974,-0.8976,-7.5252,7.5065,-4.5312,8.8589,14.1189,8.2697,0.0823,-1.8304,-6.6579,2.4439,1.6961,-7.3044,-4.5811,3.0707,-1.2299,-9.8904,-16.6945,7.3513,6.7111,-2.6181,-5.5705,8.9453,5.4222,-4.092,-0.140700000000000,-5.9572,-0.295199999999999,-5.3717,0.0799000000000003,-3.8954,0.964599999999999,6.8271,-2.9828,-9.8526,4.0227,1.2815,-7.7418,11.9527,2.3956,7.2815,-1.5438,1.5357,0.4224,-2.5113,4.2348,-3.6381,3.5922,2.2089,3.6338,-5.2516,-15.4058,4.3381,-6.7388,0.9405,-5.4207,1.8123,-4.1708,0.2381,10.1881,0.9913,-5.6968,6.7116,9.0566,-0.133200000000000,-8.5716,12.4375,-0.3474,3.3486,1.2426,2.2709,-3.5247,-0.2899,-3.4342,4.3486,5.8433,2.6137,-8.7033,1.6903,2.3741,1.8759,-9.5326,-2.0651,2.2476,-3.0657,1.1795,4.707,4.736,-18.2044,-0.5927,-8.7255,-4.7804,4.8282,3.0609,0.432,-3.5397,4.5137,1.9009,0.241800000000000,0.228900000000001,-8.3359,1.9527,-4.0687,4.1315,-4.7606,4.5191,5.951,-4.222,-5.7958,1.8106,1.6578,-6.0517,8.7528,-0.257899999999999,4.3762,-3.3029,5.3262,9.8578,4.5989,2.2353,3.2862,-11.2942,-10.8465,-4.8619,1.2331,0.285500000000000,-5.4318,3.5796,-10.6342,-6.6576,4.0887,-0.5526,6.2082,8.4247,-7.5617,-7.3201,-0.4178,5.3137,-7.8134,20.646,1.3007,-8.5941,7.1538,7.1545,2.5867,-5.7587,10.5015,10.7376,-1.336,-8.4664,-8.433,8.7185,-5.2873,0.935,-18.6,2.0898,2.3124,-8.3091,-4.1425,14.5618,-11.6726,9.2214,-10.6764,11.2098,-4.8597,-12.9738,16.5771
"3",6.146,3.0092,5.8058,-3.0551,-5.2041,8.2504,-8.4593,4.2141,11.2699,6.7307,-0.6738,-16.4949,4.1029,3.0839,6.1886,-1.6504,-4.9111,-6.3493,-12.7544,-13.2181,2.0401,-1.1325,6.3634,-9.4432,-6.6234,-9.2109,-2.3086,-4.4663,9.2599,8.9318,-14.6972,1.9528,-6.1578,2.9648,-2.0684,7.5846,4.5578,8.6544,3.6725,7.3105,-6.6448,0.942,2.4599,13.6677,-4.4808,-16.4183,6.8437,-4.1716,-3.5402,10.0636,-0.1702,10.3737,8.6105,5.9701,-0.8966,-7.5243,7.509,-4.5256,8.8617,14.1144,8.2684,0.0804999999999999,-1.8332,-6.6547,2.4421,1.6978,-7.3038,-4.5848,3.0732,-1.2255,-9.8875,-16.6918,7.3472,6.7129,-2.6188,-5.5689,8.9445,5.4215,-4.0937,-0.136900000000000,-5.9531,-0.292500000000000,-5.3737,0.0842,-3.8973,0.963199999999999,6.8282,-2.985,-9.8489,4.0212,1.2827,-7.7391,11.9483,2.3944,7.2781,-1.5472,1.5389,0.4202,-2.5107,4.234,-3.6332,3.5902,2.2086,3.6356,-5.2521,-15.406,4.3375,-6.7364,0.9405,-5.4246,1.81190000000000,-4.1713,0.2365,10.1813,0.9918,-5.6967,6.7096,9.0598,-0.133300000000000,-8.5743,12.4365,-0.3456,3.3478,1.2456,2.27,-3.5249,-0.2859,-3.4372,4.3484,5.8444,2.6109,-8.7059,1.6897,2.376,1.8777,-9.531,-2.0628,2.2509,-3.0638,1.1781,4.705,4.7362,-18.2029,-0.5907,-8.7214,-4.7802,4.8308,3.063,0.4338,-3.5401,4.5127,1.9042,0.2424,0.227599999999999,-8.3378,1.9513,-4.0678,4.1312,-4.7613,4.5178,5.9489,-4.2216,-5.7965,1.8137,1.6529,-6.0493,8.7502,-0.257800000000000,4.3727,-3.2987,5.3232,9.8581,4.5968,2.2384,3.2858,-11.2945,-10.8461,-4.8623,1.2326,0.2874,-5.4311,3.5814,-10.6297,-6.6585,4.0878,-0.5561,6.2097,8.4233,-7.5624,-7.3202,-0.415899999999999,5.311,-7.8161,20.6425,1.2957,-8.5923,7.1524,7.1541,2.5873,-5.7595,10.5071,10.7344,-1.3353,-8.4633,-8.4332,8.7221,-5.2888,0.9387,-18.5998,2.0881,2.3155,-8.3062,-4.1415,14.5662,-11.6699,9.2227,-10.6777,11.2106,-4.8563,-12.9714,16.5841
"4",6.1627,3.0052,5.7878,-3.0696,-5.2233,8.2449,-8.4451,4.2188,11.2509,6.736,-0.6901,-16.4343,4.0989,3.1245,6.1812,-1.6436,-4.9091,-6.3415,-12.7505,-13.1972,2.0596,-1.1364,6.3724,-9.4137,-6.6155,-9.2241,-2.3365,-4.4779,9.2483,8.9524,-14.7088,1.9502,-6.1391,2.9678,-2.0823,7.5556,4.5487,8.6378,3.678,7.3003,-6.673,0.9384,2.4504,13.6596,-4.4595,-16.3815,6.8432,-4.1495,-3.5145,10.0573,-0.181500000000000,10.361,8.6029,5.94,-0.8859,-7.5171,7.5287,-4.4825,8.8836,14.0784,8.2565,0.0676,-1.8547,-6.6294,2.42870000000000,1.7109,-7.297,-4.61,3.091,-1.1913,-9.8647,-16.6711,7.3175,6.7261,-2.6232,-5.5566,8.9395,5.4165,-4.1078,-0.109,-5.9209,-0.2709,-5.3888,0.121,-3.9139,0.9522,6.8351,-2.9999,-9.8185,4.0083,1.293,-7.717,11.9139,2.3851,7.2533,-1.5733,1.5641,0.4028,-2.5059,4.2312,-3.5948,3.5757,2.2076,3.6492,-5.2545,-15.4041,4.3315,-6.7201,0.939900000000002,-5.4549,1.8091,-4.1766,0.225,10.1297,0.9933,-5.6952,6.6957,9.0804,-0.1341,-8.5929,12.427,-0.3309,3.343,1.2685,2.2635,-3.5263,-0.2577,-3.4594,4.3451,5.8507,2.5897,-8.7228,1.6863,2.3908,1.8912,-9.5179,-2.0458,2.2736,-3.0482,1.1674,4.691,4.7376,-18.1917,-0.5745,-8.6913,-4.778,4.8492,3.0779,0.4478,-3.5447,4.5049,1.9299,0.2458,0.217100000000000,-8.3514,1.939,-4.0612,4.1282,-4.7662,4.5074,5.9326,-4.2161,-5.7988,1.8384,1.6162,-6.0319,8.7306,-0.257000000000000,4.3473,-3.2679,5.2998,9.8592,4.5811,2.2601,3.2837,-11.2965,-10.8426,-4.8652,1.2297,0.3009,-5.4284,3.5954,-10.596,-6.6647,4.0803,-0.5824,6.2204,8.4127,-7.5669,-7.3196,-0.401100000000000,5.2909,-7.8369,20.6164,1.2584,-8.5776,7.1427,7.1506,2.5906,-5.7642,10.5473,10.7093,-1.3297,-8.4397,-8.4329,8.7461,-5.2986,0.9677,-18.5971,2.073,2.3387,-8.2839,-4.1324,14.5978,-11.6481,9.2333,-10.6875,11.2131,-4.8295,-12.9518,16.6362
"5",6.2213,2.978,5.7214,-3.1242,-5.2847,8.2207,-8.387,4.2321,11.1794,6.7484,-0.7522,-16.2136,4.0791,3.2596,6.1556,-1.6188,-4.8984,-6.3107,-12.729,-13.1132,2.1293,-1.1534,6.3915,-9.3044,-6.5854,-9.2637,-2.435,-4.5163,9.2129,9.0255,-14.7512,1.9366,-6.066,2.9706,-2.13040000000000,7.4411,4.5087,8.5752,3.6991,7.259,-6.779,0.9206,2.4159,13.6286,-4.3753,-16.245,6.8401,-4.0731,-3.4127,10.0216,-0.2121,10.3162,8.5641,5.8213,-0.8326,-7.4853,7.6006,-4.3149,8.9671,13.9417,8.2079,0.0215000000000000,-1.9326,-6.5363,2.3772,1.7563,-7.2654,-4.6923,3.1509,-1.0656,-9.775,-16.5875,7.2135,6.7741,-2.6346,-5.5174,8.9241,5.3893,-4.159,-0.00629999999999997,-5.8019,-0.1868,-5.4492,0.2668,-3.9779,0.912099999999999,6.8613,-3.0499,-9.7022,3.9549,1.3327,-7.6284,11.7792,2.3462,7.1665,-1.6679,1.6547,0.3352,-2.4849,4.226,-3.448,3.5232,2.2077,3.7,-5.2555,-15.3875,4.3006,-6.6632,0.9405,-5.5615,1.8012,-4.2035,0.1806,9.9454,0.9938,-5.6847,6.6536,9.1437,-0.137300000000001,-8.6561,12.3847,-0.2752,3.3281,1.3537,2.2383,-3.5291,-0.1619,-3.5409,4.33,5.8708,2.5093,-8.7714,1.6772,2.445,1.9351,-9.4654,-1.9812,2.3501,-2.9816,1.1285,4.6413,4.737,-18.145,-0.5125,-8.5847,-4.7658,4.9107,3.1325,0.4983,-3.5611,4.4746,2.0302,0.2557,0.172799999999999,-8.3957,1.888,-4.0365,4.1182,-4.7801,4.4657,5.8705,-4.1888,-5.7959,1.9327,1.4807,-5.9677,8.6636,-0.248100000000001,4.2565,-3.157,5.2086,9.8554,4.5216,2.3345,3.2748,-11.3065,-10.8288,-4.8788,1.2231,0.3522,-5.4234,3.6501,-10.471,-6.6836,4.0497,-0.6758,6.2531,8.3681,-7.5758,-7.3132,-0.3467,5.2169,-7.9151,20.5189,1.1209,-8.5212,7.1023,7.1338,2.5983,-5.7753,10.6956,10.6045,-1.3067,-8.3515,-8.4296,8.8207,-5.3329,1.0748,-18.5832,2.0121,2.4221,-8.1973,-4.0991,14.7096,-11.5618,9.272,-10.7214,11.2153,-4.7262,-12.874,16.8253
"6",6.354,2.8702,5.5595,-3.2599,-5.4099,8.1524,-8.2311,4.2518,11.0004,6.758,-0.9111,-15.6792,4.0174,3.5457,6.0952,-1.5644,-4.8601,-6.2207,-12.6519,-12.8921,2.2925,-1.2033,6.4014,-9.0275,-6.5099,-9.3326,-2.6604,-4.5983,9.1484,9.195,-14.8536,1.8941,-5.8754,2.9542,-2.2358,7.1382,4.4017,8.4128,3.7506,7.1462,-7.0437,0.8607,2.3373,13.544,-4.1501,-15.9041,6.8247,-3.8962,-3.1442,9.8965,-0.2608,10.2167,8.4407,5.5095,-0.6581,-7.3924,7.7661,-3.8833,9.1691,13.5971,8.0733,-0.0866,-2.1249,-6.3038,2.2451,1.8532,-7.167,-4.8622,3.2837,-0.7612,-9.5406,-16.3614,6.9773,6.8823,-2.6476,-5.4405,8.8939,5.3007,-4.283,0.243500000000000,-5.511,0.0236000000000001,-5.6117,0.6485,-4.1423,0.816899999999999,6.9239,-3.1565,-9.4082,3.811,1.4379,-7.3883,11.4236,2.2396,6.9632,-1.8998,1.8694,0.1582,-2.4217,4.2258,-3.0707,3.3944,2.2175,3.8221,-5.2377,-15.32,4.2005,-6.5301,0.952199999999998,-5.8099,1.78710000000000,-4.2878,0.0666000000000002,9.5138,0.986,-5.647,6.5765,9.2518,-0.1456,-8.793,12.258,-0.1321,3.2955,1.5636,2.1752,-3.5285,0.0514,-3.7416,4.2834,5.9108,2.3042,-8.8481,1.6641,2.5785,2.0261,-9.3218,-1.8174,2.5188,-2.7912,1.03390000000000,4.526,4.7167,-18.0163,-0.3508,-8.3377,-4.7239,5.0447,3.2673,0.624599999999999,-3.5973,4.3969,2.2914,0.2728,0.0516000000000005,-8.4817,1.7483,-3.9716,4.0962,-4.8088,4.3552,5.7135,-4.1039,-5.7487,2.1757,1.1497,-5.8083,8.5113,-0.208499999999999,4.045,-2.8913,4.9741,9.8193,4.3711,2.5021,3.2509,-11.3376,-10.7883,-4.9208,1.2151,0.4811,-5.4228,3.7897,-10.1614,-6.7152,3.9638,-0.8956,6.3189,8.241,-7.5756,-7.2838,-0.2089,5.0387,-8.109,20.2753,0.7821,-8.3737,6.9865,7.079,2.606,-5.7871,11.0563,10.3145,-1.241,-8.1328,-8.4153,8.965,-5.4084,1.3405,-18.5319,1.8425,2.6234,-7.9735,-4.0123,14.9718,-11.3329,9.3631,-10.7949,11.1998,-4.4583,-12.6609,17.2779
"7",6.5808,2.5696,5.2603,-3.5143,-5.5942,8.0102,-7.9142,4.2607,10.6572,6.7306,-1.2155,-14.6843,3.8758,3.9914,5.9802,-1.4812,-4.7524,-6.0084,-12.4517,-12.4544,2.5793,-1.3201,6.3435,-8.4737,-6.3666,-9.4012,-3.0405,-4.7285,9.0732,9.4914,-15.0458,1.80000000000000,-5.4988,2.8748,-2.4043,6.5252,4.191,8.0768,3.8466,6.9112,-7.5564,0.7086,2.2216,13.3557,-3.6888,-15.241,6.7697,-3.5787,-2.607,9.5872,-0.315100000000000,10.0574,8.1571,4.8894,-0.2417,-7.1928,8.0337,-3.0415,9.5164,12.9348,7.7904,-0.281,-2.5059,-5.8521,1.9831,1.9969,-6.9381,-5.1177,3.5074,-0.2121,-9.0722,-15.8927,6.5743,7.0528,-2.6382,-5.3343,8.8461,5.0838,-4.509,0.6976,-4.9722,0.4124,-5.9487,1.4083,-4.4616,0.6478,7.0256,-3.3204,-8.8399,3.5181,1.6541,-6.8891,10.6966,2.0197,6.5902,-2.3417,2.258,-0.2011,-2.2786,4.2421,-2.3262,3.1479,2.2566,4.0382,-5.168,-15.1391,3.967,-6.2836,1.00080000000000,-6.2475,1.7647,-4.4752,-0.1611,8.7512,0.9639,-5.5563,6.4816,9.3401,-0.163600000000000,-9.0084,11.966,0.1541,3.2388,1.955,2.0522,-3.511,0.4137,-4.1247,4.1754,5.9672,1.8928,-8.9032,1.6547,2.8333,2.1588,-9.0125,-1.5019,2.8022,-2.3783,0.856299999999999,4.3289,4.6327,-17.7462,-0.0203,-7.9011,-4.6214,5.2598,3.5248,0.8731,-3.6458,4.2452,2.8052,0.2881,-0.200000000000001,-8.5891,1.4578,-3.8344,4.0607,-4.8615,4.1274,5.4108,-3.9195,-5.5696,2.6638,0.5308,-5.5046,8.2418,-0.0919000000000008,3.6721,-2.4042,4.5182,9.6861,4.0771,2.7912,3.2013,-11.4094,-10.6873,-5.0231,1.2161,0.7307,-5.4412,4.0546,-9.5686,-6.7372,3.778,-1.2898,6.4189,7.9566,-7.5278,-7.2044,0.0672999999999995,4.7164,-8.4752,19.8018,0.1413,-8.0684,6.7274,6.9429,2.5992,-5.7798,11.7193,9.6994,-1.0922,-7.7224,-8.3751,9.1559,-5.5278,1.8531,-18.3889,1.4682,2.9943,-7.5326,-3.8376,15.4413,-10.862,9.5252,-10.9073,11.129,-3.9207,-12.2075,18.0967
"8",6.8903,1.923,4.8078,-3.9056,-5.8002,7.7741,-7.384,4.2368,10.1212,6.6085,-1.6814,-13.1435,3.6182,4.5507,5.7904,-1.3907,-4.5011,-5.5934,-12.0357,-11.7368,2.9846,-1.5439,6.1249,-7.529,-6.1307,-9.411,-3.5417,-4.9023,9.0265,9.9133,-15.3409,1.6332,-4.8916,2.6718,-2.6088,5.4969,3.8583,7.4847,3.9867,6.5089,-8.3808,0.3993,2.125,12.9932,-2.9148,-14.1504,6.6154,-3.096,-1.7346,8.9963,-0.3702,9.849,7.6466,3.8808,0.5354,-6.8527,8.3511,-1.6925,9.9634,11.8822,7.3036,-0.5722,-3.1583,-5.1143,1.5491,2.1435,-6.5057,-5.422,3.8264,0.5885,-8.301,-15.0843,6.012,7.2384,-2.5557,-5.2215,8.7708,4.6538,-4.8445,1.3687,-4.1553,0.9842,-6.5233,2.6449,-4.9661,0.411300000000001,7.1332,-3.5151,-7.9275,3.0304,2.0234,-6.028,9.449,1.652,6.0018,-3.0495,2.8433,-0.8035,-2.0197,4.2715,-1.1049,2.7537,2.3485,4.3418,-5.0082,-14.7714,3.5388,-5.8943,1.12630000000000,-6.8725,1.72190000000000,-4.7902,-0.5414,7.6504,0.9385,-5.3835,6.4088,9.2621,-0.195099999999999,-9.2683,11.4167,0.6321,3.1487,2.5526,1.8535,-3.4538,0.9241,-4.7369,3.9728,6.0167,1.1909,-8.849,1.657,3.243,2.2966,-8.4479,-1.0069,3.1909,-1.6541,0.5746,4.0618,4.4152,-17.271,0.5493,-7.259,-4.4338,5.5265,3.9369,1.2879,-3.6713,3.9952,3.6316,0.2768,-0.623799999999999,-8.6565,0.958400000000001,-3.5837,4.0076,-4.9538,3.7403,4.9235,-3.6156,-5.1289,3.4825,-0.4255,-5.022,7.8312,0.171399999999998,3.1291,-1.6579,3.7922,9.3538,3.598,3.2096,3.1214,-11.5409,-10.4696,-5.2325,1.2378,1.1319,-5.4888,4.4589,-8.6145,-6.6992,3.4448,-1.8705,6.5473,7.4175,-7.3721,-7.0459,0.5467,4.2384,-9.0423,19.0279,-0.8642,-7.5335,6.2414,6.6642,2.5552,-5.7259,12.7074,8.6209,-0.8129,-7.0876,-8.2848,9.3201,-5.6661,2.6802,-18.0716,0.7721,3.5527,-6.8161,-3.546,16.1376,-10.0505,9.7559,-11.0295,10.9508,-3.0181,-11.3977,19.2987
"9",7.2316,0.7861,4.2236,-4.4308,-5.9591,7.4478,-6.6136,4.1695,9.4141,6.322,-2.274,-11.0565,3.2303,5.1558,5.5076,-1.3237,-4.0093,-4.913,-11.3011,-10.6936,3.472,-1.9046,5.6397,-6.0957,-5.7744,-9.2967,-4.0705,-5.1199,9.0455,10.4165,-15.7202,1.38180000000000,-4.0539,2.2991,-2.7882,3.991,3.4056,6.5689,4.1472,5.9193,-9.5234,-0.1275,2.1427,12.3793,-1.8126,-12.5573,6.2705,-2.4389,-0.5402,8.0644,-0.4445,9.5834,6.8795,2.473,1.7229,-6.3713,8.6125,0.175700000000001,10.3957,10.4211,6.5866,-0.9564,-4.1439,-4.0517,0.913,2.2181,-5.8145,-5.7242,4.244,1.5859,-7.2077,-13.858,5.3238,7.345,-2.3301,-5.111,8.636,3.9212,-5.2693,2.2135,-3.0861,1.6826,-7.3602,4.3702,-5.6428,0.154400000000001,7.1658,-3.6962,-6.637,2.332,2.5692,-4.7348,7.5603,1.1291,5.1631,-4.0415,3.6176,-1.6642,-1.6344,4.2742,0.65,2.2028,2.5056,4.6978,-4.7266,-14.1587,2.8869,-5.3471,1.36450000000000,-7.6239,1.6292,-5.2013,-1.0904,6.2821,0.9406,-5.1009,6.4022,8.827,-0.2405,-9.5048,10.5358,1.3275,3.0101,3.3383,1.5726,-3.3234,1.5501,-5.5925,3.6472,6.0132,0.137500000000000,-8.6014,1.6731,3.834,2.3799,-7.5448,-0.3502,3.6363,-0.5839,0.1807,3.7656,3.9819,-16.532,1.4096,-6.4296,-4.1635,5.7707,4.5127,1.8992,-3.612,3.6177,4.7674,0.1906,-1.2312,-8.5917,0.213500000000002,-3.1746,3.9229,-5.1008,3.1771,4.2239,-3.2185,-4.2911,4.6721,-1.698,-4.3512,7.2599,0.6625,2.4363,-0.6545,2.8012,8.7049,2.919,3.7501,3.014,-11.7346,-10.0632,-5.603,1.2806,1.6897,-5.5601,4.9776,-7.2529,-6.534,2.9285,-2.6025,6.6906,6.5131,-7.0391,-6.7937,1.29790000000000,3.6217,-9.7932,17.9072,-2.2334,-6.7115,5.4519,6.1735,2.4484,-5.5989,13.9469,6.984,-0.3683,-6.2276,-8.103,9.348,-5.7744,3.8371,-17.4799,-0.351,4.2552,-5.8093,-3.1324,17.0238,-8.8248,10.0257,-11.1016,10.6101,-1.6921,-10.1303,20.7833
"10",7.5202,-0.9196,3.5662,-5.0776,-5.9737,7.0597,-5.6086,4.0632,8.6099,5.8109,-2.9199,-8.5016,2.7356,5.7404,5.1205,-1.3099,-3.1891,-3.9562,-10.1637,-9.2881,3.9969,-2.3962,4.7911,-4.1202,-5.2734,-9.0069,-4.5046,-5.3928,9.1375,10.902,-16.1272,1.0443,-3.0363,1.7559,-2.8675,1.9992,2.8582,5.2968,4.2853,5.1627,-10.9114,-0.9038,2.3647,11.443,-0.452500000000001,-10.4291,5.6462,-1.6151,0.870800000000001,6.7853,-0.5764,9.188,5.8673,0.73,3.2609,-5.7825,8.6896,2.4905,10.6808,8.5864,5.6427,-1.4131,-5.4508,-2.6557,0.0522999999999989,2.1395,-4.8528,-5.9797,4.7733,2.6948,-5.841,-12.1666,4.5359,7.2577,-1.8973,-4.9733,8.3881,2.8178,-5.7447,3.1449,-1.8394,2.4011,-8.423,6.4892,-6.4281,-0.0350000000000001,7.0086,-3.8171,-4.9683,1.4433,3.2846,-2.9924,4.9672,0.4819,4.0595,-5.2793,4.5396,-2.72,-1.1501,4.1792,2.9378,1.5078,2.7072,5.0599,-4.309,-13.277,2.0333,-4.6434,1.7271,-8.3957,1.4478,-5.6105,-1.7887,4.7641,1.01,-4.6848,6.4988,7.8608,-0.2918,-9.6318,9.2942,2.2294,2.8065,4.2549,1.2163,-3.0735,2.2286,-6.6572,3.1868,5.8983,-1.2716,-8.1219,1.6946,4.6291,2.3453,-6.2516,0.406499999999999,4.046,0.7886,-0.3179,3.4982,3.2566,-15.4829,2.5735,-5.4598,-3.8554,5.8864,5.2218,2.7058,-3.3989,3.0635,6.1387,-0.0430999999999999,-1.9945,-8.2975,-0.7853,-2.5692,3.7824,-5.3109,2.4641,3.2894,-2.7971,-2.9543,6.2033,-3.1894,-3.5033,6.5124,1.453,1.6273,0.5623,1.6126,7.6383,2.056,4.3904,2.8939,-11.9583,-9.4039,-6.1841,1.3242,2.3686,-5.6291,5.5521,-5.4748,-6.1707,2.2181,-3.4093,6.8187,5.1371,-6.4693,-6.4591,2.3837,2.8929,-10.6621,16.4193,-3.8932,-5.5817,4.317,5.4127,2.2509,-5.3759,15.2726,4.7666,0.245900000000000,-5.1596,-7.7665,9.1211,-5.7907,5.2588,-16.5217,-1.9549,4.9888,-4.5498,-2.6275,17.9943,-7.1558,10.2777,-11.0436,10.0594,0.0587,-8.3416,22.3391
